state,Year,hdd
Oklahoma,2020,1756.4208711317276
Oklahoma,2021,1482.2198934245137
Oklahoma,2022,1366.7501273068294
Oklahoma,2023,1412.9870352103362
Oklahoma,2024,1445.4941075592124
Oklahoma,2025,1493.9195978275416
Oklahoma,2026,1504.8385967729846
Oklahoma,2027,1550.3751907075782
Oklahoma,2028,1501.2922202119858
Oklahoma,2029,1347.15248365219
Oklahoma,2030,1553.885573796344
Oklahoma,2031,1592.2070278020942
Oklahoma,2032,1314.8655524023989
Oklahoma,2033,1416.8424765558739
Oklahoma,2034,1604.0250340504563
Oklahoma,2035,1351.8784746629856
Oklahoma,2036,1604.148726013796
Oklahoma,2037,1433.9719186751292
Oklahoma,2038,1916.1877547252584
Oklahoma,2039,1554.621721260006
Oklahoma,2040,1726.8454835719363
Oklahoma,2041,1675.6313305726885
Oklahoma,2042,1585.3975836784603
Oklahoma,2043,1614.5505458621783
Oklahoma,2044,1549.2843562060266
Oklahoma,2045,1778.9151698501278
Oklahoma,2046,1821.9084332581274
Oklahoma,2047,1477.5980203094455
Oklahoma,2048,1451.6105731288337
Oklahoma,2049,1463.0945684508333
Oklahoma,2050,1761.1239809486647
Oklahoma,2051,1982.1049198230187
Oklahoma,2052,1901.0218786526216
Oklahoma,2053,1582.051308082806
Oklahoma,2054,1590.5808832794673
Oklahoma,2055,1434.3089855845105
Oklahoma,2056,1679.2341094972794
Oklahoma,2057,1572.1946360167685
Oklahoma,2058,1809.8782304883835
Oklahoma,2059,1563.591829065212
Oklahoma,2060,2105.5447222464454
Oklahoma,2061,1858.463621843466
Oklahoma,2062,1691.7475461140243
Oklahoma,2063,1719.445365286606
Oklahoma,2064,1758.142584879446
Oklahoma,2065,1815.2190523984825
Oklahoma,2066,1864.675148663132
Oklahoma,2067,1873.7071163371875
Oklahoma,2068,1808.6373887272853
Oklahoma,2069,1685.2212178670611
Oklahoma,2070,1866.169305506634
Oklahoma,2071,1935.074834057174
Oklahoma,2072,1651.1270954191468
Oklahoma,2073,1705.3446087911116
Oklahoma,2074,1916.7338227314594
Oklahoma,2075,1633.1131567490884
Oklahoma,2076,1950.0058449875646
Oklahoma,2077,1711.7125776813243
Oklahoma,2078,2213.011184454424
Oklahoma,2079,1888.795549051145
Oklahoma,2080,2056.3201490939114
Oklahoma,2081,2011.2491798021815
Oklahoma,2082,1849.9309014788084
Oklahoma,2083,1966.686059301257
Oklahoma,2084,1845.9258907449953
Oklahoma,2085,2055.1236993403786
Oklahoma,2086,2084.784518425126
Oklahoma,2087,1775.0233498554512
Oklahoma,2088,1716.6134482390355
Oklahoma,2089,1696.6470466510568
Oklahoma,2090,2000.0546068599383
Oklahoma,2091,2201.321827490258
Oklahoma,2092,2117.7230829190253
Oklahoma,2093,1747.7178578278338
Oklahoma,2094,1807.3871458783983
Oklahoma,2095,1621.8029737669658
Oklahoma,2096,1907.8723403114222
Oklahoma,2097,1774.2307708685216
Oklahoma,2098,2003.344089515835
Oklahoma,2099,1755.0527422181763
