state,Year,hdd
Oregon,2020,132.70431696464124
Oregon,2021,250.67765980054406
Oregon,2022,211.012417090163
Oregon,2023,156.59033210665103
Oregon,2024,214.6595561174829
Oregon,2025,247.64625633280764
Oregon,2026,294.60166144904224
Oregon,2027,299.37901102292625
Oregon,2028,308.9913044010183
Oregon,2029,166.41524223869186
Oregon,2030,316.1763112135025
Oregon,2031,297.9643362473149
Oregon,2032,333.3919557950177
Oregon,2033,141.39274726471325
Oregon,2034,279.0336922630745
Oregon,2035,208.9751608202642
Oregon,2036,290.8958520425848
Oregon,2037,234.10919524927465
Oregon,2038,286.3447169205976
Oregon,2039,201.5174805818824
Oregon,2040,198.9778759683789
Oregon,2041,233.06392171903082
Oregon,2042,250.62183035472827
Oregon,2043,357.15875257620877
Oregon,2044,263.848929891202
Oregon,2045,230.9347679422766
Oregon,2046,295.04908050344
Oregon,2047,233.04157733519492
Oregon,2048,258.86444142882925
Oregon,2049,289.87114708195344
Oregon,2050,191.49362664616996
Oregon,2051,194.479419691487
Oregon,2052,236.78609808125503
Oregon,2053,295.8067907569311
Oregon,2054,303.16054339840963
Oregon,2055,332.5484089241128
Oregon,2056,213.15558196056986
Oregon,2057,391.24415587955554
Oregon,2058,279.96352062889275
Oregon,2059,226.3673514787871
Oregon,2060,298.64108650777564
Oregon,2061,428.05136435757487
Oregon,2062,376.2681199258539
Oregon,2063,310.70162312585126
Oregon,2064,400.309373589499
Oregon,2065,402.1968145218397
Oregon,2066,471.25399142976363
Oregon,2067,511.9575155436044
Oregon,2068,503.3742210678191
Oregon,2069,346.94826191692914
Oregon,2070,498.4987153888815
Oregon,2071,492.81956544071306
Oregon,2072,522.7975943912904
Oregon,2073,273.2279719329642
Oregon,2074,457.0440988033298
Oregon,2075,370.8999631763563
Oregon,2076,442.75698395553934
Oregon,2077,406.38336041043857
Oregon,2078,445.00939105437084
Oregon,2079,357.1416100516684
Oregon,2080,355.28603320995586
Oregon,2081,409.143536734153
Oregon,2082,406.17651101315613
Oregon,2083,543.9067333389602
Oregon,2084,426.7347157185297
Oregon,2085,363.97029911278133
Oregon,2086,451.6519895951782
Oregon,2087,384.5066099023603
Oregon,2088,406.8123581760722
Oregon,2089,434.63920049991077
Oregon,2090,304.36315883386214
Oregon,2091,326.46961767644893
Oregon,2092,381.192032039076
Oregon,2093,435.7750537596393
Oregon,2094,439.6623850791861
Oregon,2095,484.8434540741062
Oregon,2096,324.0017088318227
Oregon,2097,511.8595251265744
Oregon,2098,387.48350768079973
Oregon,2099,329.4201329586864
