state,Year,Date
Pennsylvania,2020,2020-07-16
Pennsylvania,2020,2020-07-20
Pennsylvania,2020,2020-07-21
Pennsylvania,2023,2023-07-03
Pennsylvania,2023,2023-08-20
Pennsylvania,2026,2026-07-07
Pennsylvania,2027,2027-07-24
Pennsylvania,2028,2028-06-22
Pennsylvania,2028,2028-07-06
Pennsylvania,2028,2028-07-07
Pennsylvania,2028,2028-07-08
Pennsylvania,2028,2028-07-10
Pennsylvania,2028,2028-07-29
Pennsylvania,2028,2028-07-30
Pennsylvania,2028,2028-08-02
Pennsylvania,2028,2028-08-10
Pennsylvania,2028,2028-08-11
Pennsylvania,2028,2028-08-13
Pennsylvania,2028,2028-08-14
Pennsylvania,2028,2028-08-15
Pennsylvania,2028,2028-08-17
Pennsylvania,2031,2031-07-19
Pennsylvania,2031,2031-07-23
Pennsylvania,2031,2031-08-29
Pennsylvania,2031,2031-08-30
Pennsylvania,2031,2031-09-16
Pennsylvania,2033,2033-07-08
Pennsylvania,2033,2033-07-09
Pennsylvania,2034,2034-06-15
Pennsylvania,2034,2034-06-19
Pennsylvania,2035,2035-07-14
Pennsylvania,2035,2035-07-15
Pennsylvania,2035,2035-08-14
Pennsylvania,2039,2039-07-04
Pennsylvania,2039,2039-07-05
Pennsylvania,2039,2039-07-06
Pennsylvania,2039,2039-07-16
Pennsylvania,2039,2039-07-23
Pennsylvania,2039,2039-07-31
Pennsylvania,2041,2041-08-08
Pennsylvania,2041,2041-08-09
Pennsylvania,2042,2042-07-02
Pennsylvania,2042,2042-07-17
Pennsylvania,2042,2042-07-22
Pennsylvania,2042,2042-08-01
Pennsylvania,2042,2042-08-02
Pennsylvania,2042,2042-08-04
Pennsylvania,2042,2042-08-13
Pennsylvania,2042,2042-08-14
Pennsylvania,2045,2045-08-04
Pennsylvania,2046,2046-07-17
Pennsylvania,2046,2046-08-01
Pennsylvania,2046,2046-08-02
Pennsylvania,2046,2046-08-03
Pennsylvania,2047,2047-08-02
Pennsylvania,2047,2047-08-08
Pennsylvania,2047,2047-08-25
Pennsylvania,2048,2048-06-09
Pennsylvania,2050,2050-07-05
Pennsylvania,2050,2050-07-06
Pennsylvania,2050,2050-07-07
Pennsylvania,2050,2050-07-24
Pennsylvania,2050,2050-08-04
Pennsylvania,2051,2051-07-21
Pennsylvania,2051,2051-07-22
Pennsylvania,2051,2051-07-23
Pennsylvania,2052,2052-07-06
Pennsylvania,2052,2052-07-07
Pennsylvania,2052,2052-07-17
Pennsylvania,2052,2052-07-26
Pennsylvania,2058,2058-07-01
Pennsylvania,2059,2059-07-19
Pennsylvania,2059,2059-07-20
Pennsylvania,2060,2060-07-16
Pennsylvania,2060,2060-07-20
Pennsylvania,2060,2060-07-21
Pennsylvania,2060,2060-08-02
Pennsylvania,2060,2060-08-07
Pennsylvania,2060,2060-08-08
Pennsylvania,2060,2060-08-09
Pennsylvania,2060,2060-08-27
Pennsylvania,2060,2060-08-28
Pennsylvania,2060,2060-09-02
Pennsylvania,2061,2061-07-08
Pennsylvania,2061,2061-07-09
Pennsylvania,2061,2061-07-19
Pennsylvania,2063,2063-06-27
Pennsylvania,2063,2063-07-03
Pennsylvania,2063,2063-07-15
