state,Year,hdd
Pennsylvania,2020,584.0492409393993
Pennsylvania,2021,464.018907257443
Pennsylvania,2022,411.31646878906935
Pennsylvania,2023,597.2696460022994
Pennsylvania,2024,456.63750337276
Pennsylvania,2025,463.01383851425044
Pennsylvania,2026,514.1424220568198
Pennsylvania,2027,600.2981115832646
Pennsylvania,2028,633.9219212186629
Pennsylvania,2029,496.8828791383733
Pennsylvania,2030,510.0667598203445
Pennsylvania,2031,732.0674440350847
Pennsylvania,2032,396.3154856134501
Pennsylvania,2033,597.667363665198
Pennsylvania,2034,526.0647493552711
Pennsylvania,2035,586.597592846375
Pennsylvania,2036,489.7429348064513
Pennsylvania,2037,453.36724059128437
Pennsylvania,2038,605.6039576250662
Pennsylvania,2039,588.1920010306661
Pennsylvania,2040,440.4525916705283
Pennsylvania,2041,517.8426906722236
Pennsylvania,2042,653.2045333663156
Pennsylvania,2043,442.9202652340551
Pennsylvania,2044,485.5459407678296
Pennsylvania,2045,649.4704169415811
Pennsylvania,2046,533.2780686166514
Pennsylvania,2047,618.26783625347
Pennsylvania,2048,503.5665032763937
Pennsylvania,2049,438.22669278331136
Pennsylvania,2050,709.6855276417851
Pennsylvania,2051,675.0152560304853
Pennsylvania,2052,649.5947515805416
Pennsylvania,2053,556.2548275015162
Pennsylvania,2054,470.5231465489833
Pennsylvania,2055,584.2357776518766
Pennsylvania,2056,701.2055191642173
Pennsylvania,2057,570.5849972513271
Pennsylvania,2058,699.4378000464885
Pennsylvania,2059,617.5675147539963
Pennsylvania,2060,846.2867445113793
Pennsylvania,2061,708.7122961095305
Pennsylvania,2062,650.1817582041757
Pennsylvania,2063,823.4560792101163
Pennsylvania,2064,689.0618218340244
Pennsylvania,2065,715.2260171812254
Pennsylvania,2066,738.9088608646779
Pennsylvania,2067,812.1778275925742
Pennsylvania,2068,838.5169943319197
Pennsylvania,2069,715.5247458090973
Pennsylvania,2070,730.5357330048628
Pennsylvania,2071,1004.2998451507368
Pennsylvania,2072,603.006041469459
Pennsylvania,2073,808.7917682272607
Pennsylvania,2074,714.1695130981602
Pennsylvania,2075,808.9217098942459
Pennsylvania,2076,690.2024809019553
Pennsylvania,2077,638.7747761495289
Pennsylvania,2078,812.7632847215593
Pennsylvania,2079,816.3619168574007
Pennsylvania,2080,655.8383208749788
Pennsylvania,2081,750.6073509919679
Pennsylvania,2082,914.2665534625717
Pennsylvania,2083,621.0913439581627
Pennsylvania,2084,686.3984943551434
Pennsylvania,2085,843.9817869482664
Pennsylvania,2086,711.9508314705677
Pennsylvania,2087,848.4680063618873
Pennsylvania,2088,688.2204930142136
Pennsylvania,2089,610.8414118306704
Pennsylvania,2090,906.406051857733
Pennsylvania,2091,852.6663540945091
Pennsylvania,2092,825.7582759768843
Pennsylvania,2093,706.5576545591898
Pennsylvania,2094,625.3470822995129
Pennsylvania,2095,731.0664618904191
Pennsylvania,2096,850.8067624550016
Pennsylvania,2097,731.6171288472752
Pennsylvania,2098,845.7839823969634
Pennsylvania,2099,773.7749332438098
