state,Year,cdd
Rhode Island,2020,3468.548000321459
Rhode Island,2021,3337.7908957601967
Rhode Island,2022,3379.460516326525
Rhode Island,2023,3178.550691585955
Rhode Island,2024,3171.3328668427525
Rhode Island,2025,3197.59430676264
Rhode Island,2026,3206.131810885378
Rhode Island,2027,3375.69341309295
Rhode Island,2028,3315.633147867422
Rhode Island,2029,3354.318066456339
Rhode Island,2030,2864.80293174196
Rhode Island,2031,2897.0820894913077
Rhode Island,2032,3321.1750145402093
Rhode Island,2033,3291.091656835763
Rhode Island,2034,3318.2738347400036
Rhode Island,2035,3214.91719677739
Rhode Island,2036,3373.274418063524
Rhode Island,2037,3373.5301767702613
Rhode Island,2038,2861.1824477103537
Rhode Island,2039,2986.98929122722
Rhode Island,2040,3314.5637683757836
Rhode Island,2041,3043.07378997307
Rhode Island,2042,3069.329878682052
Rhode Island,2043,3511.6934179994405
Rhode Island,2044,3380.590836466739
Rhode Island,2045,3387.467387353997
Rhode Island,2046,2915.760676837769
Rhode Island,2047,3272.2274004976944
Rhode Island,2048,3171.239786095919
Rhode Island,2049,3332.2663070593385
Rhode Island,2050,3011.481921354586
Rhode Island,2051,3058.6392839635278
Rhode Island,2052,2785.3655633679823
Rhode Island,2053,3259.9430503425265
Rhode Island,2054,3364.980069771268
Rhode Island,2055,3337.7459315677033
Rhode Island,2056,3070.9834729880545
Rhode Island,2057,3088.7229594446135
Rhode Island,2058,3229.8904677580035
Rhode Island,2059,3312.459569500123
Rhode Island,2060,3018.7971310657013
Rhode Island,2061,2876.826156204428
Rhode Island,2062,2935.464459099132
Rhode Island,2063,2786.6425014361066
Rhode Island,2064,2762.2403250456355
Rhode Island,2065,2780.2265033667377
Rhode Island,2066,2781.208817872825
Rhode Island,2067,2853.9622635944766
Rhode Island,2068,2897.4916425572856
Rhode Island,2069,2947.352372260028
Rhode Island,2070,2468.8669288393976
Rhode Island,2071,2512.012870957
Rhode Island,2072,2913.3672912317497
Rhode Island,2073,2860.6628433273568
Rhode Island,2074,2870.6410271757863
Rhode Island,2075,2786.0745946816623
Rhode Island,2076,2924.868297294184
Rhode Island,2077,2902.7460395477515
Rhode Island,2078,2394.0765708641675
Rhode Island,2079,2568.454201306855
Rhode Island,2080,2882.89356735806
Rhode Island,2081,2637.000455778529
Rhode Island,2082,2698.2405005713917
Rhode Island,2083,3107.600337800719
Rhode Island,2084,3004.916345305536
Rhode Island,2085,3016.2828905088318
Rhode Island,2086,2552.8585067367744
Rhode Island,2087,2964.552923646562
Rhode Island,2088,2839.0242587028292
Rhode Island,2089,2967.2416776550335
Rhode Island,2090,2664.8088484664154
Rhode Island,2091,2720.4792260202503
Rhode Island,2092,2490.32745116341
Rhode Island,2093,2926.3774839526877
Rhode Island,2094,2997.1743536196914
Rhode Island,2095,3021.0411385275656
Rhode Island,2096,2779.1629330657433
Rhode Island,2097,2795.9609664186537
Rhode Island,2098,2937.6992948845323
Rhode Island,2099,3009.3025914393866
