state,Year,Date
Rhode Island,2083,2083-01-29
Rhode Island,2083,2083-01-30
Rhode Island,2085,2085-02-11
Rhode Island,2085,2085-02-12
Rhode Island,2086,2086-02-03
Rhode Island,2086,2086-02-04
Rhode Island,2086,2086-02-06
Rhode Island,2086,2086-02-07
Rhode Island,2087,2087-01-31
Rhode Island,2087,2087-02-01
Rhode Island,2087,2087-02-02
Rhode Island,2087,2087-02-03
Rhode Island,2088,2088-01-23
Rhode Island,2088,2088-01-24
Rhode Island,2088,2088-01-25
Rhode Island,2088,2088-01-26
Rhode Island,2088,2088-01-27
Rhode Island,2088,2088-01-28
Rhode Island,2088,2088-01-30
Rhode Island,2088,2088-01-31
Rhode Island,2088,2088-02-01
Rhode Island,2088,2088-02-02
Rhode Island,2088,2088-02-07
Rhode Island,2088,2088-02-08
Rhode Island,2088,2088-02-09
Rhode Island,2089,2089-01-18
Rhode Island,2089,2089-01-20
Rhode Island,2089,2089-01-21
Rhode Island,2089,2089-01-22
Rhode Island,2089,2089-01-23
Rhode Island,2089,2089-01-24
Rhode Island,2089,2089-01-25
Rhode Island,2089,2089-01-26
Rhode Island,2089,2089-01-27
Rhode Island,2089,2089-01-28
Rhode Island,2089,2089-01-29
Rhode Island,2089,2089-01-30
Rhode Island,2089,2089-01-31
Rhode Island,2089,2089-02-01
Rhode Island,2089,2089-02-02
Rhode Island,2089,2089-02-03
Rhode Island,2089,2089-02-04
Rhode Island,2089,2089-02-05
Rhode Island,2089,2089-02-06
Rhode Island,2089,2089-02-07
Rhode Island,2089,2089-02-08
Rhode Island,2089,2089-02-10
Rhode Island,2089,2089-02-11
Rhode Island,2089,2089-02-12
Rhode Island,2089,2089-02-13
Rhode Island,2089,2089-02-14
Rhode Island,2089,2089-02-15
Rhode Island,2090,2090-01-13
Rhode Island,2090,2090-01-14
Rhode Island,2090,2090-01-15
Rhode Island,2090,2090-01-16
Rhode Island,2090,2090-01-17
Rhode Island,2090,2090-01-19
Rhode Island,2090,2090-01-20
Rhode Island,2090,2090-01-21
Rhode Island,2090,2090-01-22
Rhode Island,2090,2090-01-23
Rhode Island,2090,2090-01-24
Rhode Island,2090,2090-01-26
Rhode Island,2090,2090-01-27
Rhode Island,2090,2090-01-28
Rhode Island,2090,2090-01-29
Rhode Island,2090,2090-01-30
Rhode Island,2090,2090-01-31
Rhode Island,2090,2090-02-01
Rhode Island,2090,2090-02-02
Rhode Island,2090,2090-02-03
Rhode Island,2090,2090-02-04
Rhode Island,2090,2090-02-05
Rhode Island,2090,2090-02-06
Rhode Island,2090,2090-02-07
Rhode Island,2090,2090-02-08
Rhode Island,2090,2090-02-09
Rhode Island,2090,2090-02-10
Rhode Island,2090,2090-02-11
Rhode Island,2090,2090-02-12
Rhode Island,2090,2090-02-13
Rhode Island,2090,2090-02-14
Rhode Island,2091,2091-01-11
Rhode Island,2091,2091-01-12
Rhode Island,2091,2091-01-15
Rhode Island,2091,2091-01-16
Rhode Island,2091,2091-01-18
Rhode Island,2091,2091-01-19
Rhode Island,2091,2091-01-20
Rhode Island,2091,2091-01-21
Rhode Island,2091,2091-01-22
Rhode Island,2091,2091-01-23
Rhode Island,2091,2091-01-24
Rhode Island,2091,2091-01-25
Rhode Island,2091,2091-01-26
Rhode Island,2091,2091-01-27
Rhode Island,2091,2091-01-28
Rhode Island,2091,2091-01-29
Rhode Island,2091,2091-01-30
Rhode Island,2091,2091-01-31
Rhode Island,2091,2091-02-01
Rhode Island,2091,2091-02-02
Rhode Island,2091,2091-02-03
Rhode Island,2091,2091-02-04
Rhode Island,2091,2091-02-05
Rhode Island,2091,2091-02-06
Rhode Island,2091,2091-02-07
Rhode Island,2091,2091-02-08
Rhode Island,2091,2091-02-09
Rhode Island,2091,2091-02-10
Rhode Island,2091,2091-02-11
Rhode Island,2091,2091-02-12
Rhode Island,2091,2091-02-13
Rhode Island,2091,2091-02-15
Rhode Island,2091,2091-02-16
Rhode Island,2091,2091-02-17
Rhode Island,2092,2092-01-06
Rhode Island,2092,2092-01-07
Rhode Island,2092,2092-01-10
Rhode Island,2092,2092-01-11
Rhode Island,2092,2092-01-12
Rhode Island,2092,2092-01-14
Rhode Island,2092,2092-01-15
Rhode Island,2092,2092-01-17
Rhode Island,2092,2092-01-18
Rhode Island,2092,2092-01-19
Rhode Island,2092,2092-01-20
Rhode Island,2092,2092-01-21
Rhode Island,2092,2092-01-22
Rhode Island,2092,2092-01-23
Rhode Island,2092,2092-01-24
Rhode Island,2092,2092-01-25
Rhode Island,2092,2092-01-26
Rhode Island,2092,2092-01-27
Rhode Island,2092,2092-01-28
Rhode Island,2092,2092-01-29
Rhode Island,2092,2092-01-30
Rhode Island,2092,2092-01-31
Rhode Island,2092,2092-02-01
Rhode Island,2092,2092-02-02
Rhode Island,2092,2092-02-03
Rhode Island,2092,2092-02-04
Rhode Island,2092,2092-02-05
Rhode Island,2092,2092-02-06
Rhode Island,2092,2092-02-07
Rhode Island,2092,2092-02-08
Rhode Island,2092,2092-02-09
Rhode Island,2092,2092-02-10
Rhode Island,2092,2092-02-11
Rhode Island,2092,2092-02-12
Rhode Island,2092,2092-02-13
Rhode Island,2092,2092-02-14
Rhode Island,2092,2092-02-15
Rhode Island,2092,2092-02-16
Rhode Island,2092,2092-02-17
Rhode Island,2092,2092-02-23
Rhode Island,2093,2093-01-11
Rhode Island,2093,2093-01-12
Rhode Island,2093,2093-01-13
Rhode Island,2093,2093-01-14
Rhode Island,2093,2093-01-15
Rhode Island,2093,2093-01-16
Rhode Island,2093,2093-01-17
Rhode Island,2093,2093-01-18
Rhode Island,2093,2093-01-19
Rhode Island,2093,2093-01-20
Rhode Island,2093,2093-01-21
Rhode Island,2093,2093-01-22
Rhode Island,2093,2093-01-23
Rhode Island,2093,2093-01-24
Rhode Island,2093,2093-01-25
Rhode Island,2093,2093-01-26
Rhode Island,2093,2093-01-27
Rhode Island,2093,2093-01-28
Rhode Island,2093,2093-01-29
Rhode Island,2093,2093-01-30
Rhode Island,2093,2093-01-31
Rhode Island,2093,2093-02-01
Rhode Island,2093,2093-02-02
Rhode Island,2093,2093-02-03
Rhode Island,2093,2093-02-04
Rhode Island,2093,2093-02-05
Rhode Island,2093,2093-02-06
Rhode Island,2093,2093-02-07
Rhode Island,2093,2093-02-08
Rhode Island,2093,2093-02-09
Rhode Island,2093,2093-02-10
Rhode Island,2093,2093-02-11
Rhode Island,2093,2093-02-12
Rhode Island,2093,2093-02-13
Rhode Island,2093,2093-02-14
Rhode Island,2093,2093-02-15
Rhode Island,2093,2093-02-16
Rhode Island,2093,2093-02-17
Rhode Island,2093,2093-02-18
Rhode Island,2094,2094-01-07
Rhode Island,2094,2094-01-08
Rhode Island,2094,2094-01-09
Rhode Island,2094,2094-01-10
Rhode Island,2094,2094-01-11
Rhode Island,2094,2094-01-12
Rhode Island,2094,2094-01-13
Rhode Island,2094,2094-01-14
Rhode Island,2094,2094-01-15
Rhode Island,2094,2094-01-16
Rhode Island,2094,2094-01-17
Rhode Island,2094,2094-01-18
Rhode Island,2094,2094-01-19
Rhode Island,2094,2094-01-20
Rhode Island,2094,2094-01-21
Rhode Island,2094,2094-01-22
Rhode Island,2094,2094-01-23
Rhode Island,2094,2094-01-24
Rhode Island,2094,2094-01-25
Rhode Island,2094,2094-01-26
Rhode Island,2094,2094-01-27
Rhode Island,2094,2094-01-28
Rhode Island,2094,2094-01-29
Rhode Island,2094,2094-01-30
Rhode Island,2094,2094-01-31
Rhode Island,2094,2094-02-01
Rhode Island,2094,2094-02-02
Rhode Island,2094,2094-02-03
Rhode Island,2094,2094-02-04
Rhode Island,2094,2094-02-05
Rhode Island,2094,2094-02-06
Rhode Island,2094,2094-02-07
Rhode Island,2094,2094-02-08
Rhode Island,2094,2094-02-09
Rhode Island,2094,2094-02-10
Rhode Island,2094,2094-02-11
Rhode Island,2094,2094-02-12
Rhode Island,2094,2094-02-13
Rhode Island,2094,2094-02-14
Rhode Island,2094,2094-02-15
Rhode Island,2094,2094-02-16
Rhode Island,2094,2094-02-17
Rhode Island,2094,2094-02-18
Rhode Island,2094,2094-02-19
Rhode Island,2094,2094-02-20
Rhode Island,2095,2095-01-07
Rhode Island,2095,2095-01-08
Rhode Island,2095,2095-01-09
Rhode Island,2095,2095-01-10
Rhode Island,2095,2095-01-11
Rhode Island,2095,2095-01-12
Rhode Island,2095,2095-01-13
Rhode Island,2095,2095-01-14
Rhode Island,2095,2095-01-15
Rhode Island,2095,2095-01-16
Rhode Island,2095,2095-01-17
Rhode Island,2095,2095-01-18
Rhode Island,2095,2095-01-19
Rhode Island,2095,2095-01-20
Rhode Island,2095,2095-01-21
Rhode Island,2095,2095-01-22
Rhode Island,2095,2095-01-23
Rhode Island,2095,2095-01-24
Rhode Island,2095,2095-01-25
Rhode Island,2095,2095-01-26
Rhode Island,2095,2095-01-27
Rhode Island,2095,2095-01-28
Rhode Island,2095,2095-01-29
Rhode Island,2095,2095-01-30
Rhode Island,2095,2095-01-31
Rhode Island,2095,2095-02-01
Rhode Island,2095,2095-02-02
Rhode Island,2095,2095-02-03
Rhode Island,2095,2095-02-04
Rhode Island,2095,2095-02-05
Rhode Island,2095,2095-02-06
Rhode Island,2095,2095-02-07
Rhode Island,2095,2095-02-08
Rhode Island,2095,2095-02-09
Rhode Island,2095,2095-02-10
Rhode Island,2095,2095-02-11
Rhode Island,2095,2095-02-12
Rhode Island,2095,2095-02-13
Rhode Island,2095,2095-02-14
Rhode Island,2095,2095-02-15
Rhode Island,2095,2095-02-16
Rhode Island,2095,2095-02-17
Rhode Island,2095,2095-02-18
Rhode Island,2095,2095-02-19
Rhode Island,2095,2095-02-20
Rhode Island,2095,2095-02-21
Rhode Island,2095,2095-02-22
Rhode Island,2096,2096-01-05
Rhode Island,2096,2096-01-06
Rhode Island,2096,2096-01-07
Rhode Island,2096,2096-01-08
Rhode Island,2096,2096-01-09
Rhode Island,2096,2096-01-10
Rhode Island,2096,2096-01-11
Rhode Island,2096,2096-01-12
Rhode Island,2096,2096-01-13
Rhode Island,2096,2096-01-14
Rhode Island,2096,2096-01-15
Rhode Island,2096,2096-01-16
Rhode Island,2096,2096-01-17
Rhode Island,2096,2096-01-18
Rhode Island,2096,2096-01-19
Rhode Island,2096,2096-01-20
Rhode Island,2096,2096-01-21
Rhode Island,2096,2096-01-22
Rhode Island,2096,2096-01-23
Rhode Island,2096,2096-01-24
Rhode Island,2096,2096-01-25
Rhode Island,2096,2096-01-26
Rhode Island,2096,2096-01-27
Rhode Island,2096,2096-01-28
Rhode Island,2096,2096-01-29
Rhode Island,2096,2096-01-30
Rhode Island,2096,2096-01-31
Rhode Island,2096,2096-02-01
Rhode Island,2096,2096-02-02
Rhode Island,2096,2096-02-03
Rhode Island,2096,2096-02-04
Rhode Island,2096,2096-02-05
Rhode Island,2096,2096-02-06
Rhode Island,2096,2096-02-07
Rhode Island,2096,2096-02-08
Rhode Island,2096,2096-02-09
