state,Year,hdd
Rhode Island,2020,479.6060669271909
Rhode Island,2021,417.8788631181796
Rhode Island,2022,300.9051099264051
Rhode Island,2023,528.0279221173724
Rhode Island,2024,444.3632874861026
Rhode Island,2025,360.84265867774576
Rhode Island,2026,340.975498844315
Rhode Island,2027,409.908970082699
Rhode Island,2028,496.65457349395473
Rhode Island,2029,442.27998527791584
Rhode Island,2030,446.4109759288157
Rhode Island,2031,529.5178665003208
Rhode Island,2032,347.9117515592314
Rhode Island,2033,491.1462602130054
Rhode Island,2034,469.49060342926117
Rhode Island,2035,425.4205897349563
Rhode Island,2036,397.6138424550288
Rhode Island,2037,456.77177776061643
Rhode Island,2038,473.02624855291293
Rhode Island,2039,564.7726601482062
Rhode Island,2040,369.68240657841415
Rhode Island,2041,485.5974288461146
Rhode Island,2042,495.2582520877432
Rhode Island,2043,461.2254758949104
Rhode Island,2044,389.18724378818877
Rhode Island,2045,572.2587522800318
Rhode Island,2046,491.72015532058873
Rhode Island,2047,494.0053370042423
Rhode Island,2048,503.8445949289724
Rhode Island,2049,396.3834196856004
Rhode Island,2050,660.9730662179304
Rhode Island,2051,619.4643467213422
Rhode Island,2052,612.0654652931826
Rhode Island,2053,574.0815557423361
Rhode Island,2054,493.6827665671438
Rhode Island,2055,583.5612841884406
Rhode Island,2056,678.8966178926464
Rhode Island,2057,565.5975053199188
Rhode Island,2058,672.0928501049154
Rhode Island,2059,590.7658102206221
Rhode Island,2060,844.630326099818
Rhode Island,2061,771.8250169876255
Rhode Island,2062,627.5086227267595
Rhode Island,2063,854.0013313708453
Rhode Island,2064,809.5946285924956
Rhode Island,2065,734.0380102242096
Rhode Island,2066,693.965248836176
Rhode Island,2067,764.9855427567967
Rhode Island,2068,844.5505901691891
Rhode Island,2069,823.3340986992063
Rhode Island,2070,843.2836582160237
Rhode Island,2071,954.8547975127807
Rhode Island,2072,738.9408208406173
Rhode Island,2073,901.5816622500367
Rhode Island,2074,868.0995395286745
Rhode Island,2075,877.4307357183327
Rhode Island,2076,802.4338896573656
Rhode Island,2077,829.4988668286433
Rhode Island,2078,904.5418712393517
Rhode Island,2079,1047.579845804652
Rhode Island,2080,784.808644440391
Rhode Island,2081,995.3199973280781
Rhode Island,2082,943.2312987255611
Rhode Island,2083,927.7068838161277
Rhode Island,2084,854.9623518492817
Rhode Island,2085,1049.160248429217
Rhode Island,2086,967.2940347118383
Rhode Island,2087,1034.3238050374703
Rhode Island,2088,998.8472400865046
Rhode Island,2089,887.0250534362303
Rhode Island,2090,1224.8248993977948
Rhode Island,2091,1188.0537153792106
Rhode Island,2092,1177.0984143607782
Rhode Island,2093,1086.209777710927
Rhode Island,2094,1006.3553141858332
Rhode Island,2095,1123.6108702020601
Rhode Island,2096,1218.344573056033
Rhode Island,2097,1116.4605849383724
Rhode Island,2098,1232.7961411003341
Rhode Island,2099,1067.5114394516868
