state,Year,hdd
South Carolina,2020,1343.9978312256553
South Carolina,2021,1222.0606494639787
South Carolina,2022,1204.05407772126
South Carolina,2023,1236.0689676563588
South Carolina,2024,1234.2273101275212
South Carolina,2025,1353.7878334185796
South Carolina,2026,1449.4113686194066
South Carolina,2027,1360.0846920829254
South Carolina,2028,1247.6440715177198
South Carolina,2029,1304.790416704223
South Carolina,2030,1467.384203688722
South Carolina,2031,1394.154778485201
South Carolina,2032,1179.0565114454816
South Carolina,2033,1440.4904308971004
South Carolina,2034,1236.9058270773626
South Carolina,2035,1397.73488615045
South Carolina,2036,1339.5906129322875
South Carolina,2037,1200.6772207783063
South Carolina,2038,1581.817745182741
South Carolina,2039,1354.1178166470327
South Carolina,2040,1382.8394979027705
South Carolina,2041,1383.8825909557113
South Carolina,2042,1516.8291255402376
South Carolina,2043,1298.0539066485917
South Carolina,2044,1479.50950014329
South Carolina,2045,1443.8268493481382
South Carolina,2046,1425.5656560933194
South Carolina,2047,1582.7282804963727
South Carolina,2048,1432.611969823513
South Carolina,2049,1416.4659717699265
South Carolina,2050,1717.2653729805866
South Carolina,2051,1723.5825791212833
South Carolina,2052,1597.0526689698709
South Carolina,2053,1342.0985432085931
South Carolina,2054,1454.7710480329145
South Carolina,2055,1636.0401121195077
South Carolina,2056,1771.4293257063125
South Carolina,2057,1663.4950454411828
South Carolina,2058,1716.9660571190304
South Carolina,2059,1805.8102828741448
South Carolina,2060,1901.0588012740113
South Carolina,2061,1865.5827063825654
South Carolina,2062,1797.3292974278902
South Carolina,2063,1771.5331979485754
South Carolina,2064,1800.0015705758847
South Carolina,2065,2034.1369882462582
South Carolina,2066,2102.267058457942
South Carolina,2067,1952.3064801758544
South Carolina,2068,1853.8700178882955
South Carolina,2069,1961.0340075228232
South Carolina,2070,2172.424986451476
South Carolina,2071,2025.088040993765
South Carolina,2072,1794.813730383649
South Carolina,2073,2088.0441377729376
South Carolina,2074,1906.7367214270478
South Carolina,2075,2053.98395967238
South Carolina,2076,2009.1608190465267
South Carolina,2077,1848.5799743260418
South Carolina,2078,2327.968555593506
South Carolina,2079,2124.4384921680967
South Carolina,2080,2107.752590369768
South Carolina,2081,2102.215287300742
South Carolina,2082,2303.150323701064
South Carolina,2083,2075.3143830427944
South Carolina,2084,2205.1563792349734
South Carolina,2085,2189.9911743955186
South Carolina,2086,2247.758531403581
South Carolina,2087,2360.602400684791
South Carolina,2088,2196.4595313710383
South Carolina,2089,2155.4158448506682
South Carolina,2090,2545.215486768878
South Carolina,2091,2577.1107449126735
South Carolina,2092,2426.155025717042
South Carolina,2093,2127.4158825789946
South Carolina,2094,2212.935096639578
South Carolina,2095,2535.261572896871
South Carolina,2096,2571.573787385964
South Carolina,2097,2484.5478508344754
South Carolina,2098,2467.7499549996637
South Carolina,2099,2655.677563645062
