state,Year,cdd
South Dakota,2020,4054.6545164520517
South Dakota,2021,3518.548934034396
South Dakota,2022,4596.88943490163
South Dakota,2023,4395.62003185322
South Dakota,2024,4287.251925019782
South Dakota,2025,4628.634187205103
South Dakota,2026,4007.299135387745
South Dakota,2027,3526.6366220204854
South Dakota,2028,4178.0052430486785
South Dakota,2029,4397.151559563677
South Dakota,2030,3908.6843173855573
South Dakota,2031,4048.615300209557
South Dakota,2032,3763.595120742982
South Dakota,2033,4522.017211189424
South Dakota,2034,4102.301346022108
South Dakota,2035,4156.7156827100425
South Dakota,2036,4760.957915860809
South Dakota,2037,4152.03340811159
South Dakota,2038,3653.7636753819797
South Dakota,2039,3467.321669592572
South Dakota,2040,3983.7568495280602
South Dakota,2041,3985.338717204182
South Dakota,2042,4027.091794998816
South Dakota,2043,3897.139636258568
South Dakota,2044,3627.7594690077804
South Dakota,2045,3706.13096787372
South Dakota,2046,3588.076012299928
South Dakota,2047,3764.7603137009305
South Dakota,2048,4334.645999883085
South Dakota,2049,4295.919555924429
South Dakota,2050,3964.683352470243
South Dakota,2051,4161.94446397986
South Dakota,2052,3255.8328513797624
South Dakota,2053,4349.3248729559555
South Dakota,2054,4284.92886123377
South Dakota,2055,3599.965623541033
South Dakota,2056,3475.1876056226015
South Dakota,2057,3717.5444317324677
South Dakota,2058,4326.497248801621
South Dakota,2059,4629.645726482206
South Dakota,2060,3630.4296062164194
South Dakota,2061,3118.373968165912
South Dakota,2062,4156.620301273317
South Dakota,2063,3935.7355192955088
South Dakota,2064,3850.3498348706594
South Dakota,2065,4234.459785424051
South Dakota,2066,3619.054200572504
South Dakota,2067,3167.8366472480257
South Dakota,2068,3806.848619961148
South Dakota,2069,4034.9982877824136
South Dakota,2070,3583.662738631986
South Dakota,2071,3740.1343488493976
South Dakota,2072,3390.7816701954685
South Dakota,2073,4124.373739798274
South Dakota,2074,3778.724951964533
South Dakota,2075,3787.826999853916
South Dakota,2076,4404.549627430766
South Dakota,2077,3841.1568704860188
South Dakota,2078,3326.5710018578184
South Dakota,2079,3121.9692765390587
South Dakota,2080,3616.1878783723027
South Dakota,2081,3608.2165965163967
South Dakota,2082,3667.5479949585897
South Dakota,2083,3549.720329484695
South Dakota,2084,3308.590786626477
South Dakota,2085,3421.58380645307
South Dakota,2086,3297.9953694451524
South Dakota,2087,3491.3650261184034
South Dakota,2088,4036.7414703887516
South Dakota,2089,4059.451971779956
South Dakota,2090,3782.6788116364214
South Dakota,2091,3989.708885580273
South Dakota,2092,3101.6958121600073
South Dakota,2093,4162.967204073246
South Dakota,2094,4096.668849053567
South Dakota,2095,3388.585307302582
South Dakota,2096,3255.912632877629
South Dakota,2097,3498.3447850926404
South Dakota,2098,4061.627780861453
South Dakota,2099,4369.605681706254
