state,Year,cdd
Tennessee,2020,2276.1059711017288
Tennessee,2021,2134.462194500112
Tennessee,2022,1969.6470329207664
Tennessee,2023,2187.0346781806993
Tennessee,2024,2017.2327645042708
Tennessee,2025,2116.2058344905035
Tennessee,2026,1855.032601642158
Tennessee,2027,1905.4202301383636
Tennessee,2028,2163.7715359110402
Tennessee,2029,2145.867899258445
Tennessee,2030,1629.347708017819
Tennessee,2031,1776.2329382431935
Tennessee,2032,1892.2613794087333
Tennessee,2033,2084.6272888725443
Tennessee,2034,1903.555010278608
Tennessee,2035,2079.927549876946
Tennessee,2036,2226.5558938366485
Tennessee,2037,2089.0058812520497
Tennessee,2038,1676.6136673793635
Tennessee,2039,1753.4570201639974
Tennessee,2040,1995.6844520752616
Tennessee,2041,1869.8090240172203
Tennessee,2042,1966.1173768374101
Tennessee,2043,1941.8688446453605
Tennessee,2044,1878.6733672142211
Tennessee,2045,1910.9738538137465
Tennessee,2046,1756.7568264428112
Tennessee,2047,1736.3805343248932
Tennessee,2048,2042.2905242412935
Tennessee,2049,2016.1531963397103
Tennessee,2050,2199.5544980026275
Tennessee,2051,1873.5278720311233
Tennessee,2052,1587.3592369675678
Tennessee,2053,2126.33400227402
Tennessee,2054,2331.7286756265144
Tennessee,2055,1874.9876453859938
Tennessee,2056,1822.9643698497543
Tennessee,2057,1606.6789897042415
Tennessee,2058,2064.7571763767564
Tennessee,2059,1879.9641153038765
Tennessee,2060,1960.2192867551169
Tennessee,2061,1803.4265171311451
Tennessee,2062,1693.2082700012354
Tennessee,2063,1910.1033602545783
Tennessee,2064,1737.5482278998759
Tennessee,2065,1843.1501453101787
Tennessee,2066,1577.1733128781698
Tennessee,2067,1602.8175501932524
Tennessee,2068,1847.0112453151878
Tennessee,2069,1838.0204341493086
Tennessee,2070,1335.6359246898123
Tennessee,2071,1507.0073002457116
Tennessee,2072,1604.426372464075
Tennessee,2073,1798.3645723905809
Tennessee,2074,1634.9157479499904
Tennessee,2075,1777.0413131689047
Tennessee,2076,1921.378603377707
Tennessee,2077,1767.7672758701506
Tennessee,2078,1400.2043816110195
Tennessee,2079,1488.3539563858867
Tennessee,2080,1742.6013207381304
Tennessee,2081,1605.6051622884024
Tennessee,2082,1729.2539646199562
Tennessee,2083,1716.5153336553924
Tennessee,2084,1668.0156202330413
Tennessee,2085,1679.6346887493282
Tennessee,2086,1517.9282583740574
Tennessee,2087,1530.5720962793976
Tennessee,2088,1796.2552543379759
Tennessee,2089,1770.6537205071472
Tennessee,2090,1962.9610663976373
Tennessee,2091,1640.6612548202513
Tennessee,2092,1373.6827877837288
Tennessee,2093,1880.2204038655993
Tennessee,2094,2059.397502986566
Tennessee,2095,1628.6213495926281
Tennessee,2096,1605.4647321080056
Tennessee,2097,1418.9647495084375
Tennessee,2098,1832.8031474348895
Tennessee,2099,1679.9111357745992
