state,Year,hdd
Tennessee,2020,1163.6273089890672
Tennessee,2021,999.7658273879033
Tennessee,2022,1034.8290861093599
Tennessee,2023,991.3052394067677
Tennessee,2024,967.8315671728408
Tennessee,2025,1078.038652008197
Tennessee,2026,1192.168260427915
Tennessee,2027,1123.75299414934
Tennessee,2028,1111.8738747983398
Tennessee,2029,953.7955219671419
Tennessee,2030,1151.4164571941953
Tennessee,2031,1172.7626642147825
Tennessee,2032,867.8153157383731
Tennessee,2033,1131.9385542998668
Tennessee,2034,944.1279530406589
Tennessee,2035,1149.6313882858926
Tennessee,2036,1031.6140883610278
Tennessee,2037,895.4286196249764
Tennessee,2038,1298.0927687089752
Tennessee,2039,1096.7521833865287
Tennessee,2040,1193.1342823940568
Tennessee,2041,1049.380209489095
Tennessee,2042,1217.4038909121025
Tennessee,2043,961.5128941485729
Tennessee,2044,1059.376633910556
Tennessee,2045,1163.120901500731
Tennessee,2046,1169.5588835915391
Tennessee,2047,1413.7528866264418
Tennessee,2048,1138.5482574033222
Tennessee,2049,1004.1737502769931
Tennessee,2050,1425.9524583344705
Tennessee,2051,1302.7591688586633
Tennessee,2052,1234.0149035434308
Tennessee,2053,996.3337144483021
Tennessee,2054,1035.9599457856857
Tennessee,2055,1128.2960969707437
Tennessee,2056,1299.086124688169
Tennessee,2057,1122.8429089386073
Tennessee,2058,1322.692345345054
Tennessee,2059,1228.5187627631224
Tennessee,2060,1501.767041085874
Tennessee,2061,1373.0606029950666
Tennessee,2062,1399.5529684525438
Tennessee,2063,1318.0996877633133
Tennessee,2064,1299.2418242365557
Tennessee,2065,1457.0779086059993
Tennessee,2066,1581.9844409355583
Tennessee,2067,1459.618058126222
Tennessee,2068,1422.4716009276353
Tennessee,2069,1220.3589250938762
Tennessee,2070,1456.7804872790662
Tennessee,2071,1458.6359817557077
Tennessee,2072,1145.52518374669
Tennessee,2073,1429.5551699991663
Tennessee,2074,1224.9399224605258
Tennessee,2075,1450.4812004267421
Tennessee,2076,1318.0049456283002
Tennessee,2077,1127.2198082872776
Tennessee,2078,1611.5883269570072
Tennessee,2079,1417.758305007917
Tennessee,2080,1531.4470562598137
Tennessee,2081,1373.482631089972
Tennessee,2082,1526.2384322962505
Tennessee,2083,1272.8652712584585
Tennessee,2084,1377.3749349887514
Tennessee,2085,1443.0506331797544
Tennessee,2086,1454.4882568445241
Tennessee,2087,1736.6601746526017
Tennessee,2088,1417.4165398590699
Tennessee,2089,1246.402210166286
Tennessee,2090,1692.1580985187159
Tennessee,2091,1561.5762865765723
Tennessee,2092,1443.0952799701809
Tennessee,2093,1181.3297128896077
Tennessee,2094,1238.435229046944
Tennessee,2095,1374.8162912704338
Tennessee,2096,1524.9551042601472
Tennessee,2097,1334.0239817591496
Tennessee,2098,1513.2746610750978
Tennessee,2099,1420.384028185946
