state,Year,Date
Texas,2020,2020-06-25
Texas,2020,2020-06-26
Texas,2020,2020-06-27
Texas,2020,2020-06-28
Texas,2020,2020-06-29
Texas,2020,2020-07-01
Texas,2020,2020-07-02
Texas,2020,2020-07-03
Texas,2020,2020-07-16
Texas,2020,2020-07-17
Texas,2024,2024-08-19
Texas,2025,2025-09-01
Texas,2026,2026-07-28
Texas,2026,2026-07-29
Texas,2026,2026-07-30
Texas,2026,2026-07-31
Texas,2026,2026-08-18
Texas,2028,2028-08-08
Texas,2028,2028-08-09
Texas,2030,2030-08-27
Texas,2030,2030-08-31
Texas,2034,2034-06-27
Texas,2034,2034-06-28
Texas,2034,2034-07-24
Texas,2035,2035-07-26
Texas,2035,2035-07-27
Texas,2035,2035-07-28
Texas,2035,2035-07-29
Texas,2036,2036-06-19
Texas,2036,2036-06-20
Texas,2036,2036-07-04
Texas,2036,2036-07-05
Texas,2036,2036-07-06
Texas,2036,2036-07-07
Texas,2036,2036-08-02
Texas,2038,2038-06-14
Texas,2038,2038-06-20
Texas,2038,2038-07-06
Texas,2038,2038-07-07
Texas,2038,2038-07-11
Texas,2038,2038-07-12
Texas,2038,2038-07-13
Texas,2038,2038-07-14
Texas,2038,2038-07-16
Texas,2038,2038-07-17
Texas,2038,2038-07-30
Texas,2038,2038-07-31
Texas,2038,2038-08-01
Texas,2038,2038-08-02
Texas,2038,2038-08-03
Texas,2039,2039-08-11
Texas,2039,2039-08-13
Texas,2039,2039-08-14
Texas,2039,2039-08-15
Texas,2039,2039-08-19
Texas,2039,2039-08-20
Texas,2040,2040-07-13
Texas,2040,2040-07-14
Texas,2040,2040-07-15
Texas,2040,2040-07-16
Texas,2040,2040-07-19
Texas,2040,2040-08-12
Texas,2040,2040-08-31
Texas,2040,2040-09-01
Texas,2040,2040-09-02
Texas,2040,2040-09-03
Texas,2040,2040-09-04
Texas,2040,2040-09-05
Texas,2041,2041-07-22
Texas,2041,2041-08-05
Texas,2042,2042-08-26
Texas,2043,2043-08-06
Texas,2043,2043-08-07
Texas,2043,2043-08-08
Texas,2045,2045-07-03
Texas,2045,2045-07-07
Texas,2046,2046-07-17
Texas,2046,2046-07-18
Texas,2047,2047-08-13
Texas,2048,2048-08-03
Texas,2048,2048-08-04
Texas,2049,2049-06-25
Texas,2049,2049-06-26
Texas,2049,2049-06-27
Texas,2049,2049-06-28
Texas,2049,2049-07-08
Texas,2049,2049-07-09
Texas,2049,2049-07-10
Texas,2049,2049-07-12
Texas,2049,2049-07-13
Texas,2049,2049-07-14
Texas,2049,2049-08-05
Texas,2049,2049-08-06
Texas,2050,2050-08-01
Texas,2050,2050-08-02
Texas,2050,2050-08-11
Texas,2050,2050-08-12
Texas,2050,2050-08-13
Texas,2050,2050-08-14
Texas,2050,2050-08-15
Texas,2050,2050-08-22
Texas,2050,2050-08-23
Texas,2050,2050-08-24
Texas,2051,2051-06-17
Texas,2051,2051-06-18
Texas,2051,2051-06-19
Texas,2051,2051-06-26
Texas,2051,2051-07-09
Texas,2051,2051-07-27
Texas,2051,2051-08-01
Texas,2051,2051-08-02
Texas,2051,2051-08-03
Texas,2051,2051-08-04
Texas,2051,2051-08-05
Texas,2051,2051-08-06
Texas,2051,2051-08-07
Texas,2051,2051-08-08
Texas,2051,2051-08-09
Texas,2051,2051-08-10
Texas,2051,2051-08-11
Texas,2051,2051-08-12
Texas,2051,2051-08-15
Texas,2051,2051-08-16
Texas,2051,2051-08-17
Texas,2051,2051-08-18
Texas,2051,2051-08-19
Texas,2051,2051-08-20
Texas,2051,2051-08-21
Texas,2051,2051-08-22
Texas,2051,2051-08-23
Texas,2051,2051-08-26
Texas,2051,2051-08-27
Texas,2051,2051-08-28
Texas,2051,2051-08-29
Texas,2051,2051-08-30
Texas,2051,2051-08-31
Texas,2051,2051-09-13
Texas,2052,2052-06-25
Texas,2052,2052-06-26
Texas,2052,2052-06-27
Texas,2052,2052-07-21
Texas,2052,2052-07-29
Texas,2052,2052-07-30
Texas,2052,2052-07-31
Texas,2052,2052-08-01
Texas,2052,2052-08-02
Texas,2052,2052-08-03
Texas,2052,2052-08-10
Texas,2052,2052-08-11
Texas,2052,2052-08-12
Texas,2052,2052-08-14
Texas,2052,2052-09-07
Texas,2053,2053-06-27
Texas,2053,2053-06-28
Texas,2053,2053-06-29
Texas,2053,2053-06-30
Texas,2053,2053-08-06
Texas,2053,2053-08-07
Texas,2055,2055-08-08
Texas,2055,2055-08-09
Texas,2055,2055-08-10
Texas,2055,2055-08-11
Texas,2057,2057-06-23
Texas,2057,2057-07-28
Texas,2057,2057-07-29
Texas,2058,2058-07-19
Texas,2058,2058-07-20
Texas,2058,2058-07-21
Texas,2058,2058-07-22
Texas,2058,2058-07-23
Texas,2058,2058-07-24
Texas,2058,2058-07-29
Texas,2059,2059-08-08
Texas,2059,2059-08-11
Texas,2059,2059-08-12
Texas,2059,2059-08-13
Texas,2059,2059-08-16
Texas,2059,2059-08-18
Texas,2059,2059-08-26
Texas,2060,2060-06-19
Texas,2060,2060-06-20
Texas,2060,2060-06-23
Texas,2060,2060-06-24
Texas,2060,2060-06-25
Texas,2060,2060-06-26
Texas,2060,2060-06-27
Texas,2060,2060-06-28
Texas,2060,2060-06-29
Texas,2060,2060-06-30
Texas,2060,2060-07-01
Texas,2060,2060-07-02
Texas,2060,2060-07-03
Texas,2060,2060-07-04
Texas,2060,2060-07-05
Texas,2060,2060-07-06
Texas,2060,2060-07-07
Texas,2060,2060-07-08
Texas,2060,2060-07-09
Texas,2060,2060-07-10
Texas,2060,2060-07-11
Texas,2060,2060-07-12
Texas,2060,2060-07-13
Texas,2060,2060-07-14
Texas,2060,2060-07-15
Texas,2060,2060-07-16
Texas,2060,2060-07-17
Texas,2060,2060-07-18
Texas,2060,2060-07-24
Texas,2060,2060-07-26
Texas,2060,2060-07-27
Texas,2060,2060-07-29
Texas,2060,2060-07-30
Texas,2060,2060-07-31
Texas,2060,2060-08-01
Texas,2060,2060-08-02
Texas,2060,2060-08-08
Texas,2060,2060-08-20
Texas,2060,2060-08-21
Texas,2060,2060-08-22
Texas,2060,2060-08-23
Texas,2060,2060-08-24
Texas,2061,2061-07-20
Texas,2061,2061-07-21
Texas,2061,2061-07-22
Texas,2061,2061-07-23
Texas,2061,2061-07-24
Texas,2061,2061-08-06
Texas,2061,2061-08-15
Texas,2062,2062-07-19
Texas,2062,2062-07-20
Texas,2062,2062-07-24
Texas,2062,2062-07-25
Texas,2062,2062-07-26
Texas,2062,2062-07-27
Texas,2062,2062-08-02
Texas,2062,2062-08-04
Texas,2062,2062-08-05
Texas,2062,2062-08-06
Texas,2062,2062-08-13
Texas,2062,2062-08-14
Texas,2062,2062-08-15
Texas,2062,2062-08-16
Texas,2062,2062-08-17
Texas,2062,2062-08-23
Texas,2062,2062-08-24
Texas,2062,2062-08-26
Texas,2062,2062-08-27
