state,Year,hdd
Utah,2020,218.3564690776588
Utah,2021,157.15738831157927
Utah,2022,105.18099172124437
Utah,2023,59.27297613900009
Utah,2024,24.135260395928583
Utah,2025,6.108954963974611
Utah,2026,0.0
Utah,2027,0.0
Utah,2028,0.0
Utah,2029,0.0
Utah,2030,0.0
Utah,2031,0.0
Utah,2032,0.0
Utah,2033,0.0
Utah,2034,0.0
Utah,2035,0.0
Utah,2036,0.0
Utah,2037,0.0
Utah,2038,0.0
Utah,2039,0.0
Utah,2040,0.0
Utah,2041,0.0
Utah,2042,0.0
Utah,2043,0.0
Utah,2044,0.0
Utah,2045,0.0
Utah,2046,0.0
Utah,2047,0.0
Utah,2048,0.0
Utah,2049,0.0
Utah,2050,0.0
Utah,2051,0.0
Utah,2052,0.0
Utah,2053,0.0
Utah,2054,0.0
Utah,2055,0.0
Utah,2056,0.0
Utah,2057,0.0
Utah,2058,0.0
Utah,2059,0.0
Utah,2060,0.0
Utah,2061,0.0
Utah,2062,0.0
Utah,2063,0.0
Utah,2064,0.0
Utah,2065,0.0
Utah,2066,0.0
Utah,2067,0.0
Utah,2068,0.0
Utah,2069,0.0
Utah,2070,0.0
Utah,2071,0.0
Utah,2072,0.0
Utah,2073,0.0
Utah,2074,0.0
Utah,2075,0.0
Utah,2076,0.0
Utah,2077,0.0
Utah,2078,0.0
Utah,2079,0.0
Utah,2080,0.0
Utah,2081,0.0
Utah,2082,0.0
Utah,2083,0.0
Utah,2084,0.0
Utah,2085,0.0
Utah,2086,0.0
Utah,2087,0.0
Utah,2088,0.0
Utah,2089,0.0
Utah,2090,0.0
Utah,2091,0.0
Utah,2092,0.0
Utah,2093,0.0
Utah,2094,0.0
Utah,2095,0.0
Utah,2096,0.0
Utah,2097,0.0
Utah,2098,0.0
Utah,2099,0.0
