state,Year,hdd
Utah,2020,387.671455109572
Utah,2021,461.1859407555708
Utah,2022,352.62953987600196
Utah,2023,336.2795470344436
Utah,2024,328.13267983464175
Utah,2025,415.5329508815715
Utah,2026,415.20415012072743
Utah,2027,336.75224542141734
Utah,2028,534.5406104777915
Utah,2029,424.2130107485627
Utah,2030,498.2525500228132
Utah,2031,396.1049402663616
Utah,2032,397.2829904039441
Utah,2033,281.928433979585
Utah,2034,652.3008864788867
Utah,2035,470.7289614435026
Utah,2036,571.3416327909563
Utah,2037,442.242369766219
Utah,2038,489.2068938620834
Utah,2039,432.6391080024775
Utah,2040,595.2403665452442
Utah,2041,615.3853082624619
Utah,2042,603.9117330512372
Utah,2043,642.877006874866
Utah,2044,442.05480945090204
Utah,2045,511.8798371923328
Utah,2046,601.6684660606004
Utah,2047,735.2605803984193
Utah,2048,578.3284942872798
Utah,2049,504.5941521177427
Utah,2050,569.5509802230802
Utah,2051,543.4797391850382
Utah,2052,690.0372608278165
Utah,2053,677.971113124431
Utah,2054,575.393797045813
Utah,2055,643.5161736290476
Utah,2056,636.4332892041889
Utah,2057,683.3419734209089
Utah,2058,756.8772385273463
Utah,2059,609.0806243165455
Utah,2060,816.0688540500252
Utah,2061,898.2722999166983
Utah,2062,737.1765504132898
Utah,2063,727.3183224634142
Utah,2064,733.8495787387602
Utah,2065,812.4203395174748
Utah,2066,819.8090587838541
Utah,2067,838.9454538790264
Utah,2068,1009.5466186303224
Utah,2069,876.9188801014905
Utah,2070,939.5248811187279
Utah,2071,860.2004971126287
Utah,2072,890.5398730943363
Utah,2073,702.1150334531103
Utah,2074,1140.8582464114054
Utah,2075,842.2703395864047
Utah,2076,1057.3962727056858
Utah,2077,905.3409602876773
Utah,2078,881.7662226544409
Utah,2079,900.0947611874526
Utah,2080,1100.7159975811155
Utah,2081,1159.8747088583305
Utah,2082,1066.8458252658988
Utah,2083,1193.9490885433147
Utah,2084,931.3531226482712
Utah,2085,959.7139368849655
Utah,2086,1107.0516586199499
Utah,2087,1265.758752694951
Utah,2088,1061.4707864460372
Utah,2089,995.4724868074518
Utah,2090,1064.8624876205276
Utah,2091,1020.3843605159938
Utah,2092,1243.4128312460282
Utah,2093,1193.0993501589169
Utah,2094,1149.3924788899512
Utah,2095,1202.9954261309053
Utah,2096,1172.0405055126757
Utah,2097,1141.6592469883044
Utah,2098,1338.5081628920364
Utah,2099,1069.225318169146
