state,Year,cdd
Vermont,2020,4660.284502438285
Vermont,2021,4289.165129600854
Vermont,2022,4440.027547827886
Vermont,2023,4215.415488871872
Vermont,2024,4236.664785538036
Vermont,2025,4405.259696646
Vermont,2026,4323.430070254344
Vermont,2027,4290.172748830628
Vermont,2028,4380.206231014546
Vermont,2029,4498.978220860743
Vermont,2030,3873.6181987186787
Vermont,2031,3891.3190268234607
Vermont,2032,4349.9921951681445
Vermont,2033,4382.889107682081
Vermont,2034,4427.837867798142
Vermont,2035,4209.646699048894
Vermont,2036,4305.31507255899
Vermont,2037,4447.816753578898
Vermont,2038,3702.478063596784
Vermont,2039,3995.676424205538
Vermont,2040,4357.244311165824
Vermont,2041,4017.641033642151
Vermont,2042,4147.947223056692
Vermont,2043,4513.533736695744
Vermont,2044,4389.356844394847
Vermont,2045,4262.318764498301
Vermont,2046,3827.904176619218
Vermont,2047,4362.800418239203
Vermont,2048,4226.947940015451
Vermont,2049,4343.796021540225
Vermont,2050,3924.4417542634114
Vermont,2051,4014.988887972835
Vermont,2052,3700.5990217864714
Vermont,2053,4185.781370137519
Vermont,2054,4401.2341042140415
Vermont,2055,4283.319820041822
Vermont,2056,4024.2425241347705
Vermont,2057,4043.8065341607758
Vermont,2058,4279.01201041862
Vermont,2059,4350.313708282362
Vermont,2060,4062.503130273368
Vermont,2061,3718.113625385009
Vermont,2062,3839.8354218165214
Vermont,2063,3640.1295861262383
Vermont,2064,3691.946874472551
Vermont,2065,3841.4392811636717
Vermont,2066,3726.039165603978
Vermont,2067,3707.7852473810653
Vermont,2068,3847.872577258925
Vermont,2069,3961.4743097509813
Vermont,2070,3342.65960539694
Vermont,2071,3400.598082935333
Vermont,2072,3818.0772688089896
Vermont,2073,3832.449283240218
Vermont,2074,3865.8673631699544
Vermont,2075,3654.513153394141
Vermont,2076,3764.921331220181
Vermont,2077,3878.956367196668
Vermont,2078,3128.760055957317
Vermont,2079,3456.8846630446064
Vermont,2080,3805.49539078032
Vermont,2081,3505.156183206376
Vermont,2082,3658.8042238952858
Vermont,2083,4014.225277756215
Vermont,2084,3915.214096491019
Vermont,2085,3845.442834562305
Vermont,2086,3404.6706766680054
Vermont,2087,3939.125118638485
Vermont,2088,3800.8768835023156
Vermont,2089,3911.4725959229445
Vermont,2090,3492.3219452111825
Vermont,2091,3604.054164689941
Vermont,2092,3351.0434085599404
Vermont,2093,3791.6070150324326
Vermont,2094,3988.006035691468
Vermont,2095,3905.5979866719003
Vermont,2096,3666.646036049433
Vermont,2097,3683.3840646313784
Vermont,2098,3949.637537043671
Vermont,2099,3990.4075640434967
