state,Year,cdd
Vermont,2020,4839.282280668408
Vermont,2021,4475.795049539498
Vermont,2022,4627.14460933231
Vermont,2023,4404.977311785071
Vermont,2024,4421.144720569843
Vermont,2025,4570.574103235497
Vermont,2026,4494.952034462556
Vermont,2027,4415.820989346101
Vermont,2028,4483.637920155833
Vermont,2029,4619.114510480749
Vermont,2030,3969.624011577814
Vermont,2031,4024.1543321229706
Vermont,2032,4485.825062236163
Vermont,2033,4519.278072426019
Vermont,2034,4546.69498201548
Vermont,2035,4310.998716813942
Vermont,2036,4387.06848407636
Vermont,2037,4541.448554699047
Vermont,2038,3802.6084983243036
Vermont,2039,4108.847128768133
Vermont,2040,4500.567665061928
Vermont,2041,4178.41537838722
Vermont,2042,4271.361204713116
Vermont,2043,4666.730558447066
Vermont,2044,4523.7285475494955
Vermont,2045,4391.178163388902
Vermont,2046,3981.35148075231
Vermont,2047,4495.3102926234415
Vermont,2048,4328.628301385033
Vermont,2049,4433.453318089196
Vermont,2050,3979.624188909064
Vermont,2051,4018.322643723682
Vermont,2052,3710.420175133106
Vermont,2053,4187.190785831482
Vermont,2054,4361.613661250919
Vermont,2055,4251.986876330882
Vermont,2056,3966.492525275936
Vermont,2057,3983.5594790342175
Vermont,2058,4227.445094219229
Vermont,2059,4271.29219788517
Vermont,2060,4180.551561272485
Vermont,2061,3867.0003530059594
Vermont,2062,3980.168078730489
Vermont,2063,3772.29673812171
Vermont,2064,3804.1139195568426
Vermont,2065,3957.8765534519184
Vermont,2066,3858.5397600731485
Vermont,2067,3828.730608579976
Vermont,2068,3886.9559243741496
Vermont,2069,4040.7789136016654
Vermont,2070,3414.6226330119457
Vermont,2071,3482.3622116380643
Vermont,2072,3886.266492074494
Vermont,2073,3902.404118446985
Vermont,2074,3922.16082466848
Vermont,2075,3696.6188747822775
Vermont,2076,3769.8602002682974
Vermont,2077,3863.311786158372
Vermont,2078,3170.7298669386146
Vermont,2079,3467.253027318999
Vermont,2080,3785.390820079783
Vermont,2081,3478.888871370419
Vermont,2082,3604.1524888171753
Vermont,2083,3963.2094001291252
Vermont,2084,3827.470202523513
Vermont,2085,3729.8179773195448
Vermont,2086,3288.6707646254845
Vermont,2087,3802.889606792395
Vermont,2088,3629.5932714630508
Vermont,2089,3706.3667371139945
Vermont,2090,3314.160555670087
Vermont,2091,3401.1946748774635
Vermont,2092,3119.469629582524
Vermont,2093,3557.484090038165
Vermont,2094,3725.5400018760074
Vermont,2095,3646.8530570397224
Vermont,2096,3379.3026033175756
Vermont,2097,3340.8660126052837
Vermont,2098,3596.6125084866494
Vermont,2099,3567.132457369794
