state,Year,hdd
Vermont,2020,270.3258824878417
Vermont,2021,246.67658280697697
Vermont,2022,189.08917046420095
Vermont,2023,343.7090936864558
Vermont,2024,288.0730148956417
Vermont,2025,219.44825779499325
Vermont,2026,201.5903254485338
Vermont,2027,280.8518074995184
Vermont,2028,379.4556001889184
Vermont,2029,312.3863898349953
Vermont,2030,302.91864833314435
Vermont,2031,324.68394673061863
Vermont,2032,181.20250275952503
Vermont,2033,309.1891519063597
Vermont,2034,300.9693630505406
Vermont,2035,314.44484130551393
Vermont,2036,243.4746565167565
Vermont,2037,226.51633032684083
Vermont,2038,278.93363717370136
Vermont,2039,377.21850150334376
Vermont,2040,168.3050480419351
Vermont,2041,301.4573036480671
Vermont,2042,324.1856731249073
Vermont,2043,282.8203021413502
Vermont,2044,190.8563482610487
Vermont,2045,375.6338208976473
Vermont,2046,284.25006863192164
Vermont,2047,278.52458785541063
Vermont,2048,257.8880303773088
Vermont,2049,192.59475934997909
Vermont,2050,353.82981726914187
Vermont,2051,346.30450046902257
Vermont,2052,377.0993305098184
Vermont,2053,321.67432100703894
Vermont,2054,250.58682639046924
Vermont,2055,306.8489990782476
Vermont,2056,373.7968514218941
Vermont,2057,292.1118249324754
Vermont,2058,407.1082192185317
Vermont,2059,297.6226347383396
Vermont,2060,458.1312859058963
Vermont,2061,440.5004115879144
Vermont,2062,354.7892343618271
Vermont,2063,549.4396580329105
Vermont,2064,455.5736137208803
Vermont,2065,378.0295465511905
Vermont,2066,347.55803394898004
Vermont,2067,447.67108538885265
Vermont,2068,525.2315629689001
Vermont,2069,489.37780150393235
Vermont,2070,478.416270457213
Vermont,2071,535.0401965713891
Vermont,2072,334.99943148539916
Vermont,2073,489.1311900585391
Vermont,2074,458.2417805737341
Vermont,2075,492.45367662321195
Vermont,2076,413.27325665157
Vermont,2077,396.0703130316003
Vermont,2078,475.11648486830273
Vermont,2079,593.2351251477673
Vermont,2080,327.8032966444217
Vermont,2081,492.8804570420206
Vermont,2082,492.46910349691126
Vermont,2083,422.8679451379135
Vermont,2084,330.5048345613412
Vermont,2085,536.9010288891362
Vermont,2086,420.30123517516245
Vermont,2087,421.3480744252092
Vermont,2088,393.04309350315475
Vermont,2089,307.3079262294709
Vermont,2090,480.8843020775101
Vermont,2091,482.5348498690219
Vermont,2092,510.43316845518706
Vermont,2093,424.7827981250952
Vermont,2094,364.8773699695566
Vermont,2095,442.8369720636145
Vermont,2096,501.0738284426744
Vermont,2097,397.1588829636004
Vermont,2098,523.8034520096594
Vermont,2099,396.15031461480777
