state,Year,hdd
Virginia,2020,720.0648646712821
Virginia,2021,776.4844247007154
Virginia,2022,834.8532880665325
Virginia,2023,895.6199442751024
Virginia,2024,957.5894390531919
Virginia,2025,1022.6215857911749
Virginia,2026,1088.4673959702668
Virginia,2027,1155.1368247036755
Virginia,2028,1223.7933346187078
Virginia,2029,1294.441626049479
Virginia,2030,1366.90838477351
Virginia,2031,1438.633787342595
Virginia,2032,1513.9830631038246
Virginia,2033,1589.070339124553
Virginia,2034,1665.7419132573143
Virginia,2035,1743.0387327648066
Virginia,2036,1822.7199681537693
Virginia,2037,1903.4715093084762
Virginia,2038,1983.4950168622906
Virginia,2039,2067.6562818959464
Virginia,2040,2151.4784156346573
Virginia,2041,2236.028434758919
Virginia,2042,2323.4855651183248
Virginia,2043,2411.7509249895775
Virginia,2044,2502.699579007141
Virginia,2045,2593.089506598222
Virginia,2046,2687.322844574692
Virginia,2047,2782.0147515344283
Virginia,2048,2878.2817146916295
Virginia,2049,2976.0388118349147
Virginia,2050,3076.303228075734
Virginia,2051,3177.3749729109077
Virginia,2052,3279.9283066199346
Virginia,2053,3385.3250828334503
Virginia,2054,3491.335341846261
Virginia,2055,3599.76308530066
Virginia,2056,3710.331749309411
Virginia,2057,3824.369398599514
Virginia,2058,3942.112099774395
Virginia,2059,4060.2199158952053
Virginia,2060,4182.932443935722
Virginia,2061,4305.18138690714
Virginia,2062,4433.587903934856
Virginia,2063,4558.740315928479
Virginia,2064,4693.678302304071
Virginia,2065,4826.356816181515
Virginia,2066,4965.28797926614
Virginia,2067,5106.034236572178
Virginia,2068,5252.265483191797
Virginia,2069,5392.920691046353
Virginia,2070,5534.596332390163
Virginia,2071,5678.754065283714
Virginia,2072,5823.5296185310135
Virginia,2073,5962.945970351952
Virginia,2074,6104.359464192598
Virginia,2075,6247.85908954208
Virginia,2076,6396.649962191387
Virginia,2077,6532.207702744814
Virginia,2078,6674.796675776759
Virginia,2079,6816.140189010481
Virginia,2080,6967.565494017501
Virginia,2081,7100.479612074804
Virginia,2082,7243.3942956888295
Virginia,2083,7384.327098070979
Virginia,2084,7535.554296834299
Virginia,2085,7668.922720986035
Virginia,2086,7809.802677529411
Virginia,2087,7952.303682334027
Virginia,2088,8104.134114649703
Virginia,2089,8235.267074321033
Virginia,2090,8375.413660723354
Virginia,2091,8517.725908740034
Virginia,2092,8672.046044006325
Virginia,2093,8800.557827154049
Virginia,2094,8943.244689472042
Virginia,2095,9081.995137539054
Virginia,2096,9238.526020327334
Virginia,2097,9365.542119318756
Virginia,2098,9507.273594413406
Virginia,2099,9647.23181156685
