rb,Year,Date,Load_sum
p117,2020,2020-07-02,
p117,2020,2020-07-08,
p117,2020,2020-07-16,
p117,2020,2020-07-20,
p117,2020,2020-08-02,
p117,2023,2023-07-15,
p117,2023,2023-07-16,
p117,2023,2023-07-21,
p117,2023,2023-08-20,
p117,2023,2023-08-22,
p117,2026,2026-07-18,
p117,2026,2026-07-20,
p117,2027,2027-07-23,
p117,2027,2027-07-25,
p117,2027,2027-08-03,
p117,2028,2028-06-21,
p117,2028,2028-06-22,
p117,2028,2028-06-25,
p117,2028,2028-07-06,
p117,2028,2028-07-07,
p117,2028,2028-07-08,
p117,2028,2028-07-09,
p117,2028,2028-07-10,
p117,2028,2028-07-15,
p117,2028,2028-07-16,
p117,2028,2028-07-29,
p117,2028,2028-07-30,
p117,2028,2028-08-02,
p117,2028,2028-08-03,
p117,2028,2028-08-04,
p117,2028,2028-08-09,
p117,2028,2028-08-10,
p117,2028,2028-08-11,
p117,2028,2028-08-13,
p117,2028,2028-08-14,
p117,2028,2028-08-15,
p117,2028,2028-08-17,
p117,2028,2028-08-18,
p117,2030,2030-07-05,
p117,2030,2030-07-09,
p117,2031,2031-07-22,
p117,2031,2031-07-23,
p117,2031,2031-08-02,
p117,2031,2031-08-03,
p117,2031,2031-08-29,
p117,2031,2031-08-30,
p117,2031,2031-09-16,
p117,2033,2033-07-05,
p117,2033,2033-07-08,
p117,2033,2033-07-09,
p117,2033,2033-07-11,
p117,2033,2033-07-26,
p117,2033,2033-07-28,
p117,2033,2033-08-28,
p117,2033,2033-08-29,
p117,2033,2033-08-30,
p117,2035,2035-07-14,
p117,2035,2035-07-15,
p117,2035,2035-08-14,
p117,2037,2037-07-28,
p117,2038,2038-06-25,
p117,2038,2038-07-21,
p117,2038,2038-09-14,
p117,2039,2039-06-26,
p117,2039,2039-07-04,
p117,2039,2039-07-09,
p117,2039,2039-07-22,
p117,2039,2039-07-23,
p117,2039,2039-07-25,
p117,2039,2039-07-28,
p117,2039,2039-07-30,
p117,2039,2039-07-31,
p117,2040,2040-08-09,
p117,2041,2041-07-24,
p117,2041,2041-08-08,
p117,2041,2041-08-09,
p117,2042,2042-07-02,
p117,2042,2042-07-04,
p117,2042,2042-07-22,
p117,2042,2042-08-01,
p117,2042,2042-08-02,
p117,2042,2042-08-03,
p117,2042,2042-08-04,
p117,2042,2042-08-05,
p117,2042,2042-08-13,
p117,2042,2042-08-22,
p117,2045,2045-07-25,
p117,2045,2045-08-04,
p117,2045,2045-08-12,
p117,2045,2045-08-20,
p117,2046,2046-07-17,
p117,2046,2046-07-18,
p117,2046,2046-07-31,
p117,2046,2046-08-01,
p117,2046,2046-08-02,
p117,2046,2046-08-03,
p117,2046,2046-08-25,
p117,2047,2047-08-08,
p117,2047,2047-08-09,
p117,2047,2047-08-16,
p117,2047,2047-08-23,
p117,2047,2047-08-24,
p117,2047,2047-08-25,
p117,2047,2047-08-29,
p117,2047,2047-09-06,
p117,2048,2048-06-09,
p117,2048,2048-07-12,
p117,2050,2050-06-22,
p117,2050,2050-07-05,
p117,2050,2050-07-06,
p117,2050,2050-07-07,
p117,2050,2050-07-08,
p117,2050,2050-07-16,
p117,2050,2050-07-23,
p117,2050,2050-07-24,
p117,2050,2050-08-04,
p117,2050,2050-08-10,
p117,2050,2050-08-11,
p117,2050,2050-09-23,
p117,2051,2051-05-30,
p117,2051,2051-05-31,
p117,2051,2051-07-10,
p117,2051,2051-07-11,
p117,2051,2051-07-12,
p117,2051,2051-07-20,
p117,2051,2051-07-21,
p117,2051,2051-07-22,
p117,2051,2051-07-28,
p117,2051,2051-07-29,
p117,2051,2051-09-02,
p117,2051,2051-09-03,
p117,2052,2052-06-29,
p117,2052,2052-06-30,
p117,2052,2052-07-01,
p117,2052,2052-07-04,
p117,2052,2052-07-05,
p117,2052,2052-07-06,
p117,2052,2052-07-07,
