rb,Year,Date,Load_sum
p75,2021,2021-07-12,
p75,2023,2023-07-21,
p75,2023,2023-08-19,
p75,2023,2023-09-09,
p75,2024,2024-08-28,
p75,2024,2024-08-29,
p75,2027,2027-06-14,
p75,2027,2027-07-20,
p75,2027,2027-07-21,
p75,2027,2027-07-23,
p75,2027,2027-08-02,
p75,2027,2027-08-16,
p75,2028,2028-06-19,
p75,2028,2028-06-20,
p75,2028,2028-06-21,
p75,2028,2028-07-06,
p75,2028,2028-07-07,
p75,2028,2028-07-08,
p75,2028,2028-07-14,
p75,2028,2028-07-15,
p75,2028,2028-07-27,
p75,2028,2028-07-28,
p75,2028,2028-07-29,
p75,2028,2028-07-30,
p75,2028,2028-07-31,
p75,2028,2028-08-01,
p75,2028,2028-08-02,
p75,2028,2028-08-03,
p75,2028,2028-08-04,
p75,2028,2028-08-06,
p75,2028,2028-08-07,
p75,2028,2028-08-08,
p75,2028,2028-08-11,
p75,2028,2028-08-12,
p75,2028,2028-08-13,
p75,2028,2028-08-14,
p75,2028,2028-08-15,
p75,2028,2028-08-16,
p75,2028,2028-08-17,
p75,2029,2029-07-09,
p75,2029,2029-07-10,
p75,2029,2029-08-04,
p75,2029,2029-08-05,
p75,2031,2031-08-26,
p75,2035,2035-07-13,
p75,2035,2035-07-14,
p75,2039,2039-07-29,
p75,2039,2039-07-30,
p75,2040,2040-08-31,
p75,2041,2041-07-31,
p75,2041,2041-08-07,
p75,2041,2041-08-08,
p75,2042,2042-07-21,
p75,2042,2042-08-01,
p75,2042,2042-09-07,
p75,2042,2042-09-09,
p75,2043,2043-08-21,
p75,2043,2043-08-24,
p75,2043,2043-08-26,
p75,2045,2045-07-17,
p75,2045,2045-07-24,
p75,2046,2046-07-15,
p75,2046,2046-07-16,
p75,2046,2046-07-30,
p75,2046,2046-07-31,
p75,2046,2046-08-01,
p75,2047,2047-07-08,
p75,2047,2047-07-31,
p75,2051,2051-07-20,
p75,2052,2052-07-02,
p75,2052,2052-07-03,
p75,2052,2052-07-04,
p75,2052,2052-07-05,
p75,2052,2052-07-06,
p75,2052,2052-07-15,
p75,2052,2052-07-16,
p75,2052,2052-07-17,
p75,2052,2052-07-21,
p75,2052,2052-07-22,
p75,2052,2052-07-23,
p75,2052,2052-07-24,
p75,2052,2052-07-25,
p75,2052,2052-07-26,
p75,2052,2052-07-30,
p75,2052,2052-08-01,
