state,Year,hdd
Wisconsin,2020,185.23884205052002
Wisconsin,2021,142.01109839238046
Wisconsin,2022,134.37643557937645
Wisconsin,2023,303.86254142879403
Wisconsin,2024,156.10239673282422
Wisconsin,2025,143.6079388635572
Wisconsin,2026,153.83773758095276
Wisconsin,2027,284.3124703072669
Wisconsin,2028,361.5366772123632
Wisconsin,2029,187.32808558099703
Wisconsin,2030,169.88246587560428
Wisconsin,2031,289.74394473638256
Wisconsin,2032,66.49040917637774
Wisconsin,2033,134.1852474998954
Wisconsin,2034,177.1039513941637
Wisconsin,2035,284.73611017490435
Wisconsin,2036,144.93720882925425
Wisconsin,2037,162.72891830249097
Wisconsin,2038,243.56066010316636
Wisconsin,2039,248.53089656365614
Wisconsin,2040,159.89838299608397
Wisconsin,2041,236.79409842549546
Wisconsin,2042,266.7993178388479
Wisconsin,2043,192.00566780450924
Wisconsin,2044,96.61851560178059
Wisconsin,2045,297.4561261489674
Wisconsin,2046,233.9980451287488
Wisconsin,2047,278.502075841841
Wisconsin,2048,146.45659603873736
Wisconsin,2049,111.54454039794553
Wisconsin,2050,278.4640045510923
Wisconsin,2051,255.2252952467258
Wisconsin,2052,349.91740859651844
Wisconsin,2053,203.31874569305091
Wisconsin,2054,95.37357949960688
Wisconsin,2055,163.55072988201346
Wisconsin,2056,234.39948385619687
Wisconsin,2057,147.5783714655343
Wisconsin,2058,258.19671885863175
Wisconsin,2059,187.2101812797692
Wisconsin,2060,372.9427705056193
Wisconsin,2061,284.99831910272184
Wisconsin,2062,258.2845189256663
Wisconsin,2063,481.1499618096257
Wisconsin,2064,334.7385576456213
Wisconsin,2065,303.98653439672535
Wisconsin,2066,286.20145798031734
Wisconsin,2067,485.11990687370724
Wisconsin,2068,555.4012406540261
Wisconsin,2069,357.46843784182676
Wisconsin,2070,331.49998308802776
Wisconsin,2071,488.858162315483
Wisconsin,2072,202.24981849194558
Wisconsin,2073,272.8496681571165
Wisconsin,2074,349.612722108786
Wisconsin,2075,469.13114623756746
Wisconsin,2076,296.94480310246774
Wisconsin,2077,315.7978368651614
Wisconsin,2078,464.0797260088489
Wisconsin,2079,421.6854538640765
Wisconsin,2080,364.76932744859033
Wisconsin,2081,438.6560641194087
Wisconsin,2082,484.6474859251875
Wisconsin,2083,385.71775879841437
Wisconsin,2084,236.07266301591108
Wisconsin,2085,538.3227309432912
Wisconsin,2086,447.2853205397924
Wisconsin,2087,530.1721409470974
Wisconsin,2088,345.9295946012961
Wisconsin,2089,279.218505904253
Wisconsin,2090,482.57917506790284
Wisconsin,2091,460.8808429896974
Wisconsin,2092,573.728467502359
Wisconsin,2093,397.7212586400583
Wisconsin,2094,274.0255862899598
Wisconsin,2095,374.09651453457775
Wisconsin,2096,495.7509492564179
Wisconsin,2097,356.82448072616506
Wisconsin,2098,505.4388036309368
Wisconsin,2099,402.3944080706889
