state,Year,Date
Wyoming,2020,2020-01-27
Wyoming,2020,2020-01-28
Wyoming,2021,2021-02-10
Wyoming,2021,2021-02-11
Wyoming,2022,2022-02-04
Wyoming,2022,2022-02-05
Wyoming,2022,2022-02-09
Wyoming,2023,2023-12-20
Wyoming,2023,2023-12-21
Wyoming,2023,2023-12-22
Wyoming,2023,2023-12-23
Wyoming,2023,2023-12-24
Wyoming,2023,2023-12-25
Wyoming,2023,2023-12-28
Wyoming,2024,2024-01-18
Wyoming,2024,2024-01-20
Wyoming,2025,2025-01-30
Wyoming,2025,2025-01-31
Wyoming,2025,2025-02-01
Wyoming,2025,2025-02-02
Wyoming,2025,2025-02-04
Wyoming,2025,2025-12-11
Wyoming,2029,2029-02-02
Wyoming,2029,2029-02-03
Wyoming,2029,2029-02-04
Wyoming,2029,2029-02-05
Wyoming,2029,2029-02-06
Wyoming,2029,2029-02-08
Wyoming,2029,2029-12-22
Wyoming,2030,2030-12-20
Wyoming,2030,2030-12-21
Wyoming,2030,2030-12-22
Wyoming,2030,2030-12-23
Wyoming,2030,2030-12-29
Wyoming,2030,2030-12-30
Wyoming,2033,2033-02-17
Wyoming,2036,2036-02-02
Wyoming,2036,2036-02-03
Wyoming,2037,2037-01-12
Wyoming,2037,2037-01-13
Wyoming,2038,2038-12-21
Wyoming,2043,2043-02-24
Wyoming,2046,2046-02-18
Wyoming,2051,2051-02-01
Wyoming,2051,2051-02-02
Wyoming,2054,2054-02-05
Wyoming,2054,2054-02-06
Wyoming,2054,2054-12-30
Wyoming,2054,2054-12-31
Wyoming,2056,2056-12-17
Wyoming,2062,2062-02-04
Wyoming,2062,2062-02-05
Wyoming,2063,2063-12-21
Wyoming,2063,2063-12-22
Wyoming,2063,2063-12-23
Wyoming,2063,2063-12-24
Wyoming,2064,2064-01-18
Wyoming,2065,2065-01-31
Wyoming,2065,2065-02-01
Wyoming,2069,2069-02-03
Wyoming,2069,2069-02-04
Wyoming,2069,2069-02-05
Wyoming,2070,2070-12-20
Wyoming,2070,2070-12-21
Wyoming,2070,2070-12-22
Wyoming,2070,2070-12-23
Wyoming,2070,2070-12-29
Wyoming,2070,2070-12-30
Wyoming,2076,2076-02-02
