rb,Year,Date
p10,2020,2020-12-30
p10,2020,2020-12-31
p10,2021,2021-12-30
p10,2021,2021-12-31
p10,2022,2022-12-30
p10,2022,2022-12-31
p10,2023,2023-12-30
p10,2023,2023-12-31
p10,2024,2024-12-30
p10,2024,2024-12-31
p10,2025,2025-12-30
p10,2025,2025-12-31
p10,2026,2026-12-30
p10,2026,2026-12-31
p10,2027,2027-12-30
p10,2027,2027-12-31
p10,2028,2028-12-30
p10,2028,2028-12-31
p10,2029,2029-12-30
p10,2029,2029-12-31
p10,2030,2030-12-30
p10,2030,2030-12-31
p10,2031,2031-12-30
p10,2031,2031-12-31
p10,2032,2032-12-30
p10,2032,2032-12-31
p10,2033,2033-12-30
p10,2033,2033-12-31
p10,2034,2034-12-30
p10,2034,2034-12-31
p10,2035,2035-12-30
p10,2035,2035-12-31
p10,2036,2036-12-30
p10,2036,2036-12-31
p10,2037,2037-12-30
p10,2037,2037-12-31
p10,2038,2038-12-30
p10,2038,2038-12-31
p10,2039,2039-12-30
p10,2039,2039-12-31
p10,2040,2040-12-30
p10,2040,2040-12-31
p10,2041,2041-12-30
p10,2041,2041-12-31
p10,2042,2042-12-30
p10,2042,2042-12-31
p10,2043,2043-12-30
p10,2043,2043-12-31
p10,2044,2044-12-30
p10,2044,2044-12-31
p10,2045,2045-12-30
p10,2045,2045-12-31
p10,2046,2046-12-30
p10,2046,2046-12-31
p10,2047,2047-12-30
p10,2047,2047-12-31
p10,2048,2048-12-30
p10,2048,2048-12-31
p10,2049,2049-12-30
p10,2049,2049-12-31
p10,2050,2050-12-30
p10,2050,2050-12-31
p10,2051,2051-12-30
p10,2051,2051-12-31
p10,2052,2052-12-30
p10,2052,2052-12-31
p10,2053,2053-12-30
p10,2053,2053-12-31
p10,2054,2054-12-30
p10,2054,2054-12-31
p10,2055,2055-12-30
p10,2055,2055-12-31
p10,2056,2056-12-30
p10,2056,2056-12-31
p10,2057,2057-12-30
p10,2057,2057-12-31
p10,2058,2058-12-30
p10,2058,2058-12-31
p10,2059,2059-12-30
p10,2059,2059-12-31
p10,2060,2060-12-30
p10,2060,2060-12-31
p10,2061,2061-12-30
p10,2061,2061-12-31
p10,2062,2062-12-30
p10,2062,2062-12-31
p10,2063,2063-12-30
p10,2063,2063-12-31
p10,2064,2064-12-30
p10,2064,2064-12-31
p10,2065,2065-12-30
p10,2065,2065-12-31
p10,2066,2066-12-30
p10,2066,2066-12-31
p10,2067,2067-12-30
p10,2067,2067-12-31
p10,2068,2068-12-30
p10,2068,2068-12-31
p10,2069,2069-12-30
p10,2069,2069-12-31
p10,2070,2070-12-30
p10,2070,2070-12-31
p10,2071,2071-12-30
p10,2071,2071-12-31
p10,2072,2072-12-30
p10,2072,2072-12-31
p10,2073,2073-12-30
p10,2073,2073-12-31
p10,2074,2074-12-30
p10,2074,2074-12-31
p10,2075,2075-12-30
p10,2075,2075-12-31
p10,2076,2076-12-30
p10,2076,2076-12-31
p10,2077,2077-12-30
p10,2077,2077-12-31
p10,2078,2078-12-30
p10,2078,2078-12-31
p10,2079,2079-12-30
p10,2079,2079-12-31
p10,2080,2080-12-30
p10,2080,2080-12-31
p10,2081,2081-12-30
p10,2081,2081-12-31
p10,2082,2082-12-30
p10,2082,2082-12-31
p10,2083,2083-12-30
p10,2083,2083-12-31
p10,2084,2084-12-30
p10,2084,2084-12-31
p10,2085,2085-12-30
p10,2085,2085-12-31
p10,2086,2086-12-30
p10,2086,2086-12-31
p10,2087,2087-12-30
p10,2087,2087-12-31
p10,2088,2088-12-30
p10,2088,2088-12-31
p10,2089,2089-12-30
p10,2089,2089-12-31
p10,2090,2090-12-30
p10,2090,2090-12-31
p10,2091,2091-12-30
p10,2091,2091-12-31
p10,2092,2092-12-30
p10,2092,2092-12-31
p10,2093,2093-12-30
p10,2093,2093-12-31
p10,2094,2094-12-30
p10,2094,2094-12-31
p10,2095,2095-12-30
p10,2095,2095-12-31
p10,2096,2096-12-30
p10,2096,2096-12-31
p10,2097,2097-12-30
p10,2097,2097-12-31
p10,2098,2098-12-30
p10,2098,2098-12-31
p10,2099,2099-12-30
p10,2099,2099-12-31
