rb,Year,Date
p114,2088,2088-07-14
p114,2088,2088-07-18
p114,2088,2088-07-19
p114,2088,2088-07-20
p114,2088,2088-07-21
p114,2089,2089-07-12
p114,2089,2089-07-13
p114,2089,2089-07-14
p114,2089,2089-07-15
p114,2090,2090-07-09
p114,2090,2090-07-10
p114,2090,2090-07-11
p114,2090,2090-07-12
p114,2090,2090-07-16
p114,2090,2090-07-17
p114,2090,2090-07-18
p114,2090,2090-07-19
p114,2090,2090-08-01
p114,2090,2090-08-02
p114,2091,2091-07-03
p114,2091,2091-07-04
p114,2091,2091-07-05
p114,2091,2091-07-10
p114,2091,2091-07-11
p114,2091,2091-07-12
p114,2091,2091-07-13
p114,2091,2091-07-15
p114,2091,2091-07-16
p114,2091,2091-07-17
p114,2091,2091-07-18
p114,2091,2091-07-19
p114,2091,2091-07-22
p114,2091,2091-07-23
p114,2091,2091-07-24
p114,2091,2091-07-25
p114,2091,2091-07-27
p114,2091,2091-07-28
p114,2092,2092-07-06
p114,2092,2092-07-07
p114,2092,2092-07-08
p114,2092,2092-07-09
p114,2092,2092-07-10
p114,2092,2092-07-13
p114,2092,2092-07-14
p114,2092,2092-07-15
p114,2092,2092-07-16
p114,2092,2092-07-17
p114,2092,2092-07-18
p114,2092,2092-07-20
p114,2092,2092-07-21
p114,2092,2092-07-22
p114,2092,2092-07-23
p114,2092,2092-07-24
p114,2092,2092-07-29
p114,2092,2092-07-30
p114,2093,2093-06-22
p114,2093,2093-06-23
p114,2093,2093-06-24
p114,2093,2093-06-30
p114,2093,2093-07-01
p114,2093,2093-07-06
p114,2093,2093-07-07
p114,2093,2093-07-08
p114,2093,2093-07-09
p114,2093,2093-07-12
p114,2093,2093-07-13
p114,2093,2093-07-14
p114,2093,2093-07-15
p114,2093,2093-07-16
p114,2093,2093-07-17
p114,2093,2093-07-18
p114,2093,2093-07-19
p114,2093,2093-07-20
p114,2093,2093-07-21
p114,2093,2093-07-23
p114,2093,2093-07-24
p114,2093,2093-07-25
p114,2093,2093-07-26
p114,2093,2093-07-27
p114,2093,2093-07-28
p114,2093,2093-07-29
p114,2093,2093-08-09
p114,2093,2093-08-10
p114,2093,2093-08-11
p114,2094,2094-07-06
p114,2094,2094-07-07
p114,2094,2094-07-08
p114,2094,2094-07-09
p114,2094,2094-07-10
p114,2094,2094-07-11
p114,2094,2094-07-12
p114,2094,2094-07-13
p114,2094,2094-07-14
p114,2094,2094-07-15
p114,2094,2094-07-16
p114,2094,2094-07-18
p114,2094,2094-07-19
p114,2094,2094-07-20
p114,2094,2094-07-21
p114,2094,2094-07-22
p114,2094,2094-07-23
p114,2094,2094-07-24
p114,2094,2094-07-25
p114,2094,2094-07-26
p114,2094,2094-07-27
p114,2094,2094-07-28
p114,2094,2094-08-04
p114,2094,2094-08-05
p114,2095,2095-06-13
p114,2095,2095-06-14
p114,2095,2095-07-03
p114,2095,2095-07-04
p114,2095,2095-07-05
p114,2095,2095-07-06
p114,2095,2095-07-07
p114,2095,2095-07-08
p114,2095,2095-07-09
p114,2095,2095-07-10
p114,2095,2095-07-11
p114,2095,2095-07-12
p114,2095,2095-07-13
p114,2095,2095-07-14
p114,2095,2095-07-15
p114,2095,2095-07-16
p114,2095,2095-07-17
p114,2095,2095-07-18
p114,2095,2095-07-19
p114,2095,2095-07-20
p114,2095,2095-07-21
p114,2095,2095-07-22
p114,2095,2095-07-23
p114,2095,2095-07-24
p114,2095,2095-07-25
p114,2095,2095-07-26
p114,2095,2095-07-27
p114,2095,2095-07-28
p114,2095,2095-07-30
p114,2095,2095-07-31
p114,2095,2095-08-01
p114,2095,2095-08-02
p114,2095,2095-08-03
p114,2095,2095-08-08
p114,2095,2095-08-09
p114,2095,2095-08-23
p114,2095,2095-08-24
p114,2096,2096-06-26
p114,2096,2096-06-27
p114,2096,2096-06-30
p114,2096,2096-07-01
p114,2096,2096-07-02
p114,2096,2096-07-03
p114,2096,2096-07-04
p114,2096,2096-07-05
p114,2096,2096-07-07
p114,2096,2096-07-08
p114,2096,2096-07-09
p114,2096,2096-07-10
p114,2096,2096-07-11
p114,2096,2096-07-12
p114,2096,2096-07-13
p114,2096,2096-07-14
p114,2096,2096-07-15
p114,2096,2096-07-16
p114,2096,2096-07-17
p114,2096,2096-07-18
p114,2096,2096-07-19
p114,2096,2096-07-20
p114,2096,2096-07-21
p114,2096,2096-07-22
p114,2096,2096-07-23
p114,2096,2096-07-24
p114,2096,2096-07-25
p114,2096,2096-07-26
p114,2096,2096-07-27
p114,2096,2096-07-28
p114,2096,2096-07-31
p114,2096,2096-08-01
p114,2096,2096-08-02
p114,2096,2096-08-03
p114,2096,2096-08-06
p114,2096,2096-08-07
p114,2096,2096-08-13
p114,2096,2096-08-14
p114,2097,2097-06-24
p114,2097,2097-06-25
p114,2097,2097-06-26
p114,2097,2097-06-27
p114,2097,2097-06-28
p114,2097,2097-07-02
p114,2097,2097-07-03
p114,2097,2097-07-04
p114,2097,2097-07-05
p114,2097,2097-07-06
