rb,Year,hdd
p11,2020,897.179583333335
p11,2021,1018.4620833333357
p11,2022,774.4020833333344
p11,2023,905.4087500000013
p11,2024,1029.849583333335
p11,2025,915.1666666666682
p11,2026,837.6829166666691
p11,2027,882.6320833333352
p11,2028,989.8837500000025
p11,2029,955.510000000002
p11,2030,972.445833333335
p11,2031,848.1854166666685
p11,2032,992.6720833333361
p11,2033,804.6150000000023
p11,2034,921.2995833333352
p11,2035,997.5508333333356
p11,2036,1057.4104166666684
p11,2037,1055.3275000000026
p11,2038,807.6645833333349
p11,2039,901.651250000002
p11,2040,925.0862500000018
p11,2041,966.5645833333356
p11,2042,845.4408333333357
p11,2043,1033.393750000002
p11,2044,864.2933333333352
p11,2045,826.3495833333354
p11,2046,1019.9795833333347
p11,2047,929.0475000000016
p11,2048,1109.129166666668
p11,2049,969.3700000000014
p11,2050,765.5750000000022
p11,2051,821.200833333335
p11,2052,1010.4395833333353
p11,2053,906.5583333333356
p11,2054,1078.8929166666694
p11,2055,1094.616666666669
p11,2056,1025.555000000002
p11,2057,1089.4116666666678
p11,2058,1012.0358333333347
p11,2059,897.8325000000018
p11,2060,1212.9716666666682
p11,2061,1340.491666666669
p11,2062,1056.7133333333354
p11,2063,1198.8612500000022
p11,2064,1313.0470833333359
p11,2065,1200.7283333333344
p11,2066,1148.6308333333352
p11,2067,1176.5737500000018
p11,2068,1286.1454166666695
p11,2069,1284.6658333333353
p11,2070,1261.6862500000016
p11,2071,1113.4366666666688
p11,2072,1301.0137500000028
p11,2073,1098.0733333333358
p11,2074,1174.0429166666688
p11,2075,1289.9579166666697
p11,2076,1346.035000000002
p11,2077,1351.267083333335
p11,2078,1035.0050000000017
p11,2079,1174.3083333333352
p11,2080,1202.4912500000025
p11,2081,1257.2037500000024
p11,2082,1074.0758333333358
p11,2083,1282.2795833333348
p11,2084,1110.4929166666693
p11,2085,1083.3883333333354
p11,2086,1278.9445833333361
p11,2087,1186.1441666666685
p11,2088,1356.639166666669
p11,2089,1203.6941666666687
p11,2090,965.2879166666689
p11,2091,1026.5191666666688
p11,2092,1225.7520833333356
p11,2093,1130.0104166666688
p11,2094,1312.2916666666695
p11,2095,1327.1179166666682
p11,2096,1250.5816666666683
p11,2097,1303.5529166666693
p11,2098,1226.507916666668
p11,2099,1082.9516666666689
