rb,Year,cdd
p133,2020,3625.5735248435935
p133,2021,3499.2667546222206
p133,2022,3554.8321931790997
p133,2023,3343.964041186373
p133,2024,3341.232125523972
p133,2025,3351.387585602283
p133,2026,3389.8236156052026
p133,2027,3490.4947584052015
p133,2028,3443.5406425695896
p133,2029,3471.2421618958106
p133,2030,2972.6533156196415
p133,2031,3021.496115331589
p133,2032,3444.9673246090842
p133,2033,3425.02922670859
p133,2034,3446.5943905635345
p133,2035,3299.6371682840013
p133,2036,3461.420089327282
p133,2037,3459.206280875457
p133,2038,2951.4686610518397
p133,2039,3080.9584103776474
p133,2040,3438.6169976905926
p133,2041,3184.544110676635
p133,2042,3174.8497127701457
p133,2043,3643.14271762486
p133,2044,3488.26163311276
p133,2045,3488.2701165823264
p133,2046,3017.827213580217
p133,2047,3361.531413853261
p133,2048,3240.0759732584447
p133,2049,3386.056856236385
p133,2050,3038.2065579949094
p133,2051,3024.008686154292
p133,2052,2753.131558435926
p133,2053,3223.1810011111547
p133,2054,3282.0713938870404
p133,2055,3265.7286083443055
p133,2056,2996.0749416761682
p133,2057,2991.7923315545954
p133,2058,3139.055167770267
p133,2059,3201.7023427894264
p133,2060,3110.375779465053
p133,2061,2993.8241144299673
p133,2062,3022.8200945345434
p133,2063,2850.439395201336
p133,2064,2834.6923864966107
p133,2065,2867.081805491488
p133,2066,2882.1594961632613
p133,2067,2953.475231379048
p133,2068,2935.372166482622
p133,2069,3002.589244594579
p133,2070,2493.4738198952655
p133,2071,2545.180331830726
p133,2072,2950.3064534853647
p133,2073,2899.9774715426893
p133,2074,2879.512396419925
p133,2075,2784.113947088586
p133,2076,2911.285691966168
p133,2077,2869.239166306761
p133,2078,2386.4509849154133
p133,2079,2534.1173941990473
p133,2080,2866.152404545573
p133,2081,2617.7007316541763
p133,2082,2627.6210948481275
p133,2083,3047.6677513667432
p133,2084,2909.36766533538
p133,2085,2918.6177155958703
p133,2086,2436.1647521313885
p133,2087,2840.7259720154993
p133,2088,2701.062177903331
p133,2089,2815.5479269568004
p133,2090,2527.4173343315497
p133,2091,2538.6606646627883
p133,2092,2289.1033164426813
p133,2093,2713.3421276605695
p133,2094,2777.4759000734794
p133,2095,2793.161137826585
p133,2096,2513.3303524174203
p133,2097,2498.361720861554
p133,2098,2649.7313972067263
p133,2099,2662.244599633154
