rb,Year,cdd
p35,2020,5135.8672947677005
p35,2021,5135.8672947677005
p35,2022,5135.8672947677005
p35,2023,5135.8672947677005
p35,2024,5135.8672947677005
p35,2025,5135.8672947677005
p35,2026,5135.8672947677005
p35,2027,5135.8672947677005
p35,2028,5135.8672947677005
p35,2029,5135.8672947677005
p35,2030,5135.8672947677005
p35,2031,5135.8672947677005
p35,2032,5135.8672947677005
p35,2033,5135.8672947677005
p35,2034,5135.8672947677005
p35,2035,5135.8672947677005
p35,2036,5135.8672947677005
p35,2037,5135.8672947677005
p35,2038,5135.8672947677005
p35,2039,5135.8672947677005
p35,2040,5135.8672947677005
p35,2041,5135.8672947677005
p35,2042,5135.8672947677005
p35,2043,5135.8672947677005
p35,2044,5135.8672947677005
p35,2045,5135.8672947677005
p35,2046,5135.8672947677005
p35,2047,5135.8672947677005
p35,2048,5135.8672947677005
p35,2049,5135.8672947677005
p35,2050,5135.8672947677005
p35,2051,5135.8672947677005
p35,2052,5135.8672947677005
p35,2053,5135.8672947677005
p35,2054,5135.8672947677005
p35,2055,5135.8672947677005
p35,2056,5135.8672947677005
p35,2057,5135.8672947677005
p35,2058,5135.8672947677005
p35,2059,5135.8672947677005
p35,2060,5135.8672947677005
p35,2061,5135.8672947677005
p35,2062,5135.8672947677005
p35,2063,5135.8672947677005
p35,2064,5135.8672947677005
p35,2065,5135.8672947677005
p35,2066,5135.8672947677005
p35,2067,5135.8672947677005
p35,2068,5135.8672947677005
p35,2069,5135.8672947677005
p35,2070,5135.8672947677005
p35,2071,5135.8672947677005
p35,2072,5135.8672947677005
p35,2073,5135.8672947677005
p35,2074,5135.8672947677005
p35,2075,5135.8672947677005
p35,2076,5135.8672947677005
p35,2077,5135.8672947677005
p35,2078,5135.8672947677005
p35,2079,5135.8672947677005
p35,2080,5135.8672947677005
p35,2081,5135.8672947677005
p35,2082,5135.8672947677005
p35,2083,5135.8672947677005
p35,2084,5135.8672947677005
p35,2085,5135.8672947677005
p35,2086,5135.8672947677005
p35,2087,5135.8672947677005
p35,2088,5135.8672947677005
p35,2089,5135.8672947677005
p35,2090,5135.8672947677005
p35,2091,5135.8672947677005
p35,2092,5135.8672947677005
p35,2093,5135.8672947677005
p35,2094,5135.8672947677005
p35,2095,5135.8672947677005
p35,2096,5135.8672947677005
p35,2097,5135.8672947677005
p35,2098,5135.8672947677005
p35,2099,5135.8672947677005
