rb,Year,Date
p35,2020,2020-01-07
p35,2020,2020-01-08
p35,2021,2021-01-07
p35,2021,2021-01-08
p35,2022,2022-01-07
p35,2022,2022-01-08
p35,2023,2023-01-07
p35,2023,2023-01-08
p35,2024,2024-01-07
p35,2024,2024-01-08
p35,2025,2025-01-07
p35,2025,2025-01-08
p35,2026,2026-01-07
p35,2026,2026-01-08
p35,2027,2027-01-07
p35,2027,2027-01-08
p35,2028,2028-01-07
p35,2028,2028-01-08
p35,2029,2029-01-07
p35,2029,2029-01-08
p35,2030,2030-01-07
p35,2030,2030-01-08
p35,2031,2031-01-07
p35,2031,2031-01-08
p35,2032,2032-01-07
p35,2032,2032-01-08
p35,2033,2033-01-07
p35,2033,2033-01-08
p35,2034,2034-01-07
p35,2034,2034-01-08
p35,2035,2035-01-07
p35,2035,2035-01-08
p35,2036,2036-01-07
p35,2036,2036-01-08
p35,2037,2037-01-07
p35,2037,2037-01-08
p35,2038,2038-01-07
p35,2038,2038-01-08
p35,2039,2039-01-07
p35,2039,2039-01-08
p35,2040,2040-01-07
p35,2040,2040-01-08
p35,2041,2041-01-07
p35,2041,2041-01-08
p35,2042,2042-01-07
p35,2042,2042-01-08
p35,2043,2043-01-07
p35,2043,2043-01-08
p35,2044,2044-01-07
p35,2044,2044-01-08
p35,2045,2045-01-07
p35,2045,2045-01-08
p35,2046,2046-01-07
p35,2046,2046-01-08
p35,2047,2047-01-07
p35,2047,2047-01-08
p35,2048,2048-01-07
p35,2048,2048-01-08
p35,2049,2049-01-07
p35,2049,2049-01-08
p35,2050,2050-01-07
p35,2050,2050-01-08
p35,2051,2051-01-07
p35,2051,2051-01-08
p35,2052,2052-01-07
p35,2052,2052-01-08
p35,2053,2053-01-07
p35,2053,2053-01-08
p35,2054,2054-01-07
p35,2054,2054-01-08
p35,2055,2055-01-07
p35,2055,2055-01-08
p35,2056,2056-01-07
p35,2056,2056-01-08
p35,2057,2057-01-07
p35,2057,2057-01-08
p35,2058,2058-01-07
p35,2058,2058-01-08
p35,2059,2059-01-07
p35,2059,2059-01-08
p35,2060,2060-01-07
p35,2060,2060-01-08
p35,2061,2061-01-07
p35,2061,2061-01-08
p35,2062,2062-01-07
p35,2062,2062-01-08
p35,2063,2063-01-07
p35,2063,2063-01-08
p35,2064,2064-01-07
p35,2064,2064-01-08
p35,2065,2065-01-07
p35,2065,2065-01-08
p35,2066,2066-01-07
p35,2066,2066-01-08
p35,2067,2067-01-07
p35,2067,2067-01-08
p35,2068,2068-01-07
p35,2068,2068-01-08
p35,2069,2069-01-07
p35,2069,2069-01-08
p35,2070,2070-01-07
p35,2070,2070-01-08
p35,2071,2071-01-07
p35,2071,2071-01-08
p35,2072,2072-01-07
p35,2072,2072-01-08
p35,2073,2073-01-07
p35,2073,2073-01-08
p35,2074,2074-01-07
p35,2074,2074-01-08
p35,2075,2075-01-07
p35,2075,2075-01-08
p35,2076,2076-01-07
p35,2076,2076-01-08
p35,2077,2077-01-07
p35,2077,2077-01-08
p35,2078,2078-01-07
p35,2078,2078-01-08
p35,2079,2079-01-07
p35,2079,2079-01-08
p35,2080,2080-01-07
p35,2080,2080-01-08
p35,2081,2081-01-07
p35,2081,2081-01-08
p35,2082,2082-01-07
p35,2082,2082-01-08
p35,2083,2083-01-07
p35,2083,2083-01-08
p35,2084,2084-01-07
p35,2084,2084-01-08
p35,2085,2085-01-07
p35,2085,2085-01-08
p35,2086,2086-01-07
p35,2086,2086-01-08
p35,2087,2087-01-07
p35,2087,2087-01-08
p35,2088,2088-01-07
p35,2088,2088-01-08
p35,2089,2089-01-07
p35,2089,2089-01-08
p35,2090,2090-01-07
p35,2090,2090-01-08
p35,2091,2091-01-07
p35,2091,2091-01-08
p35,2092,2092-01-07
p35,2092,2092-01-08
p35,2093,2093-01-07
p35,2093,2093-01-08
p35,2094,2094-01-07
p35,2094,2094-01-08
p35,2095,2095-01-07
p35,2095,2095-01-08
p35,2096,2096-01-07
p35,2096,2096-01-08
p35,2097,2097-01-07
p35,2097,2097-01-08
p35,2098,2098-01-07
p35,2098,2098-01-08
p35,2099,2099-01-07
p35,2099,2099-01-08
