rb,Year,Date
p4,2020,2020-01-26
p4,2020,2020-01-27
p4,2020,2020-01-28
p4,2020,2020-01-29
p4,2020,2020-01-30
p4,2020,2020-01-31
p4,2022,2022-01-06
p4,2022,2022-01-07
p4,2023,2023-12-22
p4,2023,2023-12-23
p4,2023,2023-12-24
p4,2024,2024-12-19
p4,2025,2025-02-02
p4,2025,2025-02-03
p4,2025,2025-02-04
p4,2025,2025-11-23
p4,2025,2025-11-24
p4,2025,2025-11-25
p4,2025,2025-11-26
p4,2025,2025-11-28
p4,2025,2025-11-29
p4,2025,2025-11-30
p4,2025,2025-12-01
p4,2029,2029-02-02
p4,2029,2029-02-03
p4,2029,2029-02-04
p4,2030,2030-12-20
p4,2030,2030-12-21
p4,2030,2030-12-22
p4,2030,2030-12-23
p4,2030,2030-12-29
p4,2030,2030-12-30
p4,2033,2033-01-03
p4,2033,2033-01-06
p4,2033,2033-01-07
p4,2033,2033-01-08
p4,2033,2033-01-11
p4,2033,2033-01-12
p4,2036,2036-01-29
p4,2036,2036-01-30
p4,2036,2036-01-31
p4,2036,2036-02-01
p4,2036,2036-02-02
p4,2036,2036-02-03
p4,2044,2044-01-04
p4,2044,2044-01-05
p4,2044,2044-01-06
p4,2045,2045-01-15
p4,2048,2048-12-20
p4,2050,2050-11-24
p4,2057,2057-01-06
p4,2057,2057-01-12
p4,2057,2057-01-13
p4,2062,2062-01-06
p4,2062,2062-01-07
p4,2065,2065-11-23
p4,2065,2065-11-24
p4,2065,2065-11-25
p4,2065,2065-11-28
p4,2065,2065-11-29
p4,2065,2065-12-01
p4,2069,2069-02-02
p4,2069,2069-02-03
p4,2070,2070-12-22
p4,2070,2070-12-29
p4,2073,2073-01-06
p4,2076,2076-01-30
p4,2076,2076-01-31
p4,2076,2076-02-01
p4,2076,2076-02-02
p4,2076,2076-02-03
