rb,Year,Date
p55,2020,2020-07-17
p55,2020,2020-07-29
p55,2020,2020-07-30
p55,2020,2020-07-31
p55,2020,2020-08-01
p55,2024,2024-08-29
p55,2026,2026-07-28
p55,2027,2027-08-02
p55,2027,2027-08-21
p55,2036,2036-07-06
p55,2038,2038-09-04
p55,2038,2038-09-05
p55,2040,2040-08-08
p55,2040,2040-08-15
p55,2040,2040-08-17
p55,2040,2040-08-27
p55,2040,2040-08-28
p55,2040,2040-08-29
p55,2040,2040-08-30
p55,2040,2040-08-31
p55,2040,2040-09-02
p55,2043,2043-08-18
p55,2045,2045-07-22
p55,2045,2045-07-23
p55,2046,2046-07-14
p55,2046,2046-07-15
p55,2046,2046-07-16
p55,2046,2046-07-17
p55,2046,2046-07-18
p55,2046,2046-07-19
p55,2046,2046-07-20
p55,2046,2046-08-06
p55,2046,2046-08-09
p55,2046,2046-08-17
p55,2046,2046-08-18
p55,2051,2051-07-10
p55,2051,2051-07-27
p55,2051,2051-07-28
p55,2051,2051-07-31
p55,2051,2051-08-01
p55,2051,2051-08-02
p55,2051,2051-08-03
p55,2051,2051-08-04
p55,2051,2051-08-07
p55,2051,2051-08-08
p55,2051,2051-08-19
p55,2051,2051-08-24
p55,2051,2051-08-31
p55,2051,2051-09-01
p55,2052,2052-06-25
p55,2052,2052-06-27
p55,2052,2052-06-28
p55,2052,2052-06-29
p55,2052,2052-07-06
p55,2052,2052-07-07
p55,2052,2052-07-18
p55,2052,2052-07-19
p55,2052,2052-07-20
p55,2052,2052-07-23
p55,2052,2052-07-25
p55,2052,2052-07-27
p55,2052,2052-07-28
p55,2052,2052-07-29
p55,2052,2052-07-30
p55,2052,2052-07-31
p55,2052,2052-08-01
p55,2052,2052-08-02
p55,2052,2052-08-03
p55,2052,2052-08-04
p55,2052,2052-08-05
p55,2054,2054-08-23
p55,2057,2057-07-22
p55,2058,2058-06-28
p55,2058,2058-07-20
p55,2058,2058-07-21
p55,2060,2060-07-01
p55,2060,2060-07-02
p55,2060,2060-07-10
p55,2060,2060-07-11
p55,2060,2060-07-12
p55,2060,2060-07-13
p55,2060,2060-07-14
p55,2060,2060-07-15
p55,2060,2060-07-16
p55,2060,2060-07-17
p55,2060,2060-07-18
p55,2060,2060-07-19
p55,2060,2060-07-29
p55,2060,2060-07-30
p55,2060,2060-07-31
p55,2060,2060-08-01
p55,2060,2060-08-02
p55,2060,2060-08-03
p55,2060,2060-08-09
p55,2060,2060-08-10
p55,2063,2063-08-25
p55,2063,2063-08-26
p55,2063,2063-08-27
p55,2064,2064-08-28
p55,2064,2064-08-29
p55,2064,2064-08-30
p55,2065,2065-07-31
p55,2065,2065-09-01
p55,2066,2066-07-27
p55,2066,2066-07-28
p55,2066,2066-07-29
p55,2066,2066-07-30
p55,2067,2067-07-29
p55,2067,2067-07-30
p55,2067,2067-07-31
p55,2067,2067-08-01
p55,2067,2067-08-02
p55,2067,2067-08-03
p55,2067,2067-08-04
p55,2067,2067-08-08
p55,2067,2067-08-16
p55,2067,2067-08-20
p55,2067,2067-08-21
p55,2067,2067-08-22
p55,2067,2067-08-26
p55,2068,2068-08-07
p55,2068,2068-08-08
p55,2068,2068-08-09
p55,2068,2068-08-16
p55,2068,2068-08-17
p55,2070,2070-08-26
p55,2070,2070-08-27
p55,2070,2070-08-28
p55,2070,2070-08-29
p55,2070,2070-09-06
p55,2071,2071-08-01
p55,2071,2071-08-02
p55,2071,2071-08-08
p55,2073,2073-08-19
p55,2074,2074-08-28
p55,2076,2076-07-06
p55,2076,2076-07-07
p55,2076,2076-07-19
p55,2076,2076-07-20
p55,2076,2076-07-21
p55,2076,2076-08-05
p55,2076,2076-08-06
p55,2077,2077-07-24
p55,2077,2077-07-25
p55,2077,2077-07-26
p55,2077,2077-07-27
p55,2078,2078-07-18
p55,2078,2078-07-19
p55,2078,2078-07-22
p55,2078,2078-07-30
p55,2078,2078-08-10
p55,2078,2078-08-18
p55,2078,2078-08-24
p55,2078,2078-08-25
p55,2078,2078-09-04
p55,2078,2078-09-05
p55,2078,2078-09-07
p55,2079,2079-07-29
p55,2079,2079-08-11
p55,2079,2079-08-12
p55,2079,2079-08-17
p55,2079,2079-08-18
p55,2080,2080-07-15
p55,2080,2080-08-04
p55,2080,2080-08-05
p55,2080,2080-08-06
p55,2080,2080-08-08
p55,2080,2080-08-09
p55,2080,2080-08-10
p55,2080,2080-08-15
p55,2080,2080-08-16
p55,2080,2080-08-17
p55,2080,2080-08-22
p55,2080,2080-08-23
p55,2080,2080-08-24
p55,2080,2080-08-25
p55,2080,2080-08-27
p55,2080,2080-08-28
p55,2080,2080-08-29
p55,2080,2080-08-31
p55,2080,2080-09-01
p55,2080,2080-09-02
p55,2080,2080-09-03
p55,2081,2081-07-07
p55,2081,2081-07-08
p55,2081,2081-07-09
p55,2081,2081-07-17
p55,2081,2081-07-20
p55,2081,2081-07-21
p55,2081,2081-07-22
p55,2081,2081-07-23
p55,2081,2081-07-30
p55,2081,2081-08-09
p55,2081,2081-08-21
p55,2083,2083-07-20
p55,2083,2083-08-17
p55,2083,2083-08-18
p55,2083,2083-08-19
p55,2083,2083-08-20
p55,2083,2083-08-21
p55,2083,2083-08-22
p55,2083,2083-08-26
p55,2085,2085-07-20
p55,2085,2085-07-21
p55,2085,2085-07-22
p55,2085,2085-07-23
p55,2085,2085-07-24
p55,2085,2085-07-25
p55,2085,2085-07-26
p55,2085,2085-08-02
p55,2085,2085-08-12
p55,2085,2085-08-18
p55,2085,2085-08-19
p55,2086,2086-07-13
p55,2086,2086-07-14
p55,2086,2086-07-15
p55,2086,2086-07-16
p55,2086,2086-07-17
p55,2086,2086-07-18
p55,2086,2086-07-19
p55,2086,2086-07-20
p55,2086,2086-07-21
p55,2086,2086-07-30
p55,2086,2086-07-31
p55,2086,2086-08-01
p55,2086,2086-08-02
p55,2086,2086-08-05
p55,2086,2086-08-06
p55,2086,2086-08-07
p55,2086,2086-08-09
p55,2086,2086-08-10
p55,2086,2086-08-17
p55,2086,2086-08-18
p55,2086,2086-08-19
p55,2088,2088-08-02
p55,2088,2088-08-03
p55,2088,2088-08-04
p55,2088,2088-08-05
