rb,Year,cdd
p79,2020,4333.62776044384
p79,2021,4116.573861666115
p79,2022,4281.469320302964
p79,2023,4019.598620004027
p79,2024,4118.428417995832
p79,2025,4308.2575873020305
p79,2026,4054.55016649412
p79,2027,3647.6710738005636
p79,2028,4145.055030147414
p79,2029,4283.102973263767
p79,2030,3821.2476178366414
p79,2031,3776.8079794269456
p79,2032,3955.9945055724056
p79,2033,4068.2701861454825
p79,2034,4057.3166199295038
p79,2035,4098.073704728109
p79,2036,4290.025182761265
p79,2037,4058.6135924189007
p79,2038,3310.3070761822696
p79,2039,3695.657769146177
p79,2040,3867.3616174547547
p79,2041,3719.868711425661
p79,2042,3810.7673442613536
p79,2043,4041.0977690315794
p79,2044,3884.539105719387
p79,2045,3733.366701675836
p79,2046,3604.4790515791924
p79,2047,3694.6952887126317
p79,2048,4282.089278388107
p79,2049,4264.898112621274
p79,2050,3722.7912157476785
p79,2051,3997.592299277935
p79,2052,3354.4545312708938
p79,2053,4266.703951785818
p79,2054,4589.551962691957
p79,2055,3960.211257917445
p79,2056,3637.682614159874
p79,2057,3685.583313418911
p79,2058,3934.214047198325
p79,2059,4052.180497350519
p79,2060,3609.350652913764
p79,2061,3417.8607077722095
p79,2062,3573.3937916026757
p79,2063,3381.0601231442724
p79,2064,3439.610724940036
p79,2065,3551.4153587675055
p79,2066,3353.2212043795707
p79,2067,3015.247686609474
p79,2068,3442.2790239326864
p79,2069,3549.039883742676
p79,2070,3130.9417063066767
p79,2071,3103.494753429763
p79,2072,3234.553525057829
p79,2073,3353.3097262617976
p79,2074,3308.8707701456706
p79,2075,3352.3159580688794
p79,2076,3531.9983837430495
p79,2077,3268.6231715817275
p79,2078,2665.5051604007913
p79,2079,3002.643765388231
p79,2080,3103.013130965323
p79,2081,2931.1957649336846
p79,2082,3108.063006345278
p79,2083,3265.0073934339343
p79,2084,3106.722730845534
p79,2085,3051.2268551498773
p79,2086,2903.021089988428
p79,2087,2976.123277147103
p79,2088,3420.924839002921
p79,2089,3410.9515130168093
p79,2090,2953.915877861058
p79,2091,3218.6790422919703
p79,2092,2662.927760234321
p79,2093,3426.1032542584817
p79,2094,3718.113660603306
p79,2095,3189.6119962528232
p79,2096,2936.777554094379
p79,2097,2992.8611905407965
p79,2098,3266.846966878845
p79,2099,3338.275232807829
