rb,Year,Date
p81,2020,2020-07-12
p81,2020,2020-07-14
p81,2020,2020-07-15
p81,2023,2023-08-26
p81,2024,2024-08-29
p81,2027,2027-08-02
p81,2027,2027-08-03
p81,2027,2027-08-21
p81,2028,2028-07-14
p81,2028,2028-07-15
p81,2028,2028-07-31
p81,2028,2028-08-08
p81,2028,2028-08-14
p81,2028,2028-08-15
p81,2028,2028-08-16
p81,2028,2028-08-17
p81,2028,2028-08-18
p81,2039,2039-07-29
p81,2039,2039-07-30
p81,2040,2040-08-17
p81,2040,2040-08-30
p81,2040,2040-08-31
p81,2040,2040-09-01
p81,2040,2040-09-02
p81,2043,2043-08-17
p81,2043,2043-08-21
p81,2043,2043-08-25
p81,2043,2043-08-26
p81,2043,2043-08-27
p81,2045,2045-07-24
p81,2046,2046-07-30
p81,2046,2046-07-31
p81,2046,2046-08-01
p81,2046,2046-08-02
p81,2047,2047-08-12
p81,2047,2047-08-14
p81,2047,2047-08-15
p81,2051,2051-08-02
p81,2051,2051-08-24
p81,2051,2051-09-01
p81,2051,2051-09-02
p81,2052,2052-06-28
p81,2052,2052-06-29
p81,2052,2052-06-30
p81,2052,2052-07-01
p81,2052,2052-07-03
p81,2052,2052-07-04
p81,2052,2052-07-05
p81,2052,2052-07-06
p81,2052,2052-07-07
p81,2052,2052-07-08
p81,2052,2052-07-17
p81,2052,2052-07-18
p81,2052,2052-07-19
p81,2052,2052-07-22
p81,2052,2052-07-23
p81,2052,2052-07-24
p81,2052,2052-07-25
p81,2052,2052-07-26
p81,2052,2052-07-30
p81,2052,2052-07-31
p81,2052,2052-08-01
p81,2052,2052-08-03
p81,2052,2052-08-04
p81,2052,2052-08-05
p81,2060,2060-07-07
p81,2060,2060-07-08
p81,2060,2060-07-09
p81,2060,2060-07-10
p81,2060,2060-07-12
p81,2060,2060-07-14
p81,2060,2060-07-15
p81,2060,2060-07-16
p81,2060,2060-07-19
p81,2060,2060-07-20
p81,2060,2060-07-30
p81,2060,2060-07-31
p81,2060,2060-08-01
p81,2060,2060-08-04
p81,2060,2060-08-07
p81,2060,2060-08-08
p81,2060,2060-08-09
p81,2060,2060-08-10
p81,2060,2060-08-13
p81,2060,2060-08-19
p81,2060,2060-08-20
p81,2060,2060-08-26
p81,2060,2060-08-27
p81,2060,2060-09-13
p81,2063,2063-07-22
p81,2063,2063-08-19
p81,2063,2063-08-20
p81,2063,2063-08-21
p81,2063,2063-08-25
p81,2063,2063-08-26
p81,2063,2063-08-27
p81,2063,2063-09-09
p81,2064,2064-08-28
p81,2064,2064-08-29
p81,2064,2064-08-30
p81,2064,2064-09-01
p81,2065,2065-09-06
p81,2066,2066-07-19
p81,2067,2067-07-26
p81,2067,2067-08-02
p81,2067,2067-08-03
p81,2067,2067-08-16
p81,2067,2067-08-21
p81,2067,2067-08-22
p81,2068,2068-06-25
p81,2068,2068-07-14
p81,2068,2068-07-15
p81,2068,2068-07-16
p81,2068,2068-07-17
p81,2068,2068-07-31
p81,2068,2068-08-01
p81,2068,2068-08-02
p81,2068,2068-08-03
p81,2068,2068-08-04
p81,2068,2068-08-07
p81,2068,2068-08-08
p81,2068,2068-08-09
p81,2068,2068-08-11
p81,2068,2068-08-13
p81,2068,2068-08-14
p81,2068,2068-08-15
p81,2068,2068-08-16
p81,2068,2068-08-17
p81,2068,2068-08-18
p81,2070,2070-08-27
p81,2070,2070-08-28
p81,2070,2070-09-05
p81,2070,2070-09-06
p81,2071,2071-07-22
p81,2071,2071-08-02
p81,2075,2075-08-18
p81,2076,2076-07-18
p81,2077,2077-07-26
p81,2077,2077-07-27
p81,2077,2077-08-16
p81,2078,2078-08-24
p81,2078,2078-09-05
p81,2078,2078-09-06
p81,2079,2079-07-25
p81,2079,2079-07-28
p81,2079,2079-07-29
p81,2079,2079-07-30
p81,2079,2079-09-04
p81,2080,2080-08-09
p81,2080,2080-08-14
p81,2080,2080-08-15
p81,2080,2080-08-16
p81,2080,2080-08-17
p81,2080,2080-08-23
p81,2080,2080-08-28
p81,2080,2080-08-29
p81,2080,2080-08-30
p81,2080,2080-08-31
p81,2080,2080-09-01
p81,2080,2080-09-02
p81,2080,2080-09-03
p81,2081,2081-07-07
p81,2081,2081-07-08
p81,2081,2081-07-22
p81,2081,2081-08-03
p81,2081,2081-08-07
p81,2081,2081-08-09
p81,2081,2081-08-21
p81,2081,2081-08-22
p81,2083,2083-08-16
p81,2083,2083-08-17
p81,2083,2083-08-18
p81,2083,2083-08-19
p81,2083,2083-08-20
p81,2083,2083-08-21
