rb,Year,Date
p89,2053,2053-08-05
p89,2053,2053-08-06
p89,2054,2054-07-07
p89,2054,2054-07-08
p89,2054,2054-07-14
p89,2054,2054-07-15
p89,2054,2054-07-25
p89,2054,2054-07-26
p89,2054,2054-07-27
p89,2054,2054-07-28
p89,2054,2054-07-29
p89,2054,2054-07-30
p89,2054,2054-07-31
p89,2054,2054-08-01
p89,2054,2054-08-02
p89,2054,2054-08-10
p89,2054,2054-08-11
p89,2054,2054-08-12
p89,2055,2055-06-26
p89,2055,2055-06-27
p89,2055,2055-06-30
p89,2055,2055-07-01
p89,2055,2055-07-02
p89,2055,2055-07-11
p89,2055,2055-07-12
p89,2055,2055-07-13
p89,2055,2055-07-14
p89,2055,2055-07-19
p89,2055,2055-07-20
p89,2055,2055-07-21
p89,2055,2055-07-22
p89,2055,2055-07-24
p89,2055,2055-07-25
p89,2055,2055-07-26
p89,2055,2055-07-27
p89,2055,2055-07-28
p89,2055,2055-07-31
p89,2055,2055-08-01
p89,2055,2055-08-02
p89,2055,2055-08-03
p89,2055,2055-08-04
p89,2055,2055-08-05
p89,2055,2055-08-06
p89,2055,2055-08-07
p89,2055,2055-08-09
p89,2055,2055-08-10
p89,2055,2055-08-13
p89,2055,2055-08-14
p89,2055,2055-08-15
p89,2055,2055-08-17
p89,2055,2055-08-18
p89,2055,2055-08-19
p89,2055,2055-08-20
p89,2056,2056-06-13
p89,2056,2056-06-20
p89,2056,2056-06-21
p89,2056,2056-06-22
p89,2056,2056-06-24
p89,2056,2056-06-25
p89,2056,2056-06-26
p89,2056,2056-06-27
p89,2056,2056-06-28
p89,2056,2056-07-02
p89,2056,2056-07-03
p89,2056,2056-07-04
p89,2056,2056-07-05
p89,2056,2056-07-06
p89,2056,2056-07-07
p89,2056,2056-07-08
p89,2056,2056-07-09
p89,2056,2056-07-10
p89,2056,2056-07-11
p89,2056,2056-07-12
p89,2056,2056-07-13
p89,2056,2056-07-14
p89,2056,2056-07-15
p89,2056,2056-07-16
p89,2056,2056-07-17
p89,2056,2056-07-18
p89,2056,2056-07-19
p89,2056,2056-07-20
p89,2056,2056-07-21
p89,2056,2056-07-22
p89,2056,2056-07-23
p89,2056,2056-07-24
p89,2056,2056-07-25
p89,2056,2056-07-26
p89,2056,2056-07-27
p89,2056,2056-07-28
p89,2056,2056-07-29
p89,2056,2056-07-30
p89,2056,2056-07-31
p89,2056,2056-08-01
p89,2056,2056-08-02
p89,2056,2056-08-03
p89,2056,2056-08-04
p89,2056,2056-08-06
p89,2056,2056-08-07
p89,2056,2056-08-08
p89,2056,2056-08-09
p89,2056,2056-08-10
p89,2056,2056-08-11
p89,2056,2056-08-12
p89,2056,2056-08-13
p89,2056,2056-08-14
p89,2056,2056-08-15
p89,2056,2056-08-19
p89,2056,2056-08-20
p89,2056,2056-08-21
p89,2056,2056-08-22
p89,2057,2057-06-15
p89,2057,2057-06-16
p89,2057,2057-06-17
p89,2057,2057-06-18
p89,2057,2057-06-19
p89,2057,2057-06-20
p89,2057,2057-06-21
p89,2057,2057-06-22
p89,2057,2057-06-23
p89,2057,2057-06-25
p89,2057,2057-06-26
p89,2057,2057-06-27
p89,2057,2057-06-28
p89,2057,2057-06-29
p89,2057,2057-06-30
p89,2057,2057-07-01
p89,2057,2057-07-02
p89,2057,2057-07-03
p89,2057,2057-07-04
p89,2057,2057-07-05
p89,2057,2057-07-06
p89,2057,2057-07-08
p89,2057,2057-07-09
p89,2057,2057-07-10
p89,2057,2057-07-11
p89,2057,2057-07-12
p89,2057,2057-07-13
p89,2057,2057-07-14
p89,2057,2057-07-15
p89,2057,2057-07-16
p89,2057,2057-07-17
p89,2057,2057-07-18
p89,2057,2057-07-19
p89,2057,2057-07-20
p89,2057,2057-07-21
p89,2057,2057-07-22
p89,2057,2057-07-23
p89,2057,2057-07-24
p89,2057,2057-07-25
p89,2057,2057-07-26
p89,2057,2057-07-27
p89,2057,2057-07-28
p89,2057,2057-07-29
p89,2057,2057-07-30
p89,2057,2057-07-31
p89,2057,2057-08-01
p89,2057,2057-08-02
p89,2057,2057-08-03
p89,2057,2057-08-04
p89,2057,2057-08-05
p89,2057,2057-08-06
p89,2057,2057-08-07
p89,2057,2057-08-08
p89,2057,2057-08-09
p89,2057,2057-08-10
p89,2057,2057-08-11
p89,2057,2057-08-12
p89,2057,2057-08-13
p89,2057,2057-08-14
p89,2057,2057-08-15
p89,2057,2057-08-16
p89,2057,2057-08-17
p89,2057,2057-08-18
p89,2057,2057-08-19
p89,2057,2057-08-20
p89,2057,2057-08-21
p89,2057,2057-08-22
p89,2057,2057-08-23
p89,2057,2057-08-26
p89,2057,2057-08-27
p89,2058,2058-06-10
p89,2058,2058-06-11
p89,2058,2058-06-12
p89,2058,2058-06-13
p89,2058,2058-06-14
p89,2058,2058-06-15
p89,2058,2058-06-16
p89,2058,2058-06-17
p89,2058,2058-06-18
p89,2058,2058-06-19
p89,2058,2058-06-20
p89,2058,2058-06-21
p89,2058,2058-06-22
p89,2058,2058-06-23
p89,2058,2058-06-24
p89,2058,2058-06-25
p89,2058,2058-06-26
p89,2058,2058-06-27
p89,2058,2058-06-28
p89,2058,2058-06-29
p89,2058,2058-06-30
p89,2058,2058-07-01
p89,2058,2058-07-02
p89,2058,2058-07-03
p89,2058,2058-07-04
p89,2058,2058-07-05
p89,2058,2058-07-06
p89,2058,2058-07-07
p89,2058,2058-07-08
p89,2058,2058-07-09
p89,2058,2058-07-10
p89,2058,2058-07-11
p89,2058,2058-07-12
p89,2058,2058-07-13
p89,2058,2058-07-14
p89,2058,2058-07-15
p89,2058,2058-07-16
p89,2058,2058-07-17
p89,2058,2058-07-18
p89,2058,2058-07-19
p89,2058,2058-07-20
p89,2058,2058-07-21
p89,2058,2058-07-22
p89,2058,2058-07-23
p89,2058,2058-07-24
p89,2058,2058-07-25
p89,2058,2058-07-26
p89,2058,2058-07-27
p89,2058,2058-07-28
p89,2058,2058-07-29
p89,2058,2058-07-30
p89,2058,2058-07-31
p89,2058,2058-08-01
p89,2058,2058-08-02
p89,2058,2058-08-03
p89,2058,2058-08-04
p89,2058,2058-08-05
p89,2058,2058-08-06
p89,2058,2058-08-07
p89,2058,2058-08-08
p89,2058,2058-08-09
p89,2058,2058-08-10
p89,2058,2058-08-11
p89,2058,2058-08-12
p89,2058,2058-08-13
p89,2058,2058-08-14
p89,2058,2058-08-15
p89,2058,2058-08-16
p89,2058,2058-08-17
p89,2058,2058-08-18
p89,2058,2058-08-19
p89,2058,2058-08-20
p89,2058,2058-08-21
p89,2058,2058-08-22
p89,2058,2058-08-23
p89,2058,2058-08-24
p89,2058,2058-08-25
p89,2058,2058-08-26
p89,2058,2058-08-27
p89,2058,2058-08-28
p89,2058,2058-08-29
p89,2059,2059-06-08
p89,2059,2059-06-09
p89,2059,2059-06-10
p89,2059,2059-06-11
p89,2059,2059-06-12
p89,2059,2059-06-13
p89,2059,2059-06-14
p89,2059,2059-06-15
p89,2059,2059-06-16
p89,2059,2059-06-17
p89,2059,2059-06-18
p89,2059,2059-06-19
p89,2059,2059-06-20
p89,2059,2059-06-21
p89,2059,2059-06-22
p89,2059,2059-06-23
p89,2059,2059-06-24
p89,2059,2059-06-25
p89,2059,2059-06-26
p89,2059,2059-06-27
p89,2059,2059-06-28
p89,2059,2059-06-29
p89,2059,2059-06-30
p89,2059,2059-07-01
p89,2059,2059-07-02
p89,2059,2059-07-03
p89,2059,2059-07-04
p89,2059,2059-07-05
p89,2059,2059-07-06
p89,2059,2059-07-07
p89,2059,2059-07-08
p89,2059,2059-07-09
p89,2059,2059-07-10
p89,2059,2059-07-11
p89,2059,2059-07-12
p89,2059,2059-07-13
p89,2059,2059-07-14
p89,2059,2059-07-15
p89,2059,2059-07-16
p89,2059,2059-07-17
p89,2059,2059-07-18
p89,2059,2059-07-19
p89,2059,2059-07-20
p89,2059,2059-07-21
p89,2059,2059-07-22
p89,2059,2059-07-23
p89,2059,2059-07-24
p89,2059,2059-07-25
p89,2059,2059-07-26
p89,2059,2059-07-27
p89,2059,2059-07-28
p89,2059,2059-07-29
p89,2059,2059-07-30
p89,2059,2059-07-31
p89,2059,2059-08-01
p89,2059,2059-08-02
p89,2059,2059-08-03
p89,2059,2059-08-04
p89,2059,2059-08-05
p89,2059,2059-08-06
p89,2059,2059-08-07
p89,2059,2059-08-08
p89,2059,2059-08-09
p89,2059,2059-08-10
p89,2059,2059-08-11
p89,2059,2059-08-12
p89,2059,2059-08-13
p89,2059,2059-08-14
p89,2059,2059-08-15
p89,2059,2059-08-16
p89,2059,2059-08-17
p89,2059,2059-08-18
p89,2059,2059-08-19
p89,2059,2059-08-20
p89,2059,2059-08-21
p89,2059,2059-08-22
p89,2059,2059-08-23
p89,2059,2059-08-24
p89,2059,2059-08-25
p89,2059,2059-08-26
p89,2059,2059-08-27
p89,2059,2059-08-28
p89,2059,2059-08-29
p89,2059,2059-08-30
p89,2059,2059-08-31
p89,2059,2059-09-01
p89,2059,2059-09-02
p89,2059,2059-09-03
p89,2060,2060-06-05
p89,2060,2060-06-06
p89,2060,2060-06-07
p89,2060,2060-06-09
p89,2060,2060-06-10
p89,2060,2060-06-11
p89,2060,2060-06-12
p89,2060,2060-06-13
p89,2060,2060-06-14
p89,2060,2060-06-15
