rb,Year,hdd
p89,2020,1294.0193378348924
p89,2021,1175.3695156320625
p89,2022,1130.5197891173082
p89,2023,1030.338289485209
p89,2024,1107.406968431424
p89,2025,1175.9679965385485
p89,2026,1345.7151946441827
p89,2027,1196.9184104125266
p89,2028,1182.8301975023364
p89,2029,1057.3935575880146
p89,2030,1340.4111440387364
p89,2031,1252.22149814571
p89,2032,1017.4504692848864
p89,2033,1260.0795655154543
p89,2034,1075.3015295016082
p89,2035,1311.3784832288127
p89,2036,1166.1616400443595
p89,2037,1025.849786938716
p89,2038,1495.826312592304
p89,2039,1325.8814901151786
p89,2040,1425.2217404203075
p89,2041,1153.739359803997
p89,2042,1398.9004051673792
p89,2043,1123.4817238205299
p89,2044,1237.5814767298493
p89,2045,1247.9081353177676
p89,2046,1437.5536107817495
p89,2047,1566.2180530289056
p89,2048,1324.0741092058502
p89,2049,1222.5725706036949
p89,2050,1584.3084373610563
p89,2051,1504.1976853532697
p89,2052,1449.7919166501433
p89,2053,1157.463481354181
p89,2054,1252.2509688261457
p89,2055,1416.417323497272
p89,2056,1587.719580944965
p89,2057,1321.1047287284275
p89,2058,1465.4586626962825
p89,2059,1507.3632389966187
p89,2060,1630.6162041939447
p89,2061,1587.872731227695
p89,2062,1551.9092666364006
p89,2063,1417.8017610241945
p89,2064,1542.6758872553578
p89,2065,1609.7168372105991
p89,2066,1829.791964805483
p89,2067,1588.484760094384
p89,2068,1671.5071031919924
p89,2069,1420.3906096892283
p89,2070,1823.387535921219
p89,2071,1665.0103389196538
p89,2072,1433.397795022119
p89,2073,1686.6982801157367
p89,2074,1461.2208394717595
p89,2075,1758.4703453867855
p89,2076,1573.9735622021535
p89,2077,1437.9608017995192
p89,2078,2031.800642800939
p89,2079,1901.5163894313089
p89,2080,1957.9705097189087
p89,2081,1606.3509221120314
p89,2082,1935.7742487506603
p89,2083,1615.7453022697032
p89,2084,1766.1711991238478
p89,2085,1707.5897746056712
p89,2086,1956.993635014772
p89,2087,2102.946519652368
p89,2088,1870.892013318647
p89,2089,1677.9040181720818
p89,2090,2115.4777648725176
p89,2091,2083.345911893229
p89,2092,2037.9601630114573
p89,2093,1648.698588419741
p89,2094,1807.718067307799
p89,2095,2053.7560566922984
p89,2096,2218.154543521548
p89,2097,1904.0084306714255
p89,2098,2003.9756194843371
p89,2099,2037.8725919139752
