rb,Year,hdd
p91,2020,1592.0320453568847
p91,2021,1681.0595556218418
p91,2022,1772.4099474665634
p91,2023,1864.915234572057
p91,2024,1959.9507253991644
p91,2025,2057.5771543064902
p91,2026,2156.06803280314
p91,2027,2256.8879399286357
p91,2028,2360.8045646880246
p91,2029,2468.9810982213203
p91,2030,2583.4224728342742
p91,2031,2702.9921499287093
p91,2032,2826.1094128792665
p91,2033,2951.876128622065
p91,2034,3080.8808320101557
p91,2035,3210.5521202657646
p91,2036,3344.664070172229
p91,2037,3478.822369880162
p91,2038,3618.781218910047
p91,2039,3762.670951363546
p91,2040,3906.926524431041
p91,2041,4048.771872929022
p91,2042,4190.530636712778
p91,2043,4334.52287185018
p91,2044,4480.91972469589
p91,2045,4620.863772254599
p91,2046,4763.995725445143
p91,2047,4906.073765512412
p91,2048,5055.824148033226
p91,2049,5191.878763893122
p91,2050,5336.373658609557
p91,2051,5478.02307861925
p91,2052,5629.652863891555
p91,2053,5765.244913315434
p91,2054,5907.926920289316
p91,2055,6051.26732500858
p91,2056,6202.404534597365
p91,2057,6338.264858879939
p91,2058,6479.568144209225
p91,2059,6623.904324345297
p91,2060,6775.859905957364
p91,2061,6909.878682571634
p91,2062,7053.357664033154
p91,2063,7195.245973912591
p91,2064,7351.093501255977
p91,2065,7481.429746719577
p91,2066,7625.3579789427395
p91,2067,7767.297620849773
p91,2068,7925.01652338882
p91,2069,8054.225537833359
p91,2070,8196.99679591468
p91,2071,8340.9522956887
p91,2072,8497.420729315876
p91,2073,8627.007241500367
p91,2074,8768.913468380715
p91,2075,8913.020667396726
p91,2076,9071.864234374767
p91,2077,9198.969961178112
p91,2078,9342.134105154262
p91,2079,9484.309134083753
p91,2080,9646.954411499906
p91,2081,9770.292292994642
p91,2082,9914.655002934707
p91,2083,10056.129267542772
p91,2084,10220.276248424208
p91,2085,10343.627744983374
p91,2086,10486.424715835856
p91,2087,10629.680854110102
p91,2088,10793.04170409824
p91,2089,10916.403238589066
p91,2090,11057.803512780572
p91,2091,11202.287156013226
p91,2092,11367.02086685763
p91,2093,11488.16002689679
p91,2094,11631.463852956676
p91,2095,11773.384353621725
p91,2096,11941.961337747469
p91,2097,12059.92754226611
p91,2098,12203.771508044243
p91,2099,12345.578965174924
