state,Year,cdd
usa,2020,2885.8424795361457
usa,2021,2638.70128884487
usa,2022,2885.035461458153
usa,2023,2887.500402650012
usa,2024,2849.9349068961005
usa,2025,2951.109221241907
usa,2026,2612.8477113288977
usa,2027,2595.044027169666
usa,2028,2843.6496755520598
usa,2029,2882.8763730134
usa,2030,2504.5668072221292
usa,2031,2601.8422027906695
usa,2032,2576.075497852912
usa,2033,2887.642098451787
usa,2034,2713.3426836858953
usa,2035,2707.562767172196
usa,2036,2921.2655744652952
usa,2037,2781.0460342306783
usa,2038,2401.2681487794175
usa,2039,2449.7691772154453
usa,2040,2685.604808941312
usa,2041,2584.9708134901252
usa,2042,2689.660467113681
usa,2043,2681.4240527817306
usa,2044,2587.45910207963
usa,2045,2606.6934190040115
usa,2046,2436.428626123655
usa,2047,2580.0822106008013
usa,2048,2829.839726594604
usa,2049,2779.6051079677536
usa,2050,2696.042411251916
usa,2051,2675.0850721402317
usa,2052,2244.626771091549
usa,2053,2871.6957085315366
usa,2054,2901.320855884491
usa,2055,2525.707137011797
usa,2056,2435.265078895194
usa,2057,2404.719448978911
usa,2058,2748.9400583564443
usa,2059,2774.274992009358
usa,2060,2548.762377173727
usa,2061,2317.945487248998
usa,2062,2564.1306252393556
usa,2063,2566.5961877709915
usa,2064,2530.7594854537847
usa,2065,2646.879565742891
usa,2066,2327.2950266649414
usa,2067,2313.809097363646
usa,2068,2556.8527928918925
usa,2069,2603.5421590652877
usa,2070,2249.6827379457372
usa,2071,2354.2566767221642
usa,2072,2303.0556562095794
usa,2073,2607.1823020126885
usa,2074,2450.6357068746834
usa,2075,2437.834955224066
usa,2076,2642.115344349708
usa,2077,2519.606169114272
usa,2078,2133.2876497054467
usa,2079,2182.9795305613734
usa,2080,2405.9947083563156
usa,2081,2321.160771392194
usa,2082,2429.2115992809254
usa,2083,2423.874858906552
usa,2084,2355.5222968465737
usa,2085,2382.3156623545324
usa,2086,2221.8871608099357
usa,2087,2384.9360629449634
usa,2088,2626.811190879405
usa,2089,2608.2271431442
usa,2090,2540.0095653996977
usa,2091,2518.76403562916
usa,2092,2106.1893934391637
usa,2093,2721.387756537847
usa,2094,2742.040573592698
usa,2095,2367.766925455763
usa,2096,2264.6513267590076
usa,2097,2226.7907181982814
usa,2098,2574.141076453888
usa,2099,2577.7319985470367
