state,Year,cdd
usa,2020,2314.70169921379
usa,2021,2160.6498359492884
usa,2022,2210.011657462668
usa,2023,2210.89591704562
usa,2024,2135.3262718902374
usa,2025,2176.3862587878098
usa,2026,1956.952034603034
usa,2027,2020.305613154868
usa,2028,2147.5357548275356
usa,2029,2126.545196021898
usa,2030,1765.7674406588146
usa,2031,1844.958338273516
usa,2032,1904.1988721026105
usa,2033,2099.2719758712437
usa,2034,2010.56076414735
usa,2035,2010.9569586364505
usa,2036,2119.575298694001
usa,2037,2038.5572366601923
usa,2038,1745.8532133172791
usa,2039,1806.078300082871
usa,2040,1980.947748532515
usa,2041,1876.4059585783077
usa,2042,1938.4110468132994
usa,2043,1974.3893506976356
usa,2044,1892.8319472873447
usa,2045,1908.4497782901274
usa,2046,1699.2154540868528
usa,2047,1859.251920303542
usa,2048,1975.2275248411488
usa,2049,1959.1925647339015
usa,2050,1976.9884818028847
usa,2051,1848.285099205594
usa,2052,1537.7333596632084
usa,2053,1967.3825645760417
usa,2054,2009.1930088999557
usa,2055,1732.628091148559
usa,2056,1641.9196123720712
usa,2057,1555.1366980393566
usa,2058,1839.4416116111963
usa,2059,1803.9325360454886
usa,2060,1672.858231194863
usa,2061,1486.3860128513797
usa,2062,1590.1301275595074
usa,2063,1604.1241725218745
usa,2064,1527.622408372009
usa,2065,1617.883996752294
usa,2066,1365.5526999357471
usa,2067,1426.4890586022223
usa,2068,1532.0269638325942
usa,2069,1526.6947242738147
usa,2070,1230.2638285791681
usa,2071,1310.668868598127
usa,2072,1325.2788194781301
usa,2073,1514.2539279264042
usa,2074,1398.7907985425984
usa,2075,1385.2651694924318
usa,2076,1498.8768574040366
usa,2077,1391.26621716921
usa,2078,1160.1393957024388
usa,2079,1192.4146067251008
usa,2080,1357.4224879828748
usa,2081,1248.991349242735
usa,2082,1304.6192659178155
usa,2083,1339.509253221705
usa,2084,1295.2915091796972
usa,2085,1298.6280150228795
usa,2086,1107.4035013222688
usa,2087,1262.1129292159417
usa,2088,1328.8060141559538
usa,2089,1311.1558899173522
usa,2090,1340.2174149629368
usa,2091,1210.4284923401506
usa,2092,954.9238287360389
usa,2093,1324.4206914627848
usa,2094,1393.1926488570257
usa,2095,1129.3050049910462
usa,2096,1063.1085053929341
usa,2097,1002.9210017558053
usa,2098,1222.5658151833486
usa,2099,1230.3695033266044
