rb,Year,Date
p134,2093,2093-01-11
p134,2093,2093-01-17
p134,2094,2094-01-14
p134,2094,2094-01-15
p134,2094,2094-01-16
p134,2094,2094-01-17
p134,2094,2094-01-18
p134,2094,2094-01-19
p134,2094,2094-01-22
p134,2094,2094-01-23
p134,2095,2095-01-07
p134,2095,2095-01-08
p134,2095,2095-01-10
p134,2095,2095-01-11
p134,2095,2095-01-12
p134,2095,2095-01-13
p134,2095,2095-01-14
p134,2095,2095-01-15
p134,2095,2095-01-16
p134,2095,2095-01-17
p134,2095,2095-01-18
p134,2095,2095-01-24
p134,2095,2095-01-25
p134,2096,2096-01-06
p134,2096,2096-01-07
p134,2096,2096-01-08
p134,2096,2096-01-09
p134,2096,2096-01-10
p134,2096,2096-01-11
p134,2096,2096-01-12
p134,2096,2096-01-13
p134,2096,2096-01-14
p134,2096,2096-01-15
p134,2096,2096-01-17
p134,2096,2096-01-18
p134,2096,2096-01-19
p134,2096,2096-01-20
p134,2096,2096-01-21
p134,2096,2096-01-22
p134,2096,2096-01-23
p134,2096,2096-01-24
p134,2096,2096-01-25
p134,2096,2096-01-26
p134,2096,2096-01-27
p134,2096,2096-01-28
p134,2097,2097-01-03
p134,2097,2097-01-04
p134,2097,2097-01-05
p134,2097,2097-01-06
p134,2097,2097-01-07
p134,2097,2097-01-08
p134,2097,2097-01-10
p134,2097,2097-01-11
p134,2097,2097-01-12
p134,2097,2097-01-13
p134,2097,2097-01-14
p134,2097,2097-01-15
p134,2097,2097-01-16
p134,2097,2097-01-17
p134,2097,2097-01-18
p134,2097,2097-01-19
p134,2097,2097-01-20
p134,2097,2097-01-21
p134,2097,2097-01-22
p134,2097,2097-01-23
p134,2097,2097-01-24
p134,2097,2097-01-25
p134,2097,2097-01-26
p134,2097,2097-01-27
p134,2097,2097-01-28
p134,2098,2098-01-02
p134,2098,2098-01-06
p134,2098,2098-01-07
p134,2098,2098-01-08
p134,2098,2098-01-09
p134,2098,2098-01-10
p134,2098,2098-01-11
p134,2098,2098-01-12
p134,2098,2098-01-13
p134,2098,2098-01-14
p134,2098,2098-01-15
p134,2098,2098-01-16
p134,2098,2098-01-17
p134,2098,2098-01-18
p134,2098,2098-01-19
p134,2098,2098-01-20
p134,2098,2098-01-21
p134,2098,2098-01-22
p134,2098,2098-01-23
p134,2098,2098-01-24
p134,2098,2098-01-25
p134,2098,2098-01-26
p134,2098,2098-01-27
p134,2098,2098-01-31
p134,2098,2098-02-01
p134,2098,2098-02-02
p134,2098,2098-02-03
p134,2099,2099-01-02
p134,2099,2099-01-03
p134,2099,2099-01-04
p134,2099,2099-01-05
p134,2099,2099-01-06
p134,2099,2099-01-07
p134,2099,2099-01-08
p134,2099,2099-01-09
p134,2099,2099-01-10
p134,2099,2099-01-11
p134,2099,2099-01-12
p134,2099,2099-01-13
p134,2099,2099-01-14
p134,2099,2099-01-15
p134,2099,2099-01-16
p134,2099,2099-01-17
p134,2099,2099-01-18
p134,2099,2099-01-19
p134,2099,2099-01-20
p134,2099,2099-01-21
p134,2099,2099-01-22
p134,2099,2099-01-23
p134,2099,2099-01-24
p134,2099,2099-01-25
p134,2099,2099-01-26
p134,2099,2099-01-27
p134,2099,2099-01-28
p134,2099,2099-01-29
p134,2099,2099-01-30
p134,2099,2099-01-31
p134,2099,2099-02-01
p134,2099,2099-02-02
p134,2099,2099-02-06
p134,2099,2099-02-07
p134,2099,2099-12-30
p134,2099,2099-12-31
