state,Year,hdd
usa,2020,724.913187264581
usa,2021,672.4319104349531
usa,2022,588.2465179684156
usa,2023,699.1576723651574
usa,2024,644.9813723668916
usa,2025,641.2432192382687
usa,2026,676.912024888818
usa,2027,743.5765164320154
usa,2028,761.1581205547809
usa,2029,668.6717068917827
usa,2030,717.4254613142144
usa,2031,776.0183913844716
usa,2032,610.1592386475836
usa,2033,693.2244517972686
usa,2034,709.7368349097114
usa,2035,739.2031423469049
usa,2036,702.4965628745865
usa,2037,680.9061905058672
usa,2038,822.0338338610243
usa,2039,739.5947559115413
usa,2040,751.938208731432
usa,2041,729.3818770659915
usa,2042,813.1069549340458
usa,2043,715.0360966532432
usa,2044,697.7904562325173
usa,2045,838.2698113485454
usa,2046,801.8625430744754
usa,2047,838.9891078000329
usa,2048,752.6862182765735
usa,2049,733.0792157711286
usa,2050,894.4366618265211
usa,2051,878.0580033562709
usa,2052,880.320706118212
usa,2053,787.5100839738387
usa,2054,776.7852546614715
usa,2055,843.5570010376723
usa,2056,907.0683760085446
usa,2057,824.868112747665
usa,2058,982.9583303062833
usa,2059,888.1429094669775
usa,2060,1067.7927769687512
usa,2061,986.923969316563
usa,2062,942.7094964139675
usa,2063,1017.1300277916349
usa,2064,977.0574389352763
usa,2065,1006.7422089924521
usa,2066,1043.7050783886573
usa,2067,1099.7034978656163
usa,2068,1120.1340380123142
usa,2069,1005.1241846160686
usa,2070,1087.4557833381032
usa,2071,1145.1466227074384
usa,2072,958.525530405534
usa,2073,1054.8926138268234
usa,2074,1070.7512281068673
usa,2075,1103.1280130721152
usa,2076,1069.9949888394735
usa,2077,1046.266367210782
usa,2078,1209.5037984669448
usa,2079,1130.4152846999339
usa,2080,1163.2264496218086
usa,2081,1148.1884565303683
usa,2082,1219.7764597241435
usa,2083,1106.9225253576042
usa,2084,1094.3860342839482
usa,2085,1232.9487563924827
usa,2086,1205.205191525125
usa,2087,1280.7213660465889
usa,2088,1164.4494590376962
usa,2089,1125.9489510414705
usa,2090,1305.9311483576075
usa,2091,1285.662675156103
usa,2092,1307.935462845357
usa,2093,1188.608569902305
usa,2094,1205.7215446672317
usa,2095,1284.5305794472858
usa,2096,1353.923456860095
usa,2097,1274.8879558748736
usa,2098,1400.1585615543277
usa,2099,1313.1655190424026
