state,Year,hdd
usa,2020,796.5392556719316
usa,2021,742.4283703197718
usa,2022,670.718995793572
usa,2023,771.9929471043446
usa,2024,724.3963688237459
usa,2025,721.1405958994342
usa,2026,760.2201069080772
usa,2027,822.6910856689749
usa,2028,849.6755251891511
usa,2029,750.4849670702247
usa,2030,803.0792583198552
usa,2031,873.0871898916962
usa,2032,697.3527085345265
usa,2033,783.0098225570487
usa,2034,805.842982496421
usa,2035,838.3920391754584
usa,2036,801.9819541354175
usa,2037,783.5422057313535
usa,2038,927.4693063048076
usa,2039,846.3447482724971
usa,2040,859.940108977667
usa,2041,850.1720865733644
usa,2042,935.1204610981988
usa,2043,832.2657195515334
usa,2044,828.7028711154271
usa,2045,967.3166910301446
usa,2046,914.407710098985
usa,2047,972.987058460676
usa,2048,875.7141642207296
usa,2049,854.3727909547584
usa,2050,1034.9625078805518
usa,2051,1012.2246648572036
usa,2052,1026.2542024296501
usa,2053,929.1667072092425
usa,2054,923.9333460693244
usa,2055,990.5300383500607
usa,2056,1062.4541318157758
usa,2057,996.4791800906482
usa,2058,1146.749094716742
usa,2059,1038.43156201277
usa,2060,1308.744946384638
usa,2061,1238.784516378037
usa,2062,1199.3605476833225
usa,2063,1253.4684575589713
usa,2064,1234.119155761568
usa,2065,1294.110855379819
usa,2066,1310.1063686463103
usa,2067,1363.9095165073422
usa,2068,1369.2994559160793
usa,2069,1288.669625814459
usa,2070,1385.3443643413607
usa,2071,1454.410926462176
usa,2072,1258.1762642042909
usa,2073,1352.1464364590754
usa,2074,1380.230525502631
usa,2075,1415.6132027484766
usa,2076,1381.2141583540633
usa,2077,1342.1969628599475
usa,2078,1538.4657206739512
usa,2079,1461.3687854468058
usa,2080,1486.3446107498623
usa,2081,1494.41774508059
usa,2082,1549.4353730302867
usa,2083,1474.295362509798
usa,2084,1480.1341045889003
usa,2085,1597.0906235297275
usa,2086,1566.6566771787807
usa,2087,1655.497141793854
usa,2088,1531.7513271300302
usa,2089,1490.1113551622434
usa,2090,1711.6507260875308
usa,2091,1681.9741624741152
usa,2092,1726.2036433509484
usa,2093,1575.1640713959744
usa,2094,1619.8779517309135
usa,2095,1701.5405947363324
usa,2096,1781.987150382634
usa,2097,1721.5075343642118
usa,2098,1785.3727435888404
usa,2099,1724.0965364322665
