rb,Year,Date,Load_sum
p89,2020,2020-07-13,336269.82
p89,2020,2020-07-14,338269.42000000004
p89,2026,2026-07-30,335554.25
p89,2026,2026-07-31,336174.04
p89,2030,2030-08-19,335393.5
p89,2030,2030-08-28,331522.33999999997
p89,2030,2030-08-29,332571.41000000003
p89,2039,2039-07-31,317312.43
p89,2039,2039-08-01,344899.82
p89,2039,2039-08-12,333311.95999999996
p89,2039,2039-08-13,313453.81999999995
p89,2039,2039-08-19,327993.41000000003
p89,2040,2040-07-12,332846.06999999995
p89,2040,2040-07-15,303565.76
p89,2040,2040-07-19,325870.82
p89,2040,2040-07-20,330555.56
p89,2040,2040-08-16,324694.67
p89,2040,2040-08-17,335427.87
p89,2040,2040-08-18,303536.87
p89,2040,2040-08-26,300392.61
p89,2040,2040-08-28,322306.63
p89,2040,2040-08-29,329404.32
p89,2046,2046-08-08,332852.26
p89,2046,2046-08-09,332897.08999999997
p89,2047,2047-08-10,315394.77
p89,2047,2047-08-11,313269.19
p89,2047,2047-08-12,334815.04000000004
p89,2047,2047-08-13,344337.54000000004
p89,2047,2047-08-14,346801.62
p89,2047,2047-08-15,343192.27
p89,2047,2047-08-16,344700.65
p89,2047,2047-08-17,318447.47
p89,2047,2047-08-18,310780.72
p89,2047,2047-08-21,338689.83999999997
p89,2047,2047-08-22,346215.04000000004
p89,2047,2047-08-23,344844.11
p89,2050,2050-08-03,340367.16000000003
p89,2050,2050-08-04,341871.35
p89,2051,2051-07-11,337697.51
p89,2051,2051-07-31,334983.35
p89,2051,2051-08-01,339806.58999999997
p89,2051,2051-08-02,340397.30000000005
p89,2051,2051-08-03,345054.03
p89,2051,2051-08-04,348197.52
p89,2051,2051-08-10,325494.73
p89,2051,2051-08-22,329102.44999999995
p89,2051,2051-08-25,322720.19999999995
p89,2051,2051-08-26,309163.24
p89,2052,2052-06-29,298120.32999999996
p89,2052,2052-06-30,302115.31
p89,2052,2052-07-01,333725.29000000004
p89,2052,2052-08-01,324567.38
p89,2060,2060-07-11,309955.99
p89,2060,2060-07-12,340887.44
p89,2060,2060-07-13,342306.85
p89,2060,2060-07-14,345635.74
p89,2060,2060-07-15,346755.15
p89,2060,2060-07-16,347881.20999999996
