rb,Year,Date,Load_sum
p28,2020,2020-06-26,330606.67844797083
p28,2020,2020-06-27,324128.6118767729
p28,2020,2020-06-28,331854.863663972
p28,2020,2020-06-29,348411.71052168997
p28,2020,2020-06-30,331939.255102839
p28,2020,2020-07-04,303612.9160606986
p28,2020,2020-07-16,351773.7746976598
p28,2020,2020-07-17,349099.01606380224
p28,2020,2020-07-18,330348.62199838314
p28,2020,2020-07-21,342882.6930376139
p28,2020,2020-07-25,336406.25977689965
p28,2020,2020-07-26,338793.24919081986
p28,2020,2020-07-27,357129.3494670214
p28,2020,2020-07-28,361031.2939137864
p28,2020,2020-08-07,344157.5405441298
p28,2020,2020-08-08,334679.46855331975
p28,2020,2020-08-10,337901.26733113773
p28,2020,2020-08-11,341753.1182025862
p28,2020,2020-08-12,334721.29046426935
p28,2021,2021-06-19,294344.95583680255
p28,2021,2021-06-20,318900.33035178744
p28,2021,2021-06-21,337020.1496554895
p28,2021,2021-06-22,340435.021476654
p28,2021,2021-06-23,342848.5138962371
p28,2021,2021-06-24,338909.50600566075
p28,2021,2021-06-25,341985.39472631714
p28,2021,2021-07-04,310660.3127943924
p28,2021,2021-07-05,338869.3563433355
p28,2021,2021-07-06,351850.63109352917
p28,2022,2022-07-14,354823.3625328819
p28,2022,2022-09-02,349489.98481757403
p28,2023,2023-07-05,353510.6429176808
p28,2025,2025-06-07,337001.9189713544
p28,2025,2025-06-08,347169.6901822185
p28,2025,2025-06-09,355366.43810640374
p28,2025,2025-06-10,346680.95527654263
p28,2025,2025-06-16,347400.6172541392
p28,2025,2025-06-17,351762.3236391052
p28,2025,2025-06-18,350003.7963929248
p28,2025,2025-06-19,330333.2805172093
p28,2025,2025-07-01,368931.65974078525
p28,2025,2025-07-02,371728.2444020655
p28,2025,2025-07-03,371113.46063557314
p28,2025,2025-07-04,354152.0650760974
p28,2025,2025-07-05,347940.9843474905
p28,2025,2025-07-06,352906.8763057891
p28,2025,2025-07-07,377731.288670502
p28,2025,2025-07-08,391361.90953756485
p28,2025,2025-07-09,368440.89122134226
p28,2025,2025-07-12,367239.0894094854
p28,2025,2025-07-13,362307.50895157596
p28,2026,2026-07-31,386281.07308980625
p28,2028,2028-06-22,383779.1706095678
p28,2028,2028-06-23,387762.35302329046
p28,2029,2029-06-18,384973.4992049244
p28,2029,2029-06-19,376523.476029254
p28,2029,2029-06-20,388715.569072213
p28,2029,2029-06-21,371577.8311275583
p28,2029,2029-07-02,384144.77838313155
p28,2029,2029-07-03,402616.13357852533
p28,2029,2029-07-04,396164.6201112409
p28,2029,2029-07-05,406936.6858703851
p28,2029,2029-07-06,410156.89391740685
p28,2029,2029-07-07,393360.2410198408
p28,2029,2029-07-08,379804.9122882175
p28,2029,2029-07-13,386545.3260181787
p28,2029,2029-07-18,394654.20453816274
p28,2029,2029-07-19,410944.41698206565
p28,2029,2029-07-20,405144.18658835057
p28,2030,2030-06-04,363650.03221502766
p28,2030,2030-06-21,362602.28997648007
p28,2030,2030-06-22,357837.1883890586
p28,2030,2030-06-23,370085.97488739766
p28,2030,2030-06-24,388043.34325442323
p28,2030,2030-06-25,404702.9016428954
p28,2030,2030-06-26,420334.29036332446
p28,2030,2030-06-27,414631.73913369805
p28,2030,2030-06-28,408756.8494401811
p28,2030,2030-06-29,370908.54646055406
p28,2030,2030-06-30,379427.22422676266
p28,2030,2030-07-01,413987.79973337566
p28,2030,2030-07-02,400581.7867571898
p28,2030,2030-09-11,397307.38036789873
p28,2031,2031-07-02,398267.05087100656
p28,2032,2032-07-05,389916.964126547
p28,2032,2032-07-06,406346.1853296533
p28,2033,2033-06-26,376905.621753171
p28,2033,2033-06-27,405082.84703961655
p28,2033,2033-07-31,406009.4186294354
p28,2033,2033-08-01,435445.40520833666
p28,2033,2033-08-02,428471.0534345946
p28,2034,2034-06-24,399737.2523519085
p28,2034,2034-06-25,415274.2840881289
p28,2034,2034-06-26,428565.2095889691
p28,2034,2034-06-27,417409.7809696269
p28,2034,2034-06-28,426057.09171644767
p28,2034,2034-06-29,431882.29670160677
p28,2034,2034-06-30,419882.6254608226
p28,2034,2034-07-01,411578.1437952844
p28,2034,2034-08-02,426181.2319350597
p28,2034,2034-08-03,423942.87718695693
p28,2034,2034-08-04,421299.8922197237
p28,2034,2034-08-05,412861.14627362095
p28,2034,2034-08-06,412423.01047156064
p28,2035,2035-07-07,405366.61956675857
p28,2035,2035-07-08,416450.6989519262
p28,2035,2035-07-25,408426.7080971177
p28,2035,2035-07-26,420906.17703262024
p28,2035,2035-07-27,439659.6156420352
p28,2035,2035-07-28,431372.0118619403
p28,2035,2035-07-29,427642.5729537936
p28,2035,2035-07-30,436665.7442296631
p28,2035,2035-07-31,433058.37741163763
p28,2035,2035-08-01,435915.61533511657
p28,2035,2035-08-02,436942.8963355166
p28,2035,2035-08-03,438132.46476137347
p28,2035,2035-08-04,417335.39501168026
p28,2035,2035-08-05,423238.5213775659
p28,2035,2035-08-06,440750.3413981112
p28,2035,2035-08-07,439611.3240408937
p28,2035,2035-08-08,442881.9039665256
p28,2035,2035-08-09,443663.4972465385
p28,2036,2036-07-06,415485.9642128538
p28,2036,2036-07-20,416837.7612714268
p28,2036,2036-07-22,427386.10777826724
p28,2036,2036-07-23,436424.94088165165
p28,2036,2036-07-24,444716.13610217243
p28,2036,2036-07-25,433576.7803253814
p28,2036,2036-07-30,448789.8235527485
p28,2036,2036-07-31,455726.4867836872
p28,2036,2036-08-01,440840.1704044207
p28,2036,2036-08-12,448304.63735685527
p28,2036,2036-08-13,443238.9121357096
p28,2036,2036-08-14,425896.42460403254
p28,2037,2037-07-15,440003.10843820736
p28,2037,2037-07-16,445320.9161164861
p28,2038,2038-06-28,415087.1940826427
p28,2038,2038-06-29,419065.769566378
p28,2038,2038-06-30,416290.71799766616
p28,2038,2038-07-11,442696.38423074735
p28,2038,2038-07-12,456367.515304027
p28,2038,2038-07-14,456191.6918392906
p28,2038,2038-07-15,460220.73654839373
p28,2038,2038-07-16,472272.58261971036
p28,2038,2038-07-17,443035.1318708004
p28,2038,2038-07-18,443837.6983357612
p28,2038,2038-08-03,439585.20452872507
p28,2038,2038-08-04,449391.2767944327
p28,2038,2038-08-28,443775.42176569777
p28,2039,2039-06-30,438812.8983272462
p28,2039,2039-07-01,458884.18375792506
p28,2039,2039-07-02,424830.34472408413
p28,2040,2040-07-18,457328.2771327896
p28,2040,2040-07-19,468432.9349406428
p28,2040,2040-07-20,471115.32555454754
p28,2040,2040-07-25,472104.8413052242
p28,2040,2040-07-26,468806.7273284225
p28,2040,2040-07-28,443890.0434341099
p28,2040,2040-07-29,436654.6405644547
p28,2040,2040-07-30,454680.2953455199
p28,2040,2040-08-02,456142.15316133515
p28,2040,2040-08-03,460291.46393476205
p28,2040,2040-08-04,444783.9564983051
p28,2040,2040-08-05,451371.30857722205
p28,2041,2041-06-29,431998.4792272262
p28,2041,2041-07-01,477389.07699594414
p28,2041,2041-07-02,492159.37657165574
p28,2041,2041-07-03,488018.31884897477
p28,2041,2041-08-26,464305.97797573486
p28,2041,2041-08-27,471783.66482296947
p28,2042,2042-06-25,445187.01335928857
p28,2042,2042-06-26,456230.1323727182
p28,2042,2042-07-01,462536.1500886508
p28,2042,2042-07-02,472752.571985264
p28,2042,2042-07-13,462728.6903665317
p28,2042,2042-08-11,479745.6312418048
p28,2042,2042-08-12,472104.69444425765
p28,2043,2043-07-04,429186.9141163383
p28,2043,2043-07-05,458037.6263396477
p28,2043,2043-07-09,461732.88060572173
p28,2043,2043-07-10,473897.3787191345
p28,2043,2043-07-11,453373.7704897358
p28,2043,2043-07-12,464428.98077857716
p28,2043,2043-07-13,502988.1192782625
p28,2043,2043-07-14,507946.919148211
p28,2043,2043-07-15,508517.6581928788
p28,2043,2043-07-16,505807.4143167732
p28,2043,2043-07-17,491253.3901201885
p28,2043,2043-07-20,480815.70061187935
p28,2043,2043-07-21,493422.7136718569
p28,2043,2043-08-09,475115.491119617
p28,2043,2043-08-10,508163.0277291512
p28,2043,2043-08-11,505295.37737207627
p28,2044,2044-08-09,495773.8441253437
p28,2044,2044-08-10,497235.92029081995
p28,2044,2044-08-11,495487.43989523733
p28,2045,2045-06-20,473903.4724257842
p28,2045,2045-07-05,485152.5520196279
p28,2045,2045-07-11,479525.94182390766
p28,2045,2045-07-12,495552.9197619849
p28,2045,2045-07-13,514820.7239612979
p28,2045,2045-07-14,512093.01356974756
p28,2045,2045-07-15,488594.3825772128
p28,2045,2045-07-16,500287.953575654
p28,2045,2045-07-17,531828.1967423628
p28,2045,2045-07-18,524985.5436593981
p28,2045,2045-07-19,517878.52990471583
p28,2045,2045-07-20,508261.16748212074
p28,2045,2045-07-21,511993.21230113844
p28,2045,2045-07-22,484649.9781789313
p28,2046,2046-06-23,456134.6410421339
p28,2046,2046-06-24,470535.3190347108
p28,2046,2046-07-14,507852.4434093926
p28,2046,2046-07-15,514049.5812116157
p28,2046,2046-07-16,518742.38408910314
p28,2046,2046-07-21,515510.4929386663
p28,2046,2046-07-22,520312.2879998181
p28,2046,2046-07-23,529839.1222385286
p28,2046,2046-07-24,536022.4749491642
p28,2047,2047-07-01,488969.8987890034
p28,2047,2047-07-02,502596.98946588265
p28,2047,2047-07-03,508374.5746874352
p28,2047,2047-07-04,489592.5508650349
p28,2047,2047-07-05,517556.87863293
p28,2047,2047-07-06,497324.71454352664
p28,2047,2047-08-12,519906.4061537493
p28,2047,2047-08-13,534638.5860151616
p28,2048,2048-06-17,507445.2437445865
p28,2048,2048-06-20,467184.4729718715
p28,2048,2048-06-21,471931.4574165485
p28,2048,2048-08-01,514092.59075613075
p28,2048,2048-08-02,505043.472289057
p28,2049,2049-07-11,521515.48826497886
p28,2049,2049-07-12,547656.4307772806
p28,2049,2049-07-13,543687.2726981245
p28,2049,2049-07-16,535513.3782281987
p28,2049,2049-07-17,528008.1833670284
p28,2049,2049-07-18,536924.1228074236
p28,2049,2049-07-19,556990.8075877189
p28,2049,2049-07-20,547380.2110001042
p28,2049,2049-07-27,547445.1819389695
p28,2049,2049-07-28,542795.6221648981
p28,2049,2049-07-29,522281.5322673117
p28,2049,2049-08-04,533951.0275242851
p28,2049,2049-08-05,544821.841048989
p28,2049,2049-08-28,504179.7462401964
p28,2050,2050-07-15,553208.7431405399
p28,2050,2050-07-16,533911.6945050593
p28,2050,2050-07-19,544044.6972873028
p28,2051,2051-06-27,527574.3930774238
p28,2051,2051-06-28,528561.6707872279
p28,2051,2051-07-02,528645.2531213973
p28,2051,2051-07-03,555220.1999961431
p28,2051,2051-08-23,559237.342884573
p28,2052,2052-08-08,572768.7002328493
p28,2052,2052-08-10,556969.7002821722
p28,2052,2052-08-11,561169.2498871883
p28,2052,2052-08-12,582208.5568833295
p28,2052,2052-08-13,581537.0261799789
p28,2053,2053-06-28,537801.3404366795
p28,2053,2053-06-29,563774.4791353844
p28,2053,2053-06-30,572817.9451301092
p28,2053,2053-07-01,580747.2505749011
p28,2053,2053-07-02,570401.4703932814
p28,2055,2055-06-18,539100.7254487411
p28,2055,2055-06-19,514036.54914135416
p28,2055,2055-06-20,530572.3616473696
p28,2055,2055-06-23,547372.1932414782
p28,2055,2055-08-14,580010.723877185
p28,2055,2055-08-15,589276.4955629146
p28,2055,2055-08-16,602000.48592533
p28,2056,2056-06-04,531204.8767282212
p28,2056,2056-06-05,558921.1801083647
