rb,Year,Date,Load_sum
p28,2020,2020-06-16,256992.11
p28,2020,2020-06-17,268240.8
p28,2020,2020-06-26,284893.5
p28,2020,2020-06-27,279533.88
p28,2020,2020-06-28,286358.88
p28,2020,2020-06-29,299764.04000000004
p28,2020,2020-06-30,286663.37
p28,2020,2020-07-04,262104.39
p28,2020,2020-07-05,272686.46
p28,2020,2020-07-10,295759.95999999996
p28,2020,2020-07-11,283894.98
p28,2020,2020-07-15,290232.08
p28,2020,2020-07-16,302062.11
p28,2020,2020-07-17,300755.29
p28,2020,2020-07-18,284976.44
p28,2020,2020-07-21,295800.17
p28,2020,2020-07-22,294842.83999999997
p28,2020,2020-07-25,288498.92
p28,2020,2020-07-26,289983.7
p28,2020,2020-07-27,306648.58
p28,2020,2020-07-28,308719.2
p28,2020,2020-07-29,293940.56
p28,2020,2020-08-07,293215.22
p28,2020,2020-08-08,287139.2
p28,2020,2020-08-09,280516.46
p28,2020,2020-08-11,294740.18
p28,2020,2020-08-12,284978.5
p28,2021,2021-06-19,247998.64
p28,2021,2021-06-20,269956.12
p28,2021,2021-06-21,286255.36
p28,2021,2021-06-22,288787.1
p28,2021,2021-06-23,290043.52
p28,2021,2021-06-24,286608.73
p28,2021,2021-06-25,289074.56
p28,2021,2021-06-26,278013.79000000004
p28,2021,2021-06-27,270515.20999999996
p28,2021,2021-07-03,277512.42000000004
p28,2021,2021-07-04,263659.99
p28,2021,2021-07-05,285912.22
p28,2021,2021-07-06,297103.88
p28,2021,2021-08-26,293250.24
p28,2021,2021-08-27,300371.7
p28,2021,2021-08-29,285162.99
p28,2022,2022-07-14,294224.92
p28,2022,2022-07-15,289182.54000000004
p28,2022,2022-09-02,287915.41000000003
p28,2022,2022-09-03,276069.51999999996
p28,2023,2023-07-05,290187.54000000004
p28,2023,2023-07-06,299925.74
p28,2023,2023-07-13,294220.78
p28,2023,2023-08-06,284984.51
p28,2024,2024-05-28,261262.69
p28,2024,2024-07-04,278579.3
p28,2024,2024-07-05,298598.55
p28,2024,2024-07-06,283845.55
p28,2025,2025-06-07,270339.54000000004
p28,2025,2025-06-08,278426.01
p28,2025,2025-06-09,285354.59
p28,2025,2025-06-10,276891.0
p28,2025,2025-06-15,260230.76
p28,2025,2025-06-16,276989.81
p28,2025,2025-06-17,282784.58999999997
p28,2025,2025-06-18,281337.4
p28,2025,2025-06-19,263846.85
p28,2025,2025-07-01,293854.91
p28,2025,2025-07-02,295431.69
p28,2025,2025-07-03,295460.97000000003
p28,2025,2025-07-04,282306.85000000003
p28,2025,2025-07-05,276011.29
p28,2025,2025-07-06,281002.07
p28,2025,2025-07-07,301836.33999999997
p28,2025,2025-07-08,313900.9
p28,2025,2025-07-09,293341.39
p28,2025,2025-07-11,293383.23
p28,2025,2025-07-12,292794.94
p28,2025,2025-07-13,289957.02
p28,2025,2025-08-23,277144.81
p28,2025,2025-08-24,286646.42
p28,2025,2025-08-25,295796.54000000004
p28,2026,2026-07-31,302654.23
p28,2026,2026-08-01,284280.67000000004
p28,2027,2027-06-14,284653.82
p28,2027,2027-06-27,268429.73
p28,2028,2028-06-21,277003.7
p28,2028,2028-06-22,292092.44
p28,2028,2028-06-23,295927.63
p28,2028,2028-06-24,279604.79
p28,2028,2028-07-16,280414.04000000004
p28,2028,2028-07-17,294412.65
p28,2029,2029-06-17,263510.94
p28,2029,2029-06-18,286554.88
p28,2029,2029-06-19,278628.68
p28,2029,2029-06-20,289266.73000000004
p28,2029,2029-06-21,277709.29000000004
p28,2029,2029-06-30,271766.78
p28,2029,2029-07-02,287100.93
p28,2029,2029-07-03,302528.64
p28,2029,2029-07-04,297003.65
p28,2029,2029-07-05,303416.01
p28,2029,2029-07-06,305202.72
p28,2029,2029-07-07,293148.31
p28,2029,2029-07-08,285170.9
p28,2029,2029-07-13,286923.02
p28,2029,2029-07-14,279396.03
p28,2029,2029-07-15,272947.37
p28,2029,2029-07-18,296762.76
p28,2029,2029-07-19,309723.38
p28,2029,2029-07-20,303842.37
p28,2030,2030-06-04,271832.56
p28,2030,2030-06-05,267402.96
p28,2030,2030-06-20,264891.56
p28,2030,2030-06-21,270310.97
p28,2030,2030-06-22,267740.22
p28,2030,2030-06-23,273987.66
p28,2030,2030-06-24,290156.5
p28,2030,2030-06-25,298949.86
p28,2030,2030-06-26,310058.20999999996
p28,2030,2030-06-27,307373.63999999996
p28,2030,2030-06-28,302528.82
p28,2030,2030-06-29,272339.22
p28,2030,2030-06-30,280727.04
p28,2030,2030-07-01,306786.61
p28,2030,2030-07-02,298324.04000000004
p28,2030,2030-09-10,284752.33
p28,2030,2030-09-11,286362.72
p28,2031,2031-07-01,285711.06
p28,2031,2031-07-02,291923.03
p28,2031,2031-07-03,288225.32
p28,2031,2031-07-28,288351.74
p28,2032,2032-07-04,255057.71999999997
p28,2032,2032-07-05,280949.94
p28,2032,2032-07-06,292075.28
p28,2032,2032-07-17,285232.62
p28,2032,2032-07-18,287601.23
p28,2032,2032-08-18,293984.92
p28,2033,2033-06-14,267892.67
p28,2033,2033-06-15,278658.97
p28,2033,2033-06-25,258120.49
p28,2033,2033-06-26,271294.08
p28,2033,2033-06-27,288931.0
p28,2033,2033-06-28,283645.08999999997
p28,2033,2033-06-29,280001.38
p28,2033,2033-07-31,287088.66000000003
p28,2033,2033-08-01,307367.72000000003
p28,2033,2033-08-02,302574.44
p28,2034,2034-06-23,278794.92
p28,2034,2034-06-24,283242.26
p28,2034,2034-06-25,290706.09
p28,2034,2034-06-26,298639.95
p28,2034,2034-06-27,291841.06
p28,2034,2034-06-28,297983.91000000003
p28,2034,2034-06-29,303054.95
p28,2034,2034-06-30,294237.06
p28,2034,2034-07-01,287288.17000000004
p28,2034,2034-07-02,281620.78
p28,2034,2034-07-08,269541.49
p28,2034,2034-07-09,276415.31
p28,2034,2034-07-10,297949.56
p28,2034,2034-07-11,297540.57
p28,2034,2034-08-02,297319.66
p28,2034,2034-08-03,297136.77
p28,2034,2034-08-04,295221.26
p28,2034,2034-08-05,289277.68
p28,2034,2034-08-06,287042.85
p28,2035,2035-07-07,282006.15
p28,2035,2035-07-08,287832.77
p28,2035,2035-07-09,295258.11
p28,2035,2035-07-25,283826.23
p28,2035,2035-07-26,292142.59
p28,2035,2035-07-27,303665.11
p28,2035,2035-07-28,296895.43
p28,2035,2035-07-29,294007.22000000003
p28,2035,2035-07-30,300665.17
p28,2035,2035-07-31,298335.72
p28,2035,2035-08-01,301370.14
p28,2035,2035-08-02,301229.64
p28,2035,2035-08-03,299714.51
p28,2035,2035-08-04,286910.63
p28,2035,2035-08-05,289700.99
p28,2035,2035-08-06,302603.76
p28,2035,2035-08-07,300078.75
p28,2035,2035-08-08,302249.89
p28,2035,2035-08-09,302967.98
p28,2035,2035-08-10,299659.18
p28,2035,2035-08-31,294831.5
p28,2035,2035-09-01,283197.29
p28,2036,2036-05-12,250842.76
p28,2036,2036-06-03,263958.39999999997
p28,2036,2036-06-04,271205.74
p28,2036,2036-07-01,298215.17
p28,2036,2036-07-02,299211.63
p28,2036,2036-07-06,281195.73
p28,2036,2036-07-07,293942.42
p28,2036,2036-07-20,283611.08999999997
p28,2036,2036-07-22,291463.67
p28,2036,2036-07-23,297050.25
p28,2036,2036-07-24,300917.64
p28,2036,2036-07-25,292404.51
