rb,Year,Date,Load_sum
p28,2025,2025-02-01,190512.81
p28,2025,2025-02-02,186841.16
p28,2025,2025-02-05,189804.03
p28,2027,2027-01-17,195439.61
p28,2027,2027-01-18,187845.46
p28,2027,2027-12-26,194010.76
p28,2027,2027-12-27,206173.62
p28,2028,2028-12-27,205690.9
p28,2028,2028-12-28,205277.24
p28,2028,2028-12-29,204333.3
p28,2030,2030-02-15,197066.87
p28,2030,2030-02-16,186174.61000000002
p28,2030,2030-12-21,189619.43
p28,2030,2030-12-22,199134.07
p28,2030,2030-12-23,223632.41999999998
p28,2030,2030-12-24,212919.01
p28,2030,2030-12-25,194125.3
p28,2030,2030-12-26,199852.32
p28,2042,2042-01-31,197292.12
p28,2046,2046-11-30,186776.31
p28,2047,2047-01-14,206274.17
p28,2047,2047-01-15,202481.43999999997
p28,2051,2051-01-01,184085.62
p28,2051,2051-02-02,193417.44
p28,2051,2051-02-03,205106.83000000002
p28,2051,2051-02-04,181667.34000000003
p28,2053,2053-01-13,201017.45
p28,2053,2053-01-14,206186.96999999997
p28,2053,2053-01-15,206904.46999999997
p28,2065,2065-02-01,186490.46000000002
p28,2067,2067-01-17,188322.32
p28,2070,2070-02-15,181246.36000000002
p28,2070,2070-12-22,205543.36000000002
p28,2070,2070-12-23,217503.09999999998
p28,2070,2070-12-24,205490.93999999997
p28,2087,2087-01-14,197647.77
p28,2091,2091-02-03,183755.83
