rb,Year,Date,Load_sum
p56,2024,2024-08-29,174427.32
p56,2026,2026-07-29,178492.78999999998
p56,2026,2026-07-30,179501.94
p56,2030,2030-08-29,179303.52
p56,2036,2036-07-06,162268.66
p56,2036,2036-07-21,181260.13
p56,2036,2036-07-22,181622.47
p56,2038,2038-07-07,180012.25
p56,2038,2038-07-10,171163.58
p56,2038,2038-07-30,178140.89
p56,2038,2038-09-04,152263.58
p56,2038,2038-09-05,153092.16
p56,2040,2040-08-16,181101.58000000002
p56,2040,2040-08-17,181341.21
p56,2040,2040-08-28,175145.23
p56,2040,2040-08-29,182176.82
p56,2040,2040-08-30,182966.54
p56,2040,2040-09-01,163681.41
p56,2040,2040-09-02,165811.3
p56,2040,2040-09-03,154814.72
p56,2040,2040-09-04,174267.24
p56,2046,2046-07-15,171692.22
p56,2046,2046-07-18,181137.58
p56,2046,2046-07-19,183395.97
p56,2046,2046-07-20,181832.28
p56,2046,2046-08-06,179847.75
p56,2046,2046-08-09,183104.16999999998
p56,2046,2046-08-10,182590.78
p56,2046,2046-08-17,171340.83000000002
p56,2046,2046-08-18,167342.42
p56,2046,2046-08-19,172094.51
p56,2046,2046-08-20,180010.6
p56,2047,2047-08-13,184331.35
p56,2047,2047-08-14,181046.77
p56,2047,2047-08-15,182707.12
p56,2048,2048-08-02,171850.8
p56,2048,2048-08-03,182542.57
p56,2048,2048-08-04,179960.96
p56,2050,2050-08-02,180466.4
p56,2050,2050-08-03,184325.94
p56,2050,2050-08-11,180320.47
p56,2050,2050-08-12,183625.51
p56,2050,2050-08-13,175069.56
p56,2051,2051-07-10,181739.05
p56,2051,2051-07-27,179965.49
p56,2051,2051-07-28,182522.6
p56,2051,2051-08-01,182969.72
p56,2051,2051-08-02,186124.71
p56,2051,2051-08-03,191181.51
p56,2051,2051-08-04,191586.81
p56,2051,2051-08-05,177387.66999999998
p56,2051,2051-08-06,173539.35
p56,2051,2051-08-07,185051.85
p56,2051,2051-08-08,181516.88
p56,2051,2051-08-19,166945.09000000003
p56,2051,2051-08-31,169671.45
p56,2051,2051-09-01,170267.51
p56,2052,2052-06-25,169729.64
p56,2052,2052-06-28,166455.89
p56,2052,2052-07-20,170573.73
p56,2052,2052-07-28,169065.36
p56,2052,2052-07-29,178546.87
p56,2052,2052-07-31,179902.48
p56,2052,2052-08-01,185163.69
p56,2052,2052-08-02,184030.78999999998
p56,2052,2052-08-03,173958.9
p56,2052,2052-08-04,170427.28
p56,2052,2052-08-07,174745.02000000002
p56,2052,2052-08-08,175326.25
p56,2058,2058-07-20,172176.58000000002
p56,2058,2058-07-21,171216.53
p56,2060,2060-07-13,181992.74000000002
p56,2060,2060-07-14,182226.26
p56,2060,2060-07-15,182807.63
p56,2060,2060-07-16,184768.38
p56,2060,2060-07-17,175058.1
p56,2060,2060-07-18,173350.39
p56,2060,2060-07-29,175182.34
p56,2060,2060-07-30,179479.89
p56,2060,2060-07-31,170527.39
p56,2060,2060-08-01,169401.02000000002
p56,2060,2060-08-08,172212.05
p56,2060,2060-08-21,167146.59
p56,2064,2064-08-29,177606.78
p56,2064,2064-08-30,169556.66
p56,2065,2065-07-31,180856.5
p56,2065,2065-08-12,177885.85
p56,2065,2065-08-18,178686.66
p56,2065,2065-08-31,180259.2
p56,2065,2065-09-01,170719.69
p56,2066,2066-07-26,180960.15
p56,2066,2066-07-27,179313.63
p56,2066,2066-07-28,180986.91999999998
p56,2066,2066-07-29,186382.19
p56,2066,2066-07-30,188255.33000000002
p56,2066,2066-07-31,174155.47
p56,2067,2067-07-31,172351.8
p56,2067,2067-08-01,183615.55
p56,2067,2067-08-02,184711.82
p56,2067,2067-08-03,185860.46
p56,2067,2067-08-07,168011.97999999998
p56,2067,2067-08-08,180681.97
p56,2067,2067-08-20,168418.13
p56,2067,2067-08-21,171383.18
p56,2067,2067-08-22,182030.59
p56,2068,2068-08-06,179588.94
p56,2068,2068-08-07,180669.39
p56,2068,2068-08-08,179732.6
p56,2068,2068-08-09,180339.68
p56,2068,2068-08-17,182318.86
p56,2070,2070-08-26,182234.61000000002
p56,2070,2070-08-27,182788.36000000002
p56,2070,2070-08-28,183343.84999999998
p56,2070,2070-08-29,181405.08000000002
p56,2070,2070-09-05,175448.06
p56,2070,2070-09-06,165799.4
p56,2070,2070-09-07,165553.47999999998
p56,2073,2073-07-31,181236.31
p56,2073,2073-08-13,171746.99
p56,2073,2073-08-15,180444.41
p56,2073,2073-08-16,182936.16999999998
p56,2073,2073-08-17,184500.62
p56,2073,2073-08-18,184646.5
p56,2073,2073-08-19,174738.31
p56,2073,2073-08-20,177111.27
p56,2075,2075-07-28,173663.38
p56,2075,2075-08-17,175518.73
p56,2075,2075-08-18,177517.44
p56,2075,2075-08-19,185451.38999999998
p56,2075,2075-08-29,180496.31
p56,2075,2075-08-30,180837.99
p56,2076,2076-07-02,181293.53
p56,2076,2076-07-06,175956.4
p56,2076,2076-07-07,180992.63
p56,2076,2076-07-20,184207.36
p56,2076,2076-07-21,185863.21
p56,2076,2076-07-22,185922.99
p56,2078,2078-06-30,174387.43
p56,2078,2078-07-06,177548.16999999998
p56,2078,2078-07-07,184419.65
p56,2078,2078-07-08,180533.41999999998
p56,2078,2078-07-10,174378.83000000002
p56,2078,2078-07-11,178468.13999999998
p56,2078,2078-07-18,179539.94
p56,2078,2078-07-19,180812.15
p56,2078,2078-07-20,181804.9
p56,2078,2078-07-21,181166.2
p56,2078,2078-07-22,180389.66
p56,2078,2078-07-26,177121.68
p56,2078,2078-07-28,180828.43
p56,2078,2078-07-29,180581.1
p56,2078,2078-07-30,173235.97999999998
p56,2078,2078-07-31,168622.48
p56,2078,2078-08-02,176368.04
p56,2078,2078-08-10,182923.44999999998
p56,2078,2078-08-18,181306.61
p56,2078,2078-08-19,181253.12
p56,2078,2078-08-24,181667.09999999998
p56,2078,2078-08-25,185734.46
p56,2078,2078-08-26,186040.67
p56,2078,2078-08-27,165990.05
p56,2078,2078-09-04,153857.83
p56,2078,2078-09-05,145577.63
p56,2078,2078-09-07,171115.98
p56,2079,2079-07-29,174175.64
p56,2079,2079-08-07,180923.46
p56,2079,2079-08-10,178180.94
p56,2079,2079-08-11,184754.91999999998
p56,2079,2079-08-12,176184.63
p56,2079,2079-08-13,172164.36
p56,2080,2080-07-15,181787.69
p56,2080,2080-07-16,182347.75
p56,2080,2080-07-18,180267.91
p56,2080,2080-07-19,183815.34
p56,2080,2080-08-04,170663.39
p56,2080,2080-08-05,183116.47
p56,2080,2080-08-06,181225.99
p56,2080,2080-08-07,180808.82
p56,2080,2080-08-08,180180.78999999998
p56,2080,2080-08-10,174840.26
p56,2080,2080-08-15,177617.57
p56,2080,2080-08-16,184105.27
p56,2080,2080-08-17,173507.46
p56,2080,2080-08-18,166053.01
p56,2080,2080-08-21,175728.46000000002
p56,2080,2080-08-24,168212.72
p56,2080,2080-08-25,171450.78
p56,2080,2080-08-26,180164.44
p56,2080,2080-08-27,180283.91
p56,2080,2080-08-28,182956.28
p56,2080,2080-08-29,187639.14
p56,2080,2080-08-30,186789.03
p56,2080,2080-08-31,176154.72
p56,2080,2080-09-01,170071.46000000002
p56,2080,2080-09-02,159367.44
p56,2080,2080-09-03,181186.85
p56,2080,2080-09-04,178597.80000000002
p56,2081,2081-07-10,182045.17
p56,2081,2081-07-22,180318.3
p56,2081,2081-07-23,180144.0
p56,2081,2081-08-04,180125.89
p56,2081,2081-08-21,169675.72
p56,2081,2081-08-22,167270.05
p56,2083,2083-08-17,180887.53999999998
p56,2083,2083-08-18,182082.65
p56,2083,2083-08-19,181546.55
