rb,Year,Date,Load_sum
p56,2024,2024-08-29,183361.46920502512
p56,2025,2025-08-31,178451.7495571132
p56,2026,2026-07-26,182790.81087874057
p56,2026,2026-07-27,189174.9564371301
p56,2026,2026-07-28,191027.89481514852
p56,2026,2026-07-29,193056.30661838822
p56,2026,2026-07-30,194803.38262095905
p56,2028,2028-08-07,189362.79029337794
p56,2028,2028-08-09,190123.95609285304
p56,2030,2030-08-26,193514.54149095845
p56,2030,2030-08-27,194656.07107170695
p56,2030,2030-08-28,195762.76039333126
p56,2030,2030-08-29,195638.41211804783
p56,2030,2030-09-05,185539.20048718463
p56,2030,2030-09-06,188710.8506283878
p56,2033,2033-07-31,183532.2161037883
p56,2033,2033-08-16,194610.59761573884
p56,2033,2033-08-17,196242.12012222497
p56,2033,2033-08-18,197283.140834724
p56,2033,2033-08-19,197565.9811492445
p56,2033,2033-08-20,188829.4309415348
p56,2033,2033-08-21,185862.7375862079
p56,2035,2035-07-28,186403.80805713934
p56,2035,2035-08-17,197803.5984643865
p56,2035,2035-08-18,189161.26893130512
p56,2035,2035-08-19,188040.04500556362
p56,2035,2035-08-20,192821.62783203673
p56,2036,2036-07-02,193839.84384565687
p56,2036,2036-07-06,179213.79370292905
p56,2036,2036-07-20,187202.52883451778
p56,2036,2036-07-21,198377.70652549242
p56,2036,2036-07-22,200176.05239103275
p56,2038,2038-07-06,194309.56215400854
p56,2038,2038-07-07,198997.8870266487
p56,2038,2038-07-08,195342.63383593835
p56,2038,2038-07-10,189331.492307103
p56,2038,2038-07-27,193636.45843094855
p56,2038,2038-07-28,193704.65608611467
p56,2038,2038-07-30,196441.21732044203
p56,2038,2038-08-10,198019.54780846118
p56,2038,2038-08-18,196046.17604288115
p56,2038,2038-08-24,193878.59127394916
p56,2038,2038-08-25,200343.8701842562
p56,2038,2038-08-26,200563.58478775056
p56,2038,2038-08-27,190431.88771077082
p56,2038,2038-09-04,169495.93582209566
p56,2038,2038-09-05,169259.68258940632
p56,2038,2038-09-07,187327.90462517983
p56,2039,2039-08-11,200260.66586988315
p56,2039,2039-08-12,202359.77345122863
p56,2039,2039-08-13,188014.74231164297
p56,2040,2040-07-15,189525.39995648392
p56,2040,2040-07-16,199682.66271750873
p56,2040,2040-07-18,194729.49370981485
p56,2040,2040-07-19,200352.95249709848
p56,2040,2040-08-04,186402.67359005255
p56,2040,2040-08-05,188884.44738133106
p56,2040,2040-08-06,198682.89418219187
p56,2040,2040-08-08,196482.27096474002
p56,2040,2040-08-09,200421.21656783414
p56,2040,2040-08-10,204364.5392484615
p56,2040,2040-08-15,191854.24191437778
p56,2040,2040-08-16,200377.38067381876
p56,2040,2040-08-17,200861.7083913543
p56,2040,2040-08-18,183123.70064027052
p56,2040,2040-08-21,192141.8873063713
p56,2040,2040-08-23,196700.33806816544
p56,2040,2040-08-24,198369.87336041668
p56,2040,2040-08-25,188777.8328664892
p56,2040,2040-08-26,188271.93347115093
p56,2040,2040-08-27,197082.1741355664
p56,2040,2040-08-28,196327.0208571939
p56,2040,2040-08-29,204339.8213025253
p56,2040,2040-08-30,205749.49291572333
p56,2040,2040-08-31,201402.1078632977
p56,2040,2040-09-01,184119.0410732285
p56,2040,2040-09-02,184112.84366027208
p56,2040,2040-09-03,173747.63450793092
p56,2040,2040-09-04,195276.2233490247
p56,2041,2041-07-10,200570.463563292
p56,2041,2041-07-22,197878.0797535206
p56,2041,2041-08-04,187433.07897792873
p56,2041,2041-08-21,186729.40768954088
p56,2041,2041-08-22,182877.69657033868
p56,2043,2043-08-17,201004.3266364055
p56,2043,2043-08-18,202453.68218075804
p56,2043,2043-08-19,202820.38019124637
p56,2043,2043-08-20,201228.63735767757
p56,2043,2043-08-22,186500.10006432136
p56,2045,2045-07-22,191862.62383344554
p56,2045,2045-07-23,194287.43603530736
p56,2045,2045-07-25,200827.72618915368
p56,2045,2045-07-26,202703.40015787768
p56,2045,2045-08-18,198220.93075297785
p56,2045,2045-08-19,185964.24506959887
p56,2045,2045-08-20,182963.7720011235
p56,2045,2045-08-21,198661.2073692538
p56,2045,2045-09-19,191213.24867094052
p56,2045,2045-09-20,195256.60698681328
p56,2046,2046-07-14,187339.7279316148
