rb,Year,Date,Load_sum
p56,2020,2020-02-01,153132.06695709002
p56,2021,2021-02-11,160188.89314380876
p56,2022,2022-01-10,180100.39419668468
p56,2022,2022-01-11,197910.96422351975
p56,2022,2022-01-14,158993.79358996896
p56,2022,2022-01-17,166071.63649269595
p56,2023,2023-12-24,173973.78422771633
p56,2023,2023-12-25,181779.99971443808
p56,2023,2023-12-26,172564.88781952907
p56,2023,2023-12-29,168607.14783499346
p56,2023,2023-12-30,173851.25164619
p56,2024,2024-01-19,168978.79432548714
p56,2024,2024-01-21,164685.07470466636
p56,2025,2025-01-20,186535.1334856925
p56,2025,2025-01-21,192802.09686950248
p56,2025,2025-02-01,160969.38331273076
p56,2025,2025-02-02,159211.1752949502
p56,2025,2025-02-03,172598.7984503902
p56,2025,2025-12-25,148207.72177565022
p56,2026,2026-01-27,167614.69187838657
p56,2028,2028-01-08,163425.30737483565
p56,2028,2028-01-09,163038.8892039965
p56,2028,2028-01-10,175500.302591194
p56,2028,2028-01-11,168659.52976249738
p56,2029,2029-12-16,167888.50249095465
p56,2029,2029-12-22,191461.34502383485
p56,2029,2029-12-23,195719.30620502366
p56,2029,2029-12-24,174318.8661322515
p56,2034,2034-01-18,182748.10045864625
p56,2034,2034-01-19,179259.289706979
p56,2036,2036-01-19,173974.54402715806
p56,2036,2036-02-03,178345.0561682579
p56,2036,2036-02-04,184489.85903881406
p56,2037,2037-01-11,174134.54207564352
p56,2037,2037-01-12,183737.7288939627
p56,2037,2037-01-13,180395.85557915995
p56,2037,2037-01-17,172353.05392554356
p56,2040,2040-12-17,178249.15245956753
p56,2040,2040-12-19,173379.82606016228
p56,2040,2040-12-22,169662.60305186245
p56,2041,2041-01-02,175618.8891220283
p56,2044,2044-12-24,175672.61037494108
p56,2050,2050-01-08,179788.45029496215
p56,2050,2050-01-09,175375.8443419145
p56,2051,2051-02-10,171064.94527687397
p56,2054,2054-01-06,196009.17432900576
p56,2054,2054-01-07,187149.2972635055
p56,2054,2054-01-28,186580.44541472485
p56,2054,2054-03-03,177263.7054974771
p56,2054,2054-03-04,175094.81859015563
p56,2055,2055-01-08,186714.87281474395
p56,2055,2055-03-06,164036.42778759368
p56,2058,2058-01-01,174320.88607826422
p56,2058,2058-01-02,191854.0247847365
p56,2058,2058-01-16,187883.51435615245
p56,2058,2058-01-17,194900.8799836978
p56,2062,2062-01-10,190968.74012086107
p56,2062,2062-01-11,209737.60890293302
p56,2062,2062-01-17,193280.9508798181
p56,2063,2063-12-24,196707.83122014257
p56,2063,2063-12-25,193777.47108608938
p56,2063,2063-12-29,174864.00892709685
p56,2063,2063-12-30,184585.26842570188
p56,2065,2065-01-20,205881.67145111295
p56,2065,2065-01-21,204610.3657648418
p56,2065,2065-02-03,184121.03165696852
p56,2069,2069-12-22,203029.2353376785
p56,2069,2069-12-23,210534.93590587442
p56,2076,2076-01-19,185477.46428461483
p56,2076,2076-02-03,204331.54234109586
p56,2076,2076-02-04,200082.92491214568
p56,2090,2090-01-08,192648.77747715852
p56,2094,2094-01-06,214361.31304137895
p56,2098,2098-01-01,191891.74823974632
p56,2098,2098-01-16,203992.03864613306
