rb,Year,Date,Load_sum
p10,2020,2020-07-25,952228.6512939318
p10,2020,2020-07-26,970125.1563009678
p10,2020,2020-07-27,1041116.8716952073
p10,2020,2020-07-28,1057049.9040945582
p10,2020,2020-07-29,1061120.524836285
p10,2020,2020-07-30,1045488.6298199575
p10,2020,2020-10-01,975848.0134841645
p10,2020,2020-10-02,950536.9251460774
p10,2021,2021-08-07,925452.8197144198
p10,2021,2021-08-08,922078.5544065253
p10,2021,2021-08-27,1032264.8836987172
p10,2021,2021-08-28,964351.7531167185
p10,2022,2022-08-06,942586.8461535688
p10,2022,2022-08-21,950810.4143657178
p10,2022,2022-09-02,995073.5478082376
p10,2023,2023-07-13,1059345.3174302736
p10,2023,2023-08-05,936573.2705747252
p10,2023,2023-08-06,1006015.3771254531
p10,2023,2023-08-07,1082447.1051026925
p10,2024,2024-05-29,975601.8695231667
p10,2024,2024-07-14,970965.9398358325
p10,2024,2024-08-08,1029171.1801844261
p10,2024,2024-09-04,1031130.1783780017
p10,2024,2024-09-08,962108.8406847529
p10,2024,2024-09-17,1052953.2290055586
p10,2024,2024-09-18,1067144.5189836416
p10,2025,2025-07-01,1042001.0229270156
p10,2025,2025-07-02,1059769.7082318175
p10,2025,2025-07-03,1038643.528839841
p10,2025,2025-07-08,1055482.4206689885
p10,2025,2025-07-09,1069617.6772457089
p10,2025,2025-08-24,929780.478874081
p10,2025,2025-08-25,1038962.8093005153
p10,2027,2027-09-01,1008017.8223892861
p10,2028,2028-07-17,1102911.8435796718
p10,2028,2028-07-18,1056282.6761529117
p10,2028,2028-09-02,936300.590808427
p10,2028,2028-09-03,976350.5372753503
p10,2028,2028-09-04,994096.8651136106
p10,2028,2028-09-05,1075788.2176895253
p10,2028,2028-09-06,1013214.2839226557
p10,2029,2029-07-05,1048638.9193122468
p10,2029,2029-07-06,1073640.1527058384
p10,2029,2029-07-07,987188.1400216906
p10,2029,2029-07-19,1033061.3217478921
p10,2030,2030-07-11,1091002.9942540545
p10,2030,2030-07-12,1101218.3278215344
p10,2030,2030-08-05,1038797.8037139847
p10,2030,2030-08-06,1099974.1010830696
p10,2030,2030-08-07,1080819.8365057025
p10,2031,2031-07-03,1055667.3258227352
p10,2031,2031-10-10,997490.8581103479
p10,2032,2032-08-11,1075865.055933696
