rb,Year,Date,Load_sum
p10,2020,2020-06-28,910420.9293144948
p10,2020,2020-07-16,992336.1388376595
p10,2020,2020-07-22,999330.0464184678
p10,2020,2020-07-23,1025408.3179161813
p10,2020,2020-07-25,963007.4216478945
p10,2020,2020-07-26,982452.9114255423
p10,2020,2020-07-27,1059355.7814660538
p10,2020,2020-07-28,1068735.710300073
p10,2020,2020-07-29,1071377.0762623963
p10,2020,2020-07-30,1060295.4700387628
p10,2020,2020-07-31,1044737.0747928217
p10,2020,2020-08-01,955553.1050247173
p10,2020,2020-08-02,933852.8661164066
p10,2020,2020-08-10,1005416.5047217425
p10,2020,2020-08-11,1015254.8095227685
p10,2020,2020-09-30,969543.4027792413
p10,2020,2020-10-01,971687.1582777323
p10,2020,2020-10-02,950608.1372040033
p10,2020,2020-10-03,861697.4707946423
p10,2021,2021-06-16,973354.3644629789
p10,2021,2021-06-18,840063.2226588128
p10,2021,2021-06-19,830153.9837717591
p10,2021,2021-06-20,918905.4366619897
p10,2021,2021-06-21,986261.6831390451
p10,2021,2021-06-22,987495.3324322077
p10,2021,2021-07-03,899049.5835650826
p10,2021,2021-07-14,995334.9693544023
p10,2021,2021-08-06,993047.4197547897
p10,2021,2021-08-07,939015.7485149748
p10,2021,2021-08-08,926714.8598500197
p10,2021,2021-08-26,1010917.4895555652
p10,2021,2021-08-27,1040615.0825428284
p10,2021,2021-08-28,965761.0395765482
p10,2021,2021-08-29,929234.8591179787
p10,2022,2022-07-29,1008932.9102450835
p10,2022,2022-08-06,953640.5967785333
p10,2022,2022-08-20,931815.8531504001
p10,2022,2022-08-21,970252.2872005715
p10,2022,2022-08-22,1058932.2917522672
p10,2022,2022-09-01,984388.418915187
p10,2022,2022-09-02,1003998.3442962267
p10,2022,2022-09-03,924705.3077828174
p10,2023,2023-07-11,1029409.2042970215
p10,2023,2023-07-12,1057052.2640908966
p10,2023,2023-07-13,1072531.7946604532
p10,2023,2023-07-14,1013439.9889746988
p10,2023,2023-08-05,953846.6743151662
p10,2023,2023-08-06,1031052.5675313633
p10,2023,2023-08-07,1098083.011047604
p10,2023,2023-08-13,957849.0620254474
p10,2023,2023-08-14,1069722.9347381636
p10,2023,2023-09-11,1019258.2780519279
p10,2023,2023-09-12,1026917.5409845521
p10,2023,2023-09-13,1019509.5966004182
p10,2023,2023-09-14,1015686.3466714141
p10,2024,2024-05-28,975777.0583159439
p10,2024,2024-05-29,981512.6566067757
p10,2024,2024-07-01,1012578.7737540322
p10,2024,2024-07-02,1066917.2752457736
p10,2024,2024-07-03,1048715.645056485
p10,2024,2024-07-04,916061.2077211632
p10,2024,2024-07-05,1057106.2615699335
p10,2024,2024-07-06,962034.6898517364
p10,2024,2024-07-07,926215.3812819321
p10,2024,2024-07-11,1013159.4359388426
p10,2024,2024-07-12,1024190.6389439863
p10,2024,2024-07-13,981819.3756441609
p10,2024,2024-07-14,976241.1528129932
p10,2024,2024-07-15,1074661.0097255502
p10,2024,2024-08-07,1023717.1066701827
p10,2024,2024-08-08,1046136.9965635198
p10,2024,2024-08-09,1021137.1514643126
p10,2024,2024-08-29,1026775.2097996357
p10,2024,2024-09-04,1034867.043313981
p10,2024,2024-09-05,1041276.0363467755
p10,2024,2024-09-08,956190.1307135099
p10,2024,2024-09-09,1047394.5392788535
p10,2024,2024-09-16,995967.0731469245
p10,2024,2024-09-17,1050595.9498269774
p10,2024,2024-09-18,1072892.1019838061
p10,2025,2025-06-27,978276.5831535377
p10,2025,2025-06-28,911551.1252450342
p10,2025,2025-06-30,963379.9349057031
p10,2025,2025-07-01,1057209.096154727
p10,2025,2025-07-02,1071550.9709610639
p10,2025,2025-07-03,1050415.177320811
p10,2025,2025-07-04,945549.482721407
p10,2025,2025-07-05,970721.5389013776
p10,2025,2025-07-07,1027602.1864183795
p10,2025,2025-07-08,1071727.0457902176
p10,2025,2025-07-09,1087262.3688968844
p10,2025,2025-07-10,1046076.2054872697
p10,2025,2025-07-11,1027525.634277558
p10,2025,2025-07-13,926926.0848377568
p10,2025,2025-08-24,945350.1009486872
p10,2025,2025-08-25,1048118.9495499451
p10,2025,2025-08-26,1025113.0035852061
p10,2025,2025-08-30,934837.4480030728
p10,2026,2026-08-03,1029936.8196235552
p10,2026,2026-08-19,1057286.2138640592
p10,2027,2027-08-01,965506.9231922389
p10,2027,2027-08-02,1053909.5198023214
p10,2027,2027-08-03,1055345.2691279852
p10,2027,2027-08-04,1061508.6493157486
p10,2027,2027-08-29,927116.178935525
p10,2027,2027-09-01,1019536.7240263051
p10,2027,2027-09-02,1043113.962404855
p10,2027,2027-10-03,903128.21572058
p10,2027,2027-10-04,984253.9635254939
p10,2027,2027-10-05,976970.4785032358
p10,2028,2028-07-16,952004.2881678779
p10,2028,2028-07-17,1121158.4337789142
p10,2028,2028-07-18,1067636.5148019253
p10,2028,2028-07-20,1040587.1908828185
p10,2028,2028-07-21,1074976.8195442741
p10,2028,2028-07-22,988356.7099443433
p10,2028,2028-07-23,971451.109332222
p10,2028,2028-07-25,1053936.3370433517
p10,2028,2028-07-26,1059099.407936891
p10,2028,2028-08-25,1077881.6921126181
p10,2028,2028-08-26,977214.7552301819
p10,2028,2028-09-02,957215.7525087318
p10,2028,2028-09-03,1005044.5144120542
p10,2028,2028-09-04,1007752.1485371981
p10,2028,2028-09-05,1082419.4187204733
p10,2028,2028-09-06,1024301.6704067723
p10,2029,2029-07-04,886377.1942031041
p10,2029,2029-07-05,1062328.4578361278
p10,2029,2029-07-06,1084166.6035017008
p10,2029,2029-07-07,998324.4297472995
p10,2029,2029-07-08,958731.689026424
p10,2029,2029-07-19,1044592.1164052003
p10,2029,2029-07-20,1072393.04117841
p10,2029,2029-07-21,954507.904802873
p10,2030,2030-06-20,1024100.5084080829
p10,2030,2030-06-26,1007638.6979408062
p10,2030,2030-06-27,996906.0340833752
p10,2030,2030-07-10,1062783.75604945
p10,2030,2030-07-11,1115163.863975721
p10,2030,2030-07-12,1117225.383600628
p10,2030,2030-07-13,1036268.804142497
p10,2030,2030-07-14,985361.3945912742
p10,2030,2030-08-05,1062460.8935502162
p10,2030,2030-08-06,1118715.7215214355
p10,2030,2030-08-07,1102926.7454589254
p10,2030,2030-08-08,1111958.9687547875
p10,2030,2030-08-09,1112243.2785813715
p10,2030,2030-08-10,997660.1418610141
p10,2030,2030-08-11,987791.868112039
p10,2030,2030-09-09,1018136.8332492502
p10,2030,2030-09-10,1022524.9520699391
