rb,Year,Date,Load_sum
p34,2020,2020-07-06,194532.18640876943
p34,2020,2020-07-17,196535.78807964746
p34,2020,2020-07-29,195408.22691848336
p34,2020,2020-08-06,193481.62308657312
p34,2020,2020-08-07,198600.82851853906
p34,2021,2021-07-21,194289.76388540427
p34,2022,2022-07-23,185670.22699327092
p34,2022,2022-07-24,183863.9961367452
p34,2025,2025-06-08,180676.49264029742
p34,2025,2025-07-07,203887.52905541463
p34,2025,2025-08-30,187424.46606228623
p34,2026,2026-08-18,205986.56429458928
p34,2027,2027-07-23,211213.38382416507
p34,2029,2029-06-19,184941.49620520248
p34,2029,2029-07-04,190201.12945712917
p34,2029,2029-07-05,218332.35573878762
p34,2029,2029-07-06,216109.1740388138
p34,2029,2029-07-07,194980.4848815263
p34,2029,2029-07-08,198007.76835579932
p34,2029,2029-07-09,213872.07323902223
p34,2030,2030-06-24,208148.09235748457
p34,2030,2030-06-25,209273.45670765173
p34,2030,2030-06-27,211443.94024725683
p34,2030,2030-06-28,213951.04346048323
p34,2030,2030-06-29,195303.07491659722
p34,2030,2030-07-01,218810.12193808414
p34,2030,2030-07-02,220408.97969007687
p34,2030,2030-07-03,213180.0979706443
p34,2031,2031-06-25,202744.09691253395
p34,2031,2031-07-05,193723.1847998137
p34,2031,2031-07-06,196684.28196565408
p34,2031,2031-07-07,211727.99966222336
p34,2032,2032-07-06,216261.8495109231
p34,2034,2034-06-13,209880.14339989168
p34,2034,2034-06-14,209063.20658117597
p34,2034,2034-06-25,198217.59168785578
p34,2034,2034-06-26,216243.08103025303
p34,2034,2034-06-27,215362.98123816127
p34,2034,2034-06-29,213826.68925979058
p34,2034,2034-06-30,214689.40195674656
p34,2034,2034-07-01,204123.2197931274
p34,2034,2034-07-02,197893.65073814965
p34,2034,2034-07-18,218956.52942822233
p34,2034,2034-07-22,199049.0007308377
p34,2034,2034-08-06,202398.12386541924
p34,2034,2034-08-07,219449.77258047197
p34,2034,2034-08-16,216114.2181540193
p34,2034,2034-08-26,199739.32032391513
p34,2034,2034-08-27,204277.01481130766
p34,2035,2035-07-11,225619.66208068174
p34,2035,2035-07-12,223408.97949437916
p34,2035,2035-07-26,215934.43023688067
p34,2035,2035-07-27,220862.50441450966
p34,2035,2035-07-28,206192.93855968388
