rb,Year,Date,Load_sum
p33,2041,2041-12-26,201567.35471988088
p33,2041,2041-12-27,201286.19392751786
p33,2041,2041-12-28,193811.30575222903
p33,2041,2041-12-29,192157.16356835296
p33,2041,2041-12-30,206241.84640816538
p33,2041,2041-12-31,233573.9185395263
p33,2042,2042-01-01,189956.92785778453
p33,2042,2042-01-02,196117.18664917207
p33,2042,2042-12-22,206253.37608763005
p33,2042,2042-12-23,203396.40336890038
p33,2042,2042-12-24,202797.667617313
p33,2042,2042-12-25,187457.19033278752
p33,2042,2042-12-26,203287.21984622822
p33,2042,2042-12-27,193450.6611070602
p33,2042,2042-12-28,195464.99271120282
p33,2042,2042-12-29,203645.7573133887
p33,2042,2042-12-30,208001.59644171537
p33,2042,2042-12-31,235566.87834930647
p33,2043,2043-01-01,191577.7274966184
p33,2043,2043-01-02,197790.54844163102
p33,2043,2043-01-03,189723.40570802178
p33,2043,2043-01-04,189050.3197641933
p33,2043,2043-01-05,197851.65712684696
p33,2043,2043-01-06,197991.6838109949
p33,2043,2043-01-07,211809.27436197118
p33,2043,2043-01-08,209075.4331868186
p33,2043,2043-01-09,201071.75246034111
p33,2043,2043-12-16,209105.97742590978
p33,2043,2043-12-17,214766.80314852594
p33,2043,2043-12-18,212604.69863503796
p33,2043,2043-12-19,194120.96964721516
p33,2043,2043-12-20,190466.93095720274
p33,2043,2043-12-21,205556.2819098394
p33,2043,2043-12-22,208013.22449769374
p33,2043,2043-12-23,205131.87477727796
p33,2043,2043-12-24,204528.03033762705
p33,2043,2043-12-25,189056.66106446658
p33,2043,2043-12-26,194555.47389151246
p33,2043,2043-12-27,195101.27088049919
p33,2043,2043-12-28,207028.5399933835
p33,2043,2043-12-29,205383.3563239955
p33,2043,2043-12-30,209776.36146972218
p33,2043,2043-12-31,237576.84300632408
p33,2044,2044-01-01,193212.35654140697
p33,2044,2044-01-02,191403.51356231456
p33,2044,2044-01-03,191342.21282876082
p33,2044,2044-01-04,200695.18832055124
p33,2044,2044-01-05,199539.81821699665
p33,2044,2044-01-06,199681.03967304184
p33,2044,2044-01-07,213616.5282445175
p33,2044,2044-01-08,210859.3606824872
p33,2044,2044-01-09,190935.70694453132
p33,2044,2044-01-10,189459.3082558453
p33,2044,2044-01-11,197348.18728236947
p33,2044,2044-01-12,195736.95454384878
p33,2044,2044-01-13,196904.73964979875
p33,2044,2044-01-14,196585.58742357945
p33,2044,2044-01-15,196378.64612417066
p33,2044,2044-12-11,196550.0028580085
p33,2044,2044-12-12,211348.13888888314
p33,2044,2044-12-13,199702.35646296706
p33,2044,2044-12-14,199506.8132983304
p33,2044,2044-12-15,202525.23603129695
p33,2044,2044-12-16,210895.07457784706
p33,2044,2044-12-17,206752.41801155737
p33,2044,2044-12-18,204288.15865094503
