rb,Year,Date,Load_sum
p34,2022,2022-02-05,151286.41999999998
p34,2023,2023-12-21,180314.13
p34,2023,2023-12-22,179695.77
p34,2023,2023-12-24,182728.19
p34,2024,2024-01-18,165517.69
p34,2025,2025-01-31,166406.3
p34,2025,2025-02-01,150337.58000000002
p34,2025,2025-02-02,146275.18
p34,2029,2029-02-04,155879.2
p34,2029,2029-02-05,173847.79
p34,2029,2029-02-06,167776.71
p34,2029,2029-02-07,160426.01
p34,2029,2029-12-22,167989.94
p34,2030,2030-12-21,176214.06
p34,2030,2030-12-22,175851.11
p34,2030,2030-12-23,176171.95
p34,2051,2051-02-02,167139.5
p34,2051,2051-02-09,161760.09000000003
p34,2054,2054-02-06,165036.56
p34,2054,2054-12-30,177669.12
p34,2054,2054-12-31,173345.72
p34,2062,2062-02-05,149880.36000000002
p34,2063,2063-12-24,188817.24
p34,2064,2064-01-18,164031.29
p34,2065,2065-01-31,152318.71
p34,2065,2065-02-01,149393.32
p34,2065,2065-02-02,160251.98
p34,2069,2069-02-05,172637.36
p34,2069,2069-02-06,166724.43
p34,2069,2069-02-07,159688.29
p34,2070,2070-12-21,174493.91999999998
p34,2070,2070-12-22,181111.93
p34,2070,2070-12-23,174355.02
p34,2091,2091-02-02,166983.94
p34,2091,2091-02-09,161129.38
p34,2094,2094-02-06,151817.89
p34,2094,2094-12-30,177273.89
p34,2094,2094-12-31,156927.54
