rb,Year,Date,Load_sum
p34,2022,2022-02-05,152058.12
p34,2022,2022-02-06,142001.33
p34,2023,2023-12-22,177445.18
p34,2023,2023-12-24,181786.07
p34,2024,2024-01-18,166699.88
p34,2025,2025-01-31,167040.45
p34,2025,2025-02-01,150853.69
p34,2025,2025-02-02,146464.51
p34,2029,2029-02-04,157234.11000000002
p34,2029,2029-02-05,174999.54
p34,2029,2029-02-06,168247.59
p34,2029,2029-02-07,161063.9
p34,2029,2029-12-22,167324.37
p34,2030,2030-12-21,175104.98
p34,2030,2030-12-22,174978.66999999998
p34,2030,2030-12-23,175090.61
p34,2036,2036-02-02,149311.08
p34,2036,2036-02-03,145915.43
p34,2036,2036-12-18,171027.02
p34,2037,2037-01-12,168146.54
p34,2037,2037-01-13,166038.87
p34,2045,2045-12-08,167367.28
p34,2049,2049-12-09,171477.68
p34,2051,2051-01-01,153963.09
p34,2051,2051-02-01,164547.93
p34,2051,2051-02-02,168160.53999999998
p34,2051,2051-02-03,158125.54
p34,2051,2051-02-09,162471.66
p34,2054,2054-02-05,163047.85
p34,2054,2054-02-06,165526.3
p34,2054,2054-12-30,177939.86000000002
p34,2054,2054-12-31,173590.29
p34,2062,2062-02-05,149845.76
p34,2063,2063-12-24,186852.14
p34,2064,2064-01-18,164172.0
p34,2065,2065-01-31,152009.5
p34,2065,2065-02-01,149081.55
p34,2065,2065-02-02,159954.34
p34,2069,2069-02-05,171427.59
p34,2069,2069-02-06,165535.27000000002
p34,2069,2069-02-07,158794.84999999998
p34,2070,2070-12-21,172498.9
p34,2070,2070-12-22,179732.91999999998
p34,2070,2070-12-23,172756.09
p34,2091,2091-02-02,165982.22
p34,2091,2091-02-09,160915.21
p34,2094,2094-12-30,176073.9
p34,2094,2094-12-31,156221.27000000002
