rb,Year,Date,Load_sum
p33,2022,2022-02-04,182273.7569096091
p33,2022,2022-02-05,167635.80441478244
p33,2022,2022-02-06,157197.87082552505
p33,2023,2023-12-21,202022.96382897743
p33,2023,2023-12-22,201125.37746811283
p33,2023,2023-12-24,205494.51896085788
p33,2024,2024-01-18,186912.72323566393
p33,2025,2025-01-31,189539.28025260335
p33,2025,2025-02-01,171346.3480613156
p33,2025,2025-02-02,166581.4285853737
p33,2029,2029-02-04,182466.56981389254
p33,2029,2029-02-05,203466.00249796594
p33,2029,2029-02-06,196642.7264969804
p33,2029,2029-02-07,188156.13267479386
p33,2029,2029-12-22,198457.78656958687
p33,2030,2030-12-21,209318.33262971014
p33,2030,2030-12-22,208240.044055228
p33,2030,2030-12-23,208682.80212395763
p33,2036,2036-02-02,185486.5931479551
p33,2036,2036-02-03,181347.36805167707
p33,2036,2036-12-18,214611.95194301166
p33,2037,2037-01-12,209978.11042337713
p33,2051,2051-02-01,231572.8706545019
p33,2051,2051-02-02,237361.2782990379
p33,2051,2051-02-03,224230.0387369333
p33,2051,2051-02-09,229276.3640012798
p33,2054,2054-02-05,235850.54044577287
p33,2054,2054-02-06,238942.35336580276
p33,2054,2054-12-30,259232.9321307169
p33,2054,2054-12-31,253449.738057865
p33,2062,2062-02-05,232812.51817656044
p33,2063,2063-12-24,297498.8249385428
p33,2064,2064-01-18,259342.50001064298
p33,2065,2065-01-31,242338.86441051582
p33,2065,2065-02-01,238141.23245310105
p33,2065,2065-02-02,255440.38857492543
p33,2069,2069-02-05,282044.2832406409
p33,2069,2069-02-06,272988.7297532908
p33,2070,2070-12-21,291572.60014722846
p33,2070,2070-12-22,303356.4391707146
p33,2070,2070-12-23,290844.819869193
p33,2091,2091-02-02,328275.43008696934
