rb,Year,Date,Load_sum
p132,2020,2020-06-27,96618.36
p132,2020,2020-07-16,118221.38
p132,2020,2020-07-17,127297.32
p132,2020,2020-07-20,122974.85
p132,2020,2020-07-21,132293.72
p132,2020,2020-07-22,128717.31
p132,2020,2020-08-02,105528.99
p132,2020,2020-08-04,121774.17
p132,2020,2020-08-05,126050.63
p132,2020,2020-08-07,120645.83
p132,2020,2020-08-08,112396.17
p132,2020,2020-08-09,113114.5
p132,2020,2020-08-27,113343.04
p132,2020,2020-09-02,118749.88
p132,2020,2020-09-22,113596.77
p132,2021,2021-06-16,113687.32
p132,2021,2021-07-07,119265.35
p132,2021,2021-07-08,121865.5
p132,2021,2021-07-09,126117.22
p132,2021,2021-07-11,98430.72
p132,2021,2021-07-12,111378.84
p132,2021,2021-07-21,119706.51000000001
p132,2021,2021-08-10,117689.48
p132,2022,2022-07-17,112164.97
p132,2023,2023-06-13,109835.23999999999
p132,2023,2023-06-27,107169.35
p132,2023,2023-07-03,125380.49
p132,2023,2023-07-04,115022.23
p132,2023,2023-07-16,110093.98
p132,2023,2023-08-07,119283.34
p132,2023,2023-08-08,117084.18
p132,2023,2023-08-20,107172.01
p132,2023,2023-09-06,121751.33
p132,2023,2023-09-07,120810.46
p132,2023,2023-09-11,116615.69
p132,2024,2024-06-08,103925.56
p132,2024,2024-06-09,104442.89
p132,2024,2024-06-10,123359.25
p132,2024,2024-06-11,119540.5
p132,2024,2024-07-14,99919.2
p132,2024,2024-07-15,117548.18000000001
p132,2025,2025-07-20,103041.1
p132,2025,2025-08-14,114861.02
p132,2026,2026-07-06,121030.88
p132,2026,2026-07-07,120413.36
p132,2027,2027-05-30,94684.89
p132,2027,2027-05-31,98729.5
p132,2027,2027-07-18,94785.6
p132,2027,2027-07-21,120202.44
p132,2027,2027-07-22,118808.83
p132,2027,2027-07-23,119444.3
p132,2027,2027-07-24,110601.44
p132,2027,2027-08-04,123189.02
p132,2027,2027-08-17,118889.52
p132,2027,2027-08-18,122433.23
p132,2028,2028-06-13,103846.78
p132,2028,2028-06-14,110518.65
p132,2028,2028-06-15,113562.93
p132,2028,2028-06-21,113508.4
p132,2028,2028-07-08,104218.96
p132,2028,2028-07-09,106526.6
p132,2028,2028-07-10,123975.56999999999
p132,2028,2028-07-11,127205.1
p132,2028,2028-07-17,121884.16
p132,2028,2028-07-18,123354.37
p132,2028,2028-07-30,110281.94
p132,2028,2028-08-02,125144.9
p132,2028,2028-08-03,123922.31
p132,2028,2028-08-04,127132.74
p132,2028,2028-08-05,114624.67
p132,2028,2028-08-07,123020.62
p132,2028,2028-08-09,117807.09
p132,2028,2028-08-10,123598.25
p132,2028,2028-08-11,129141.46
p132,2028,2028-08-12,117814.31
p132,2028,2028-08-13,109841.3
p132,2028,2028-08-14,128794.47
p132,2028,2028-08-15,124918.79000000001
p132,2029,2029-06-27,117400.56
p132,2029,2029-07-23,120426.93
p132,2029,2029-07-24,114131.99
p132,2029,2029-07-25,116907.99
p132,2029,2029-07-26,121021.89
p132,2029,2029-07-27,124068.76
p132,2029,2029-08-05,110725.04000000001
p132,2029,2029-09-10,116805.42
p132,2030,2030-07-18,117635.1
p132,2030,2030-07-19,121042.57
p132,2030,2030-07-20,107172.05
p132,2031,2031-06-20,106960.26
p132,2031,2031-06-28,103302.90000000001
p132,2031,2031-06-29,108556.34
p132,2031,2031-07-17,110094.87
p132,2031,2031-07-18,114940.38
p132,2031,2031-07-19,111854.91
p132,2031,2031-07-20,116299.26
p132,2031,2031-07-21,130160.02
p132,2031,2031-07-22,119032.32
p132,2031,2031-07-23,123547.51
p132,2031,2031-08-01,113713.08
p132,2031,2031-08-02,100227.3
p132,2031,2031-08-14,111068.79
p132,2031,2031-08-16,104670.75
p132,2031,2031-08-17,100541.91
p132,2031,2031-08-28,118737.47
p132,2033,2033-06-19,93633.84
p132,2033,2033-07-07,123016.22
p132,2033,2033-07-08,134396.0
p132,2033,2033-07-09,119873.78
p132,2033,2033-07-10,118303.1
p132,2033,2033-07-11,117744.42
p132,2033,2033-07-14,112913.39
p132,2033,2033-07-28,117312.96
p132,2033,2033-07-29,120422.52
p132,2033,2033-07-30,103153.74
p132,2033,2033-08-03,119654.62
p132,2033,2033-08-25,112971.31
p132,2033,2033-08-26,120655.19
p132,2033,2033-08-27,109383.54000000001
