rb,Year,Date,Load_sum
p132,2020,2020-12-25,80184.02120434586
p132,2021,2021-01-04,94462.87933414754
p132,2021,2021-01-05,95059.01437924332
p132,2021,2021-01-11,95780.9990829013
p132,2021,2021-01-12,96316.32908235381
p132,2022,2022-01-17,86272.1328399368
p132,2022,2022-01-18,97837.99451951755
p132,2022,2022-01-27,95063.86809927179
p132,2023,2023-01-19,95559.89519632122
p132,2027,2027-01-25,91217.33114302102
p132,2027,2027-02-16,89180.441070181
p132,2028,2028-01-14,92313.05337241865
p132,2033,2033-03-15,82080.10399356882
p132,2034,2034-01-16,85989.1291204312
p132,2034,2034-01-19,90406.80467861434
p132,2034,2034-01-27,90310.89763849301
p132,2035,2035-02-06,87794.12092682341
p132,2035,2035-02-07,85902.94880995434
p132,2036,2036-01-06,82875.69753312058
p132,2040,2040-01-28,80797.78222824911
p132,2043,2043-01-28,86059.09860552622
p132,2044,2044-01-14,84650.79980599425
p132,2044,2044-01-16,78163.62165391761
p132,2049,2049-01-17,76224.31062126264
p132,2051,2051-01-24,83981.7649863912
p132,2054,2054-01-04,74640.11928254855
p132,2055,2055-02-06,71040.38911883067
p132,2055,2055-02-13,71442.71626956727
p132,2055,2055-02-14,72112.90538080299
p132,2055,2055-02-16,82075.06650767372
p132,2055,2055-02-21,71744.13919436796
p132,2055,2055-02-24,80222.27122877749
p132,2056,2056-02-14,80331.70589554138
p132,2058,2058-01-07,80434.97341719343
p132,2062,2062-01-18,78670.1883269568
p132,2074,2074-01-16,73602.81260671285
p132,2091,2091-01-24,67390.35345198381
p132,2095,2095-02-16,65715.14300205685
p132,2096,2096-02-14,64909.759937840725
p132,2098,2098-01-07,65729.64027863614
