rb,Year,Date,Load_sum
p125,2020,2020-07-16,45780.450000000004
p125,2020,2020-07-17,49200.91
p125,2020,2020-07-20,48442.91
p125,2020,2020-07-21,50482.659999999996
p125,2020,2020-08-01,41192.57
p125,2020,2020-08-03,46799.74
p125,2020,2020-08-05,48724.73
p125,2020,2020-09-02,45306.52
p125,2021,2021-07-09,47330.770000000004
p125,2023,2023-07-16,43225.06
p125,2023,2023-08-20,42776.65
p125,2023,2023-09-11,43295.03
p125,2025,2025-08-14,45367.78
p125,2025,2025-08-15,47245.57
p125,2026,2026-07-07,48088.08
p125,2028,2028-06-21,45473.19
p125,2028,2028-06-22,46191.01
p125,2028,2028-07-10,46795.799999999996
p125,2028,2028-07-16,40453.96
p125,2028,2028-07-17,48287.01
p125,2028,2028-07-30,43578.46
p125,2028,2028-08-15,48187.62
p125,2028,2028-08-17,43370.34
p125,2031,2031-06-29,41288.73
p125,2031,2031-07-07,47488.47
p125,2031,2031-07-19,44132.65
p125,2031,2031-07-20,45001.87
p125,2031,2031-07-21,49436.4
p125,2031,2031-07-22,48647.41
p125,2031,2031-07-23,49952.44
p125,2032,2032-07-14,46142.03
p125,2033,2033-07-08,50093.1
p125,2033,2033-07-09,44706.52
p125,2033,2033-07-10,45460.51
p125,2033,2033-07-29,48302.05
p125,2035,2035-07-14,42252.54
p125,2035,2035-07-15,47812.39
p125,2037,2037-07-15,46780.84
p125,2037,2037-07-18,44118.58
p125,2037,2037-08-16,43864.14
p125,2037,2037-08-17,49459.27
p125,2038,2038-06-26,41381.22
p125,2039,2039-07-04,44311.81
p125,2039,2039-07-05,50876.36
p125,2039,2039-07-06,51703.95
p125,2039,2039-07-19,48338.94
p125,2039,2039-07-24,42547.07
p125,2039,2039-07-25,46742.909999999996
p125,2039,2039-07-30,43307.95
p125,2039,2039-07-31,44182.95
p125,2041,2041-08-08,48222.51
p125,2041,2041-08-09,48229.62
p125,2042,2042-07-03,46783.56
p125,2042,2042-07-04,44185.1
p125,2042,2042-07-09,43582.61
p125,2042,2042-07-29,48363.39
p125,2042,2042-08-01,44838.97
p125,2042,2042-08-02,42297.24
p125,2042,2042-08-04,46959.08
p125,2042,2042-08-05,47088.25
p125,2042,2042-08-14,44570.73
p125,2042,2042-08-17,43933.29
p125,2046,2046-08-01,49506.38
p125,2046,2046-08-02,51474.619999999995
p125,2046,2046-08-03,50187.87
p125,2047,2047-07-09,46932.77
p125,2047,2047-08-08,47183.99
p125,2048,2048-06-09,47200.57
p125,2050,2050-06-24,46120.37
p125,2050,2050-06-28,46973.8
