rb,Year,Date,Load_sum
p125,2020,2020-07-16,47259.7085426201
p125,2020,2020-07-17,49690.20207686907
p125,2020,2020-07-20,49619.07693274279
p125,2020,2020-07-21,51195.698209906885
p125,2020,2020-07-22,48962.23151941186
p125,2020,2020-08-01,41892.6415383551
p125,2020,2020-08-03,48305.09852608747
p125,2020,2020-08-05,49230.00113597864
p125,2020,2020-08-08,44888.602113487024
p125,2020,2020-08-09,44865.830146573484
p125,2021,2021-07-09,48536.21614018504
p125,2023,2023-07-03,49430.57569635926
p125,2023,2023-07-16,44648.719759020634
p125,2023,2023-08-20,43734.824813784064
p125,2023,2023-09-06,48863.79187456266
p125,2023,2023-09-07,47647.8505182028
p125,2023,2023-09-10,39358.940754992596
p125,2023,2023-09-11,45954.613749905955
p125,2025,2025-08-14,47148.65869210734
p125,2025,2025-08-15,48644.28333482279
p125,2025,2025-09-04,45587.76293515061
p125,2025,2025-09-05,47259.30797435206
p125,2025,2025-09-08,46609.07117988884
p125,2026,2026-07-06,46346.949284300405
p125,2026,2026-07-07,49671.6222832496
p125,2027,2027-07-21,49937.655341618156
p125,2027,2027-07-25,44939.6543918651
p125,2027,2027-07-26,49674.241873657025
p125,2027,2027-08-03,48026.34392575743
p125,2027,2027-08-04,49636.781033937485
p125,2027,2027-08-17,47839.923202253245
p125,2027,2027-08-18,48714.55138888654
p125,2028,2028-06-21,46869.79576918012
p125,2028,2028-06-22,47232.565701216474
p125,2028,2028-07-10,48086.88553871003
p125,2028,2028-07-11,48324.313497751675
p125,2028,2028-07-14,46976.15000833792
p125,2028,2028-07-16,43381.89996654319
p125,2028,2028-07-17,51006.83297054018
p125,2028,2028-07-30,44929.44462595506
p125,2028,2028-08-13,44856.01857693124
p125,2028,2028-08-14,49143.54042571946
p125,2028,2028-08-15,50628.8189337556
p125,2028,2028-08-17,44881.93739838381
p125,2031,2031-06-29,42416.42727389311
p125,2031,2031-06-30,46929.2691120855
p125,2031,2031-07-07,48736.028990559484
p125,2031,2031-07-08,48751.74868166541
p125,2031,2031-07-18,46366.09385499211
p125,2031,2031-07-19,46358.1279812615
p125,2031,2031-07-20,47208.49769624347
p125,2031,2031-07-21,52161.45574090683
p125,2031,2031-07-22,50375.225256576865
p125,2031,2031-07-23,52150.808535386124
p125,2031,2031-08-02,44873.375054828066
p125,2031,2031-08-03,44527.10449323888
p125,2031,2031-08-29,48205.925098476524
p125,2031,2031-08-30,44620.84436364179
p125,2031,2031-08-31,43762.6200044557
p125,2031,2031-09-17,46012.3310866574
p125,2032,2032-07-14,47817.8495737302
p125,2032,2032-08-11,48377.3902002993
p125,2033,2033-07-07,47131.329803739194
p125,2033,2033-07-08,50550.77228983512
p125,2033,2033-07-09,46551.116773258436
p125,2033,2033-07-10,46711.316305371016
p125,2033,2033-07-14,48916.228643285795
p125,2033,2033-07-28,48844.89426862538
p125,2033,2033-07-29,49854.79620534362
p125,2033,2033-08-02,46585.20063991628
p125,2033,2033-08-03,47302.98254083183
p125,2033,2033-08-26,47902.53571130724
p125,2033,2033-08-27,43871.00924509989
p125,2033,2033-08-28,43985.49937481293
p125,2033,2033-09-03,42649.62427642594
p125,2034,2034-07-08,45244.67081852066
p125,2035,2035-07-14,43266.832944088856
p125,2035,2035-07-15,49755.50388157451
p125,2035,2035-08-03,50459.75854023728
p125,2035,2035-08-04,43868.46215635205
p125,2035,2035-08-24,42421.64872701099
p125,2037,2037-07-15,47942.66363819335
p125,2037,2037-07-18,45606.50293767529
p125,2037,2037-08-16,45474.775945756395
p125,2037,2037-08-17,51860.52620490458
p125,2038,2038-07-22,51144.66134783258
p125,2038,2038-08-25,48839.748365110856
p125,2039,2039-06-08,46283.88960399701
