rb,Year,Date,Load_sum
p102,2020,2020-06-05,767056.97
p102,2020,2020-07-06,807717.54
p102,2020,2020-07-07,808967.1000000001
p102,2020,2020-07-09,801604.6100000001
p102,2020,2020-07-11,785859.5599999999
p102,2020,2020-07-12,786794.28
p102,2020,2020-07-13,815846.38
p102,2020,2020-07-14,817431.3500000001
p102,2020,2020-07-15,818612.16
p102,2020,2020-08-07,816145.49
p102,2020,2020-08-22,776193.29
p102,2021,2021-06-13,774170.79
p102,2021,2021-06-14,796428.3200000001
p102,2021,2021-06-15,787563.8900000001
p102,2021,2021-06-16,792867.99
p102,2021,2021-06-17,793884.5900000001
p102,2021,2021-06-18,743420.1799999999
p102,2021,2021-06-19,715186.1599999999
p102,2021,2021-07-07,804627.02
p102,2021,2021-07-08,801515.4400000001
p102,2021,2021-07-13,807915.3500000001
p102,2021,2021-07-14,808310.21
p102,2021,2021-07-15,814252.48
p102,2021,2021-07-16,811707.09
p102,2021,2021-07-17,787170.3
p102,2021,2021-07-18,783268.27
p102,2021,2021-07-19,794975.5
p102,2021,2021-07-27,800446.78
p102,2021,2021-07-28,805301.38
p102,2023,2023-07-16,782861.1300000001
p102,2023,2023-07-17,813359.69
p102,2023,2023-07-23,788313.24
p102,2023,2023-07-24,812956.1599999999
p102,2023,2023-07-25,820990.73
p102,2023,2023-07-26,805842.9100000001
p102,2023,2023-08-20,777328.8200000001
p102,2023,2023-08-21,815309.74
p102,2025,2025-06-02,784068.28
p102,2025,2025-06-03,796550.7
p102,2025,2025-06-04,804576.14
p102,2025,2025-06-05,798851.8899999999
p102,2025,2025-06-06,777204.9299999999
p102,2025,2025-06-07,754619.84
p102,2026,2026-07-18,778482.95
p102,2026,2026-07-19,777772.8799999999
p102,2026,2026-07-20,799397.13
p102,2026,2026-07-21,802847.66
p102,2026,2026-07-29,789339.63
p102,2026,2026-07-30,803590.0900000001
p102,2026,2026-07-31,795425.0900000001
p102,2026,2026-08-01,789781.9299999999
p102,2026,2026-08-02,792839.05
p102,2027,2027-07-09,804370.53
p102,2027,2027-07-13,801402.23
p102,2027,2027-07-23,783726.4299999999
p102,2027,2027-08-08,812797.3099999999
p102,2027,2027-08-09,836884.3500000001
p102,2027,2027-08-10,825336.9
p102,2027,2027-08-23,795509.0
p102,2027,2027-08-30,807923.1300000001
p102,2028,2028-06-25,763101.88
p102,2028,2028-08-01,806959.5499999999
p102,2029,2029-07-11,803356.48
p102,2029,2029-07-12,802037.52
p102,2029,2029-08-03,810966.4099999999
p102,2029,2029-08-04,780776.03
p102,2029,2029-08-05,786461.39
p102,2029,2029-08-06,806937.5
p102,2029,2029-08-07,811204.8200000001
p102,2030,2030-06-20,794218.98
p102,2030,2030-07-23,800542.19
p102,2030,2030-07-24,801103.64
p102,2030,2030-08-21,793414.02
p102,2030,2030-08-22,799636.3300000001
p102,2030,2030-08-29,787896.56
p102,2030,2030-08-30,793517.99
p102,2030,2030-09-22,757850.95
p102,2031,2031-08-09,785433.1699999999
p102,2031,2031-08-10,780055.0800000001
p102,2032,2032-07-03,784963.87
p102,2032,2032-07-04,738058.7899999999
p102,2032,2032-07-07,806207.79
p102,2032,2032-07-08,815368.78
p102,2032,2032-07-09,813805.1300000001
p102,2032,2032-07-27,808231.72
p102,2032,2032-07-28,809888.05
p102,2032,2032-07-29,796606.47
p102,2032,2032-07-31,774577.56
p102,2033,2033-06-29,784116.06
p102,2033,2033-07-10,783750.81
p102,2033,2033-07-16,769378.61
p102,2033,2033-07-17,777073.6799999999
p102,2033,2033-07-18,797795.98
p102,2033,2033-07-19,794819.8400000001
p102,2033,2033-07-21,810435.9
p102,2033,2033-07-22,809180.95
p102,2033,2033-07-23,780392.57
p102,2033,2033-07-24,784304.76
p102,2033,2033-07-25,808381.55
p102,2033,2033-07-28,797959.77
p102,2033,2033-07-29,815345.4199999999
p102,2033,2033-07-30,800013.06
p102,2033,2033-07-31,790822.72
p102,2033,2033-08-01,818643.71
p102,2033,2033-08-02,811957.3400000001
p102,2033,2033-08-03,813795.18
p102,2033,2033-08-04,831691.03
p102,2033,2033-08-05,835411.56
p102,2033,2033-08-06,796781.01
p102,2033,2033-08-07,776869.65
p102,2033,2033-08-14,775976.1300000001
p102,2033,2033-08-15,802839.4299999999
p102,2033,2033-08-18,802755.2999999999
p102,2033,2033-08-19,819420.3400000001
p102,2033,2033-08-20,794024.1900000001
p102,2033,2033-08-21,791064.69
p102,2033,2033-08-22,813216.65
p102,2033,2033-08-23,793614.6100000001
p102,2035,2035-07-08,773401.22
p102,2035,2035-07-09,797205.84
p102,2035,2035-08-13,807479.94
p102,2035,2035-08-14,805245.5799999998
p102,2035,2035-08-15,814359.2
p102,2035,2035-08-16,810111.94
p102,2035,2035-08-17,802393.96
p102,2035,2035-08-18,779674.8700000001
p102,2035,2035-08-28,807105.0700000001
p102,2036,2036-07-11,793645.4
p102,2036,2036-07-20,776915.9099999999
p102,2036,2036-07-21,799900.1
p102,2036,2036-07-22,798584.4299999999
p102,2037,2037-07-04,745473.9
p102,2037,2037-08-15,784590.8400000001
p102,2037,2037-08-19,814785.26
p102,2037,2037-08-20,802546.9299999999
