rb,Year,Date,Load_sum
p102,2020,2020-06-05,859387.8375418942
p102,2020,2020-07-06,905780.2432842357
p102,2020,2020-07-07,907208.5005350577
p102,2020,2020-07-09,899005.6363017204
p102,2020,2020-07-11,881400.0645942236
p102,2020,2020-07-12,882474.6763058179
p102,2020,2020-07-13,915087.0676788968
p102,2020,2020-07-14,916892.1505445449
p102,2020,2020-07-15,918244.0070537832
p102,2020,2020-08-07,916105.6758475709
p102,2020,2020-08-22,871650.4420646077
p102,2021,2021-06-13,877066.8323568982
p102,2021,2021-06-14,902309.5788032415
p102,2021,2021-06-15,892293.2982431392
p102,2021,2021-06-16,898329.6520919158
p102,2021,2021-06-17,899508.3973293517
p102,2021,2021-06-18,842355.0234128186
p102,2021,2021-06-19,810387.578111506
p102,2021,2021-07-07,912224.2515524823
p102,2021,2021-07-08,908723.5777114397
p102,2021,2021-07-13,916116.2724310276
p102,2021,2021-07-14,916591.4092229742
p102,2021,2021-07-15,923357.1436653963
p102,2021,2021-07-16,920498.090474627
p102,2021,2021-07-17,892699.4561839943
p102,2021,2021-07-18,888300.8699679567
p102,2021,2021-07-19,901604.7589064774
p102,2021,2021-07-27,908026.7700230216
p102,2021,2021-07-28,913561.0611481605
p102,2023,2023-07-16,907339.3396202809
p102,2023,2023-07-17,942715.461421564
p102,2023,2023-07-23,913849.1813785704
p102,2023,2023-07-24,942444.5494847824
p102,2023,2023-07-25,951787.2057197429
p102,2023,2023-07-26,934253.9583434791
p102,2023,2023-08-20,901868.9478575945
p102,2023,2023-08-21,945963.1458958393
p102,2025,2025-06-02,927562.0806830302
p102,2025,2025-06-03,942357.1466314064
p102,2025,2025-06-04,951879.9923083368
p102,2025,2025-06-05,945135.8554080577
p102,2025,2025-06-06,919552.4969898872
p102,2025,2025-06-07,892857.4793030019
p102,2026,2026-07-18,932320.1818516124
p102,2026,2026-07-19,931497.5796506223
p102,2026,2026-07-20,957424.3106570735
p102,2026,2026-07-21,961585.5620830576
p102,2026,2026-07-29,945632.5348756067
p102,2026,2026-07-30,962733.4318735007
p102,2026,2026-07-31,952979.7760031349
p102,2026,2026-08-01,946247.240317257
p102,2026,2026-08-02,949938.1878008426
p102,2027,2027-07-09,973612.4726038721
p102,2027,2027-07-13,970135.4310790184
p102,2027,2027-07-23,949021.3490967299
p102,2027,2027-08-08,984693.5459772642
p102,2027,2027-08-09,1013904.9116594663
p102,2027,2027-08-10,999944.8058856882
p102,2027,2027-08-23,964180.4727566668
p102,2027,2027-08-30,979431.3108383116
p102,2028,2028-06-25,933414.9950515328
p102,2028,2028-08-01,988151.460077215
p102,2029,2029-07-11,993890.6441966525
p102,2029,2029-07-12,992288.4310818037
p102,2029,2029-08-03,1003994.2176005513
p102,2029,2029-08-04,966646.8375559542
p102,2029,2029-08-05,973714.6744644821
p102,2029,2029-08-06,999095.9234725647
p102,2029,2029-08-07,1004409.3299608519
p102,2030,2030-06-20,992725.2287373224
p102,2030,2030-07-23,1001614.7530403825
p102,2030,2030-07-24,1002347.0780117838
p102,2030,2030-08-21,993555.6859329906
p102,2030,2030-08-22,1001377.4730965614
p102,2030,2030-08-29,986882.0339168228
p102,2030,2030-08-30,993952.7530191184
p102,2030,2030-09-22,949928.6108707179
p102,2031,2031-08-09,993977.9965938096
p102,2031,2031-08-10,987201.4349783715
p102,2032,2032-07-03,1003185.6557014796
p102,2032,2032-07-04,943269.0188318158
p102,2032,2032-07-07,1030458.3203697244
p102,2032,2032-07-08,1042198.5831482799
p102,2032,2032-07-09,1040230.9887303094
p102,2032,2032-07-27,1033662.0543753391
p102,2032,2032-07-28,1035811.2069964728
p102,2032,2032-07-29,1018855.0826880111
p102,2032,2032-07-31,990739.5116128298
p102,2033,2033-06-29,1012956.5380206538
p102,2033,2033-07-10,1012817.2089145929
p102,2033,2033-07-16,994422.5165148288
p102,2033,2033-07-17,1004398.3567316777
p102,2033,2033-07-18,1031213.4025456326
p102,2033,2033-07-19,1027397.1786001981
p102,2033,2033-07-21,1047645.3417838481
p102,2033,2033-07-22,1046054.2109687286
p102,2033,2033-07-23,1008868.8013804164
p102,2033,2033-07-24,1013956.6669071569
p102,2033,2033-07-25,1045114.4677602658
p102,2033,2033-07-28,1031733.0315650401
p102,2033,2033-07-29,1054243.5528048552
p102,2033,2033-07-30,1034449.5165442862
p102,2033,2033-07-31,1022596.5827610776
p102,2033,2033-08-01,1058602.8498941527
p102,2033,2033-08-02,1049987.9980034013
p102,2033,2033-08-03,1052396.021250069
p102,2033,2033-08-04,1075570.9591236943
p102,2033,2033-08-05,1080414.6941490266
p102,2033,2033-08-06,1030485.6980921484
p102,2033,2033-08-07,1004764.1910109888
p102,2033,2033-08-14,1003818.143363328
p102,2033,2033-08-15,1038599.8033474609
p102,2033,2033-08-18,1038584.1912537485
p102,2033,2033-08-19,1060176.5744779722
p102,2033,2033-08-20,1027349.4053014587
p102,2033,2033-08-21,1023550.78630986
p102,2033,2033-08-22,1052244.324485893
p102,2033,2033-08-23,1026911.225925674
p102,2035,2035-07-08,1021394.2032330097
p102,2035,2035-07-09,1052863.1666242965
p102,2035,2035-08-13,1067546.518085912
p102,2035,2035-08-14,1064624.3361024912
p102,2035,2035-08-15,1076705.8011995151
p102,2035,2035-08-16,1071122.0779888472
p102,2035,2035-08-17,1060949.2080966427
p102,2035,2035-08-18,1030940.0062922316
p102,2035,2035-08-28,1067528.6146648577
p102,2036,2036-07-11,1059735.6000103343
p102,2036,2036-07-20,1037675.8591517936
p102,2036,2036-07-21,1068406.1778837354
p102,2036,2036-07-22,1066680.6870448622
p102,2037,2037-07-04,1006105.2068449772
p102,2037,2037-08-15,1060226.3192766258
p102,2037,2037-08-19,1101159.799449273
p102,2037,2037-08-20,1084652.4130596304
p102,2037,2037-08-21,1082687.164473453
p102,2038,2038-06-01,1046559.4468294105
p102,2038,2038-06-02,1092406.3670649896
p102,2038,2038-06-03,1103314.0849204962
p102,2038,2038-06-04,1096401.2095369976
p102,2038,2038-06-05,1063168.1829016139
p102,2038,2038-06-10,1074571.1471898602
p102,2038,2038-06-11,1081501.952559361
p102,2038,2038-06-12,1039243.930742003
p102,2038,2038-06-13,1032022.2892800295
p102,2038,2038-06-14,1087847.9553531692
p102,2038,2038-06-15,1095525.2169652707
p102,2038,2038-06-16,1087880.8335307138
p102,2038,2038-06-17,1108410.1935442802
p102,2038,2038-06-18,1046001.1971875329
p102,2038,2038-06-19,984499.5321798865
p102,2038,2038-06-20,1053841.279600208
p102,2038,2038-06-21,1067176.2699263534
p102,2038,2038-06-22,1087841.4607068952
p102,2038,2038-06-23,1109201.5478834612
p102,2038,2038-06-24,1100848.623721869
p102,2038,2038-06-25,1091307.2792791505
p102,2038,2038-06-27,1034497.1512841175
p102,2038,2038-06-28,1096478.0758622505
p102,2038,2038-06-29,1101916.6914350048
p102,2038,2038-06-30,1109833.9552768325
p102,2038,2038-07-01,1128587.2864481497
p102,2038,2038-07-02,1132714.5065968232
p102,2038,2038-07-03,1084167.3989349632
p102,2038,2038-07-04,996691.0607355617
p102,2038,2038-07-05,1054734.944472569
p102,2038,2038-07-06,1096960.2444844167
p102,2038,2038-07-08,1079873.5769336964
p102,2038,2038-07-09,1103865.124062955
p102,2038,2038-07-10,1069460.9936450147
p102,2038,2038-07-23,1114296.0913264789
p102,2038,2038-07-24,1089912.6675909208
p102,2038,2038-07-29,1107082.7688122126
p102,2038,2038-07-30,1104003.5023302808
p102,2038,2038-08-11,1113898.274922933
p102,2038,2038-08-12,1114558.4684721737
p102,2038,2038-08-24,1080168.1963707232
p102,2038,2038-08-25,1081158.8097955273
p102,2038,2038-08-26,1106038.0378906985
p102,2038,2038-08-27,1122144.5343086375
p102,2038,2038-08-28,1081536.860085015
p102,2038,2038-08-29,1089601.809859323
p102,2038,2038-09-01,1055389.3633715769
p102,2039,2039-07-21,1107979.6551426244
p102,2039,2039-07-27,1119364.2474410378
p102,2039,2039-07-28,1123240.1936610285
p102,2039,2039-07-29,1115793.9310492263
p102,2039,2039-07-30,1074748.9734383612
p102,2039,2039-07-31,1093717.3972077603
p102,2039,2039-08-01,1141653.8843374297
p102,2039,2039-08-02,1150116.3041795017
p102,2039,2039-08-10,1108159.0810972992
p102,2039,2039-08-12,1117789.7348621672
p102,2039,2039-08-13,1085081.5715004117
p102,2039,2039-08-14,1081677.1361496
p102,2039,2039-08-27,1075405.7799454331
p102,2039,2039-08-28,1080395.776487792
p102,2039,2039-08-29,1127330.6406401184
p102,2039,2039-08-30,1122138.0420331417
p102,2039,2039-09-04,1014262.6539547795
p102,2040,2040-05-27,1008490.7435680757
p102,2040,2040-05-28,960784.2896745177
p102,2040,2040-05-29,1027932.0827005013
p102,2040,2040-07-11,1093455.542293844
p102,2040,2040-07-12,1117087.2762123973
p102,2040,2040-07-13,1119103.796542049
p102,2040,2040-07-15,1042971.4010794162
p102,2040,2040-07-16,1106066.9291857108
p102,2040,2040-07-17,1130487.196295951
p102,2040,2040-07-18,1137119.2905353503
p102,2040,2040-07-19,1140392.2385311339
p102,2040,2040-07-20,1135884.1279009401
p102,2040,2040-07-21,1093370.359542578
p102,2040,2040-08-15,1112662.2756860957
p102,2040,2040-08-16,1088845.0042551341
p102,2040,2040-08-17,1081853.794879193
p102,2040,2040-08-18,1064240.4479221688
p102,2040,2040-08-29,1105978.5689811811
p102,2041,2041-07-08,1119658.0797429986
p102,2042,2042-06-03,1113589.767489905
p102,2042,2042-07-16,1154639.4271871164
p102,2042,2042-07-17,1144291.0925275167
p102,2042,2042-07-19,1094239.0726312497
p102,2044,2044-05-31,1096829.3431038905
p102,2044,2044-06-12,1114758.7578751035
p102,2044,2044-06-13,1153397.3688269998
p102,2044,2044-06-19,1055474.7839111881
p102,2044,2044-06-22,1142426.9986217765
p102,2044,2044-06-23,1159183.3587789189
p102,2044,2044-06-24,1164028.5119647696
p102,2044,2044-07-05,1177880.9198520726
p102,2044,2044-07-06,1177835.1719984976
p102,2044,2044-07-07,1166254.9707175784
p102,2044,2044-07-08,1139160.99004152
p102,2044,2044-07-09,1115412.9744058384
p102,2044,2044-07-10,1141524.0488023837
p102,2044,2044-07-11,1167331.475636803
p102,2044,2044-07-14,1171361.7311380892
p102,2044,2044-07-15,1180817.3323628677
p102,2044,2044-07-24,1103699.1957681058
p102,2045,2045-07-22,1158242.6808421875
p102,2045,2045-07-23,1170311.5291229088
p102,2045,2045-07-28,1185443.9857072402
p102,2045,2045-08-17,1217666.7187815644
p102,2045,2045-08-18,1213744.1727101228
p102,2045,2045-08-19,1156046.7706912917
p102,2046,2046-08-02,1215095.0592860081
p102,2046,2046-08-03,1194941.7752837974
p102,2046,2046-08-06,1194877.084715474
p102,2046,2046-08-08,1210804.8518209094
p102,2046,2046-08-10,1197130.7099322488
p102,2046,2046-08-11,1170101.0896358583
p102,2046,2046-08-12,1176074.5385738784
p102,2047,2047-07-10,1227323.7419037842
p102,2047,2047-07-20,1179710.138876326
p102,2047,2047-08-05,1244472.321294872
p102,2047,2047-08-06,1232573.6736761048
p102,2047,2047-08-07,1235057.8745703618
p102,2047,2047-08-10,1193411.252449145
p102,2047,2047-08-11,1197664.7070771104
p102,2047,2047-08-12,1223908.4752719868
p102,2047,2047-08-13,1217254.666277226
p102,2047,2047-08-19,1210023.6962849502
p102,2047,2047-08-20,1240066.985255519
p102,2047,2047-08-21,1243936.0902531133
p102,2047,2047-08-22,1233349.8013583254
p102,2047,2047-08-29,1221296.6458023463
p102,2048,2048-07-20,1238061.5685842582
p102,2048,2048-08-06,1231760.585135593
p102,2048,2048-08-07,1240859.5467213937
p102,2049,2049-06-20,1197867.5925316408
p102,2049,2049-06-21,1245192.8233099172
p102,2049,2049-06-22,1248723.8617721843
p102,2050,2050-06-12,1198276.842630071
p102,2050,2050-06-14,1260605.4799498275
p102,2050,2050-06-15,1264875.7657254904
p102,2050,2050-06-16,1258137.2524300937
p102,2050,2050-06-17,1246934.5156762316
p102,2050,2050-06-22,1246818.8583587583
p102,2050,2050-06-23,1244219.6821648078
p102,2050,2050-06-24,1253986.489303613
p102,2050,2050-06-25,1220883.6604887613
p102,2050,2050-06-26,1214109.8648636658
p102,2050,2050-06-27,1233086.4594086418
p102,2050,2050-07-20,1267638.3773233255
p102,2050,2050-07-21,1272452.3919533608
p102,2050,2050-07-22,1265209.2497912224
p102,2050,2050-07-26,1264465.1684402968
p102,2050,2050-07-27,1273921.0533593115
p102,2050,2050-07-28,1273888.758877643
p102,2050,2050-07-29,1269610.708292357
p102,2050,2050-07-30,1238438.6295691603
p102,2050,2050-07-31,1240214.7808924033
p102,2050,2050-08-01,1276463.1946522617
p102,2050,2050-08-03,1271612.3764240593
p102,2050,2050-08-11,1215867.6492846452
p102,2050,2050-08-15,1261904.3683804553
p102,2050,2050-08-17,1254295.4604752427
p102,2050,2050-08-18,1268241.0387592495
p102,2051,2051-06-13,1230546.572456845
p102,2051,2051-06-14,1248338.5621834435
p102,2051,2051-06-15,1264150.4671463633
p102,2051,2051-06-16,1240561.2386604003
p102,2051,2051-06-17,1221578.3763207605
p102,2051,2051-06-18,1217907.6585383322
p102,2051,2051-06-19,1185521.2659220586
p102,2051,2051-06-20,1253959.8839537795
p102,2051,2051-06-21,1271003.782241347
p102,2051,2051-06-22,1266103.106766152
p102,2051,2051-07-20,1252171.3237515246
