rb,Year,Date,Load_sum
p91,2020,2020-06-04,773311.1
p91,2020,2020-06-05,771304.42
p91,2020,2020-06-08,763903.5599999999
p91,2020,2020-06-17,764100.8799999999
p91,2020,2020-06-30,775909.3
p91,2020,2020-07-01,794180.15
p91,2020,2020-07-06,814379.63
p91,2020,2020-07-07,817175.98
p91,2020,2020-07-09,805279.54
p91,2020,2020-07-10,804399.78
p91,2020,2020-07-11,787769.78
p91,2020,2020-07-12,795999.2500000001
p91,2020,2020-07-13,820984.78
p91,2020,2020-07-14,827890.7
p91,2020,2020-07-15,823757.66
p91,2020,2020-07-16,807054.44
p91,2020,2020-07-30,777971.37
p91,2020,2020-07-31,797762.59
p91,2020,2020-08-01,786821.57
p91,2020,2020-08-02,785729.53
p91,2020,2020-08-03,805619.78
p91,2020,2020-08-04,803906.89
p91,2020,2020-08-06,815223.38
p91,2020,2020-08-07,821771.51
p91,2020,2020-08-08,788301.4800000001
p91,2020,2020-08-09,772900.88
p91,2020,2020-08-17,812255.6299999999
p91,2020,2020-08-18,806446.83
p91,2020,2020-08-20,783677.57
p91,2020,2020-08-21,792044.79
p91,2020,2020-08-22,774939.1
p91,2020,2020-08-23,782075.54
p91,2020,2020-09-26,767007.2100000001
p91,2021,2021-06-06,763039.58
p91,2021,2021-06-07,785645.61
p91,2021,2021-06-10,796780.52
p91,2021,2021-06-11,805157.49
p91,2021,2021-06-12,778948.39
p91,2021,2021-06-13,781260.23
p91,2021,2021-06-14,797848.7999999999
p91,2021,2021-06-15,797985.14
p91,2021,2021-06-16,797372.1799999999
p91,2021,2021-06-17,798191.35
p91,2021,2021-06-18,751480.5599999999
p91,2021,2021-06-19,716266.42
p91,2021,2021-06-20,761412.8099999999
p91,2021,2021-06-21,777287.25
p91,2021,2021-06-22,782639.43
p91,2021,2021-06-23,776779.99
p91,2021,2021-06-26,762234.5399999999
p91,2021,2021-07-06,799890.78
p91,2021,2021-07-07,811585.73
p91,2021,2021-07-08,805157.4400000001
p91,2021,2021-07-11,791385.1000000001
p91,2021,2021-07-12,815073.18
p91,2021,2021-07-13,812126.6100000001
p91,2021,2021-07-14,815855.1399999999
p91,2021,2021-07-15,819703.6900000001
p91,2021,2021-07-16,806834.69
p91,2021,2021-07-17,780047.93
p91,2021,2021-07-18,790032.6799999999
p91,2021,2021-07-19,800739.43
p91,2021,2021-07-21,778427.84
p91,2021,2021-07-22,779429.54
p91,2021,2021-07-23,791976.4600000001
p91,2021,2021-07-24,777647.19
p91,2021,2021-07-25,785934.9400000001
p91,2021,2021-07-26,804788.15
p91,2021,2021-07-27,805826.9400000001
p91,2021,2021-07-28,808023.5299999999
p91,2021,2021-07-29,792361.1599999999
p91,2021,2021-08-06,803873.6200000001
p91,2021,2021-08-07,787657.75
p91,2021,2021-08-08,792981.6799999999
p91,2022,2022-06-10,779352.15
p91,2022,2022-06-11,753901.03
p91,2022,2022-08-24,789694.91
p91,2022,2022-08-25,801205.6
p91,2022,2022-08-27,751646.26
p91,2022,2022-08-28,769796.79
p91,2023,2023-07-13,781122.3800000001
p91,2023,2023-07-15,781776.75
p91,2023,2023-07-16,793636.76
p91,2023,2023-07-17,814483.76
p91,2023,2023-07-18,817449.2699999999
p91,2023,2023-07-19,811508.4199999999
p91,2023,2023-07-21,799646.0399999999
p91,2023,2023-07-22,775853.97
p91,2023,2023-07-23,778034.94
p91,2023,2023-07-24,807799.0200000001
p91,2023,2023-07-25,821228.41
p91,2023,2023-07-26,813663.29
p91,2023,2023-07-28,783482.8
p91,2023,2023-08-19,762066.7300000001
p91,2023,2023-08-20,778624.55
p91,2023,2023-08-21,821831.43
p91,2023,2023-08-22,810514.4
p91,2023,2023-08-23,799632.02
p91,2023,2023-08-24,795418.14
p91,2023,2023-08-27,778654.7
p91,2023,2023-09-09,768511.24
p91,2023,2023-09-10,760923.79
p91,2024,2024-07-08,787741.97
p91,2024,2024-07-09,785922.31
p91,2024,2024-08-10,779780.6
p91,2024,2024-08-16,778277.1900000001
p91,2024,2024-08-17,764049.54
p91,2024,2024-08-18,757868.08
p91,2024,2024-09-12,774735.11
p91,2025,2025-06-01,755287.0
p91,2025,2025-06-02,786841.0
p91,2025,2025-06-03,801738.36
p91,2025,2025-06-04,808503.75
p91,2025,2025-06-05,802729.07
p91,2025,2025-06-06,781747.7000000001
p91,2025,2025-06-07,761336.4
p91,2025,2025-06-08,766043.07
p91,2025,2025-06-09,790499.3600000001
p91,2025,2025-06-10,789800.87
p91,2025,2025-07-08,815826.83
p91,2025,2025-07-09,805622.3300000001
p91,2025,2025-07-10,793934.46
p91,2026,2026-07-02,796424.03
p91,2026,2026-07-13,798537.1799999999
p91,2026,2026-07-14,804325.7
p91,2026,2026-07-15,808406.38
p91,2026,2026-07-16,800502.47
p91,2026,2026-07-18,776826.6
p91,2026,2026-07-19,780349.98
p91,2026,2026-07-20,807208.5700000001
p91,2026,2026-07-21,814613.6799999999
p91,2026,2026-07-28,773833.41
p91,2026,2026-07-29,798826.15
p91,2026,2026-07-30,812987.4299999999
p91,2026,2026-07-31,809205.8600000001
p91,2026,2026-08-01,794534.5599999999
p91,2026,2026-08-02,793386.22
p91,2026,2026-08-03,801046.0700000001
p91,2026,2026-08-08,786681.3400000001
p91,2026,2026-08-09,763237.88
p91,2026,2026-08-24,774449.5599999999
p91,2027,2027-06-18,745058.3800000001
p91,2027,2027-06-24,788201.4199999999
p91,2027,2027-06-25,793280.24
p91,2027,2027-06-26,762603.37
p91,2027,2027-07-05,771911.39
p91,2027,2027-07-06,815031.12
p91,2027,2027-07-07,810489.41
p91,2027,2027-07-08,816768.41
p91,2027,2027-07-09,802759.5000000001
p91,2027,2027-07-10,755697.4700000001
