rb,Year,Date,Load_sum
p102,2020,2020-06-04,870063.1630237913
p102,2020,2020-06-05,859787.0021369315
p102,2020,2020-06-08,860241.3276930376
p102,2020,2020-06-17,858893.5097590213
p102,2020,2020-06-28,862656.2693507941
p102,2020,2020-06-29,886743.3150835205
p102,2020,2020-07-05,875931.311000458
p102,2020,2020-07-06,915290.7654513683
p102,2020,2020-07-07,916507.393703862
p102,2020,2020-07-09,906007.93043444
p102,2020,2020-07-10,906261.360135682
p102,2020,2020-07-11,886729.1096976185
p102,2020,2020-07-12,890006.5462099351
p102,2020,2020-07-13,917611.8425237212
p102,2020,2020-07-14,917747.4381308139
p102,2020,2020-07-15,923713.4448592466
p102,2020,2020-07-31,893512.0451455691
p102,2020,2020-08-01,882341.1123148156
p102,2020,2020-08-02,873529.7072620422
p102,2020,2020-08-03,893574.952635739
p102,2020,2020-08-04,900289.2634744736
p102,2020,2020-08-06,915611.1274128195
p102,2020,2020-08-07,922875.7441425859
p102,2020,2020-08-08,885969.3881173568
p102,2020,2020-08-09,867306.6150753648
p102,2020,2020-08-16,872900.0856566092
p102,2020,2020-08-17,913287.5212501856
p102,2020,2020-08-18,906683.4860519709
p102,2020,2020-08-21,897692.6862025082
p102,2020,2020-08-22,867454.5446820317
p102,2020,2020-09-29,870072.8182844891
p102,2021,2021-06-06,864373.6396172026
p102,2021,2021-06-07,892074.8593646707
p102,2021,2021-06-08,886672.3271412561
p102,2021,2021-06-10,904470.9015484343
p102,2021,2021-06-11,915519.746680835
p102,2021,2021-06-12,881897.346759286
p102,2021,2021-06-13,882038.8526397632
p102,2021,2021-06-14,903966.8389603357
p102,2021,2021-06-15,888475.5911182781
p102,2021,2021-06-16,902523.858023261
p102,2021,2021-06-17,909632.3809729591
p102,2021,2021-06-18,854347.0359653481
p102,2021,2021-06-19,816566.0309858394
p102,2021,2021-06-20,861962.057384913
p102,2021,2021-06-21,882637.5409261262
p102,2021,2021-06-22,892661.3862229947
p102,2021,2021-06-23,883148.1283027062
p102,2021,2021-06-26,865667.6023717641
p102,2021,2021-07-06,906004.351084668
p102,2021,2021-07-07,917436.1677287719
p102,2021,2021-07-08,913604.2947459228
p102,2021,2021-07-11,894393.659872965
p102,2021,2021-07-12,923485.1303675161
p102,2021,2021-07-13,920900.0349469366
p102,2021,2021-07-14,923182.9327129575
p102,2021,2021-07-15,934464.918986954
p102,2021,2021-07-16,925814.7453521485
p102,2021,2021-07-18,884335.4685687824
p102,2021,2021-07-25,894737.5946468274
p102,2021,2021-07-27,915187.5339955266
p102,2021,2021-07-28,917758.8829048616
p102,2021,2021-08-01,884411.9819453021
p102,2021,2021-08-07,895816.0336733875
p102,2021,2021-08-08,901610.6937414723
p102,2021,2021-08-09,921074.0427196136
p102,2022,2022-07-31,904095.6512231546
p102,2022,2022-08-25,918556.6466967168
p102,2022,2022-08-28,885520.2858568792
p102,2022,2022-09-13,920051.1402075547
p102,2023,2023-07-15,906316.0077891503
p102,2023,2023-07-16,913903.7396992964
p102,2023,2023-07-17,946107.9679349082
p102,2023,2023-07-18,948582.1440325957
p102,2023,2023-07-19,939479.565820912
p102,2023,2023-07-22,905702.2493278366
p102,2023,2023-07-23,922444.2752324194
p102,2023,2023-07-24,948016.7316033037
