rb,Year,Date,Load_sum
p94,2020,2020-07-11,492176.3805304516
p94,2020,2020-07-13,540482.3413471887
p94,2020,2020-08-08,482057.35634009936
p94,2020,2020-08-09,484347.69292925246
p94,2020,2020-08-20,526733.3351980909
p94,2020,2020-08-21,530492.8887056644
p94,2023,2023-08-20,501959.185524051
p94,2023,2023-08-21,547278.4220266654
p94,2023,2023-08-22,540345.0852238692
p94,2026,2026-07-30,539833.865716583
p94,2026,2026-07-31,530292.3400741606
p94,2028,2028-06-23,515423.974149741
p94,2028,2028-07-15,505408.167727923
p94,2030,2030-08-29,541456.6988667023
p94,2030,2030-09-07,490796.21213149786
p94,2033,2033-07-21,538899.8878749142
p94,2033,2033-07-22,543581.5737579331
p94,2033,2033-07-23,506856.56305693934
p94,2033,2033-07-24,509218.5923603889
p94,2033,2033-07-27,547062.469512491
p94,2033,2033-07-28,558042.2903043446
p94,2035,2035-08-13,556874.1507275972
p94,2038,2038-06-24,525712.4742650009
p94,2038,2038-06-25,540800.9981599186
p94,2038,2038-06-26,503755.1647028203
p94,2038,2038-06-27,498885.00406064675
p94,2038,2038-06-29,540058.9207987367
p94,2038,2038-06-30,528934.91116958
p94,2038,2038-07-09,535999.6675340381
p94,2039,2039-07-30,520020.82363318995
p94,2039,2039-07-31,524210.61739761283
p94,2039,2039-08-01,570511.2911530623
p94,2039,2039-08-13,517910.54687127017
p94,2040,2040-07-11,550631.8874267755
p94,2040,2040-07-19,536001.6632056843
p94,2040,2040-07-20,540429.2813963272
p94,2040,2040-08-16,529568.0730791221
p94,2040,2040-08-17,547426.2698863394
p94,2040,2040-08-18,507163.84550186736
p94,2040,2040-08-28,529340.4177388987
p94,2042,2042-08-24,501028.71175687114
p94,2047,2047-08-10,530980.5403729806
p94,2047,2047-08-11,534474.1651807104
p94,2047,2047-08-13,572252.4585602038
p94,2047,2047-08-14,568495.5504683967
p94,2047,2047-08-15,557944.8045752404
p94,2047,2047-08-16,575437.4153676828
p94,2047,2047-08-17,534546.1296742798
p94,2047,2047-08-18,525328.4660823672
p94,2047,2047-08-20,547439.8375876643
p94,2047,2047-08-21,565060.6827670484
p94,2047,2047-08-22,575021.2104405498
p94,2048,2048-08-06,570455.1080636265
p94,2050,2050-07-08,562802.5359595774
p94,2050,2050-07-21,564397.980740327
p94,2050,2050-07-23,533680.4525865244
p94,2050,2050-07-24,540343.5505377027
p94,2050,2050-07-25,571110.4782174457
p94,2050,2050-07-30,537057.9467492234
p94,2051,2051-07-12,575406.7318009207
p94,2051,2051-07-13,577129.9542075602
p94,2051,2051-07-31,568161.319495672
p94,2051,2051-08-02,575136.9751275075
p94,2051,2051-08-03,589791.4313624663
p94,2051,2051-08-04,591474.1264247796
p94,2051,2051-08-05,530949.143719407
p94,2051,2051-08-22,550723.2824228428
p94,2051,2051-08-26,518225.3242152062
p94,2051,2051-09-02,498168.0097857438
p94,2051,2051-09-03,493955.61558017053
p94,2052,2052-06-29,503228.84760670614
p94,2052,2052-06-30,519262.84523194574
p94,2052,2052-07-01,576372.9623182183
p94,2052,2052-08-02,554962.5186079832
p94,2060,2060-07-06,588454.4693681307
p94,2060,2060-07-09,590144.9575428917
p94,2060,2060-07-10,552868.6293366507
p94,2060,2060-07-11,546675.5811877802
p94,2060,2060-07-12,595838.8477011751
p94,2060,2060-07-13,600753.3820123577
p94,2060,2060-07-14,588733.8132823474
p94,2060,2060-07-16,588860.878889584
p94,2060,2060-07-17,548811.5478520332
p94,2060,2060-07-31,548731.4651479096
p94,2060,2060-08-02,587195.4716994896
p94,2060,2060-08-06,578532.48019194
p94,2060,2060-08-07,535932.5437518294
p94,2060,2060-08-08,537878.5819366467
p94,2060,2060-08-09,579950.4495258942
p94,2060,2060-08-10,583396.1735181747
p94,2060,2060-08-13,582737.8385644028
p94,2060,2060-08-14,530684.2508875707
p94,2060,2060-08-20,592628.8891249842
p94,2060,2060-08-21,546167.1167932963
p94,2060,2060-08-22,527702.450172108
p94,2060,2060-09-06,484101.90285642585
p94,2060,2060-09-07,552519.0593468165
p94,2060,2060-09-08,519710.8599484645
p94,2060,2060-09-09,521079.0256409288
p94,2060,2060-09-15,529715.4109252773
p94,2060,2060-09-16,522975.6699258686
p94,2061,2061-06-21,557597.2636684846
p94,2061,2061-06-22,568519.6947035725
p94,2061,2061-06-24,568418.8442530013
p94,2061,2061-06-25,537761.3760261829
p94,2061,2061-07-08,583620.6765119572
p94,2061,2061-07-09,553637.7909005879
p94,2061,2061-07-10,557408.7289669533
p94,2061,2061-07-11,593078.0240997425
p94,2061,2061-07-13,592355.1100582131
p94,2061,2061-07-14,601475.1348129616
p94,2061,2061-07-16,558155.5515438259
p94,2061,2061-07-17,556230.8810717457
p94,2061,2061-07-21,582222.5659544541
p94,2061,2061-07-23,537955.3603438672
p94,2061,2061-07-24,548790.5751309022
p94,2061,2061-07-25,592582.0119989854
p94,2061,2061-07-26,587329.6773158652
p94,2061,2061-07-27,591741.3059176627
p94,2061,2061-07-28,588615.2350656887
p94,2061,2061-08-05,579093.9711518456
p94,2063,2063-07-22,554889.8563800053
p94,2063,2063-07-23,599632.8028718473
p94,2063,2063-08-10,600348.5762969443
p94,2063,2063-08-19,546042.2037909097
p94,2063,2063-08-20,606607.2381425982
p94,2063,2063-08-21,611899.9414156908
p94,2063,2063-08-22,604693.9649487475
p94,2063,2063-08-23,596180.3048125262
p94,2063,2063-08-24,594417.6460813632
p94,2065,2065-06-04,569250.6602209475
p94,2065,2065-06-05,572898.8490229658
p94,2065,2065-06-06,535441.4941876931
p94,2065,2065-06-07,525509.4996641714
p94,2066,2066-06-24,554908.1097202701
p94,2066,2066-06-27,527718.6615558672
p94,2066,2066-07-09,594504.4105809928
p94,2066,2066-07-10,542320.5486171542
p94,2066,2066-07-13,585246.0954963564
p94,2066,2066-07-14,595602.1964148374
p94,2066,2066-07-18,558145.3391071233
p94,2066,2066-07-19,610167.0673300094
p94,2066,2066-07-20,611437.1910462447
p94,2066,2066-07-21,608309.6742024377
p94,2066,2066-07-28,593263.6028984706
p94,2066,2066-07-29,608973.8216178421
p94,2066,2066-07-30,594650.923820992
p94,2066,2066-07-31,548959.6065161936
p94,2066,2066-08-01,569197.8834315757
p94,2066,2066-08-02,597401.5989837681
p94,2067,2067-07-12,587511.2544205518
p94,2067,2067-07-22,581982.3052986827
p94,2067,2067-07-23,547337.0283803635
p94,2067,2067-07-24,547247.3234647042
p94,2067,2067-08-23,584994.9860097375
p94,2068,2068-06-22,562354.7307483874
p94,2068,2068-06-23,528269.9112545234
p94,2068,2068-06-24,540964.6219676774
p94,2068,2068-06-29,546297.1190119741
p94,2068,2068-07-08,509380.91547465604
p94,2068,2068-07-09,594104.6722674356
p94,2068,2068-07-10,583402.0340983877
p94,2068,2068-07-15,558998.1752313693
p94,2068,2068-07-17,593614.2742853125
p94,2068,2068-07-18,597334.5794948008
p94,2068,2068-07-20,587436.4611955971
p94,2068,2068-07-28,536420.5992245123
p94,2068,2068-07-29,549158.7734436723
p94,2068,2068-07-30,587956.5538316565
p94,2068,2068-07-31,577768.5891147822
p94,2068,2068-08-01,594632.5180531646
p94,2068,2068-08-02,602781.3601236589
p94,2068,2068-08-03,600572.2737064466
p94,2068,2068-08-18,562754.6180034304
p94,2068,2068-08-19,555314.7501128525
p94,2070,2070-06-20,574185.2052941598
p94,2070,2070-06-21,537153.2646545573
p94,2070,2070-07-07,593268.2395756536
p94,2070,2070-07-08,587412.7146836343
p94,2070,2070-08-19,591502.1000804384
p94,2070,2070-08-20,591477.4790319414
p94,2070,2070-08-28,602285.349284862
p94,2070,2070-08-29,602869.1883068229
p94,2070,2070-09-06,524221.5253876081
p94,2070,2070-09-07,539959.2745775336
p94,2070,2070-09-08,577312.4693112693
p94,2073,2073-07-15,545790.1554624621
p94,2073,2073-07-20,604777.8592976682
p94,2073,2073-07-21,603157.6301386848
p94,2073,2073-07-22,567333.6923476433
p94,2073,2073-07-23,568587.4698849523
p94,2073,2073-07-24,609682.7453830952
p94,2073,2073-07-25,607970.8528502871
p94,2073,2073-07-26,609824.5222260344
p94,2073,2073-07-27,615125.8693631446
p94,2073,2073-07-28,625128.3103207643
p94,2073,2073-07-29,572854.6814402547
p94,2073,2073-08-01,573497.6681243221
p94,2073,2073-08-02,578896.0958163375
p94,2073,2073-08-16,605653.3430669922
p94,2073,2073-08-18,607561.2146596123
p94,2073,2073-08-19,562698.7207861451
p94,2073,2073-08-20,560654.5790290347
p94,2073,2073-08-21,604486.4567944119
p94,2073,2073-09-01,592401.5768451059
p94,2075,2075-07-11,599104.370938723
p94,2075,2075-07-12,594327.0419934965
p94,2075,2075-07-15,599996.27897939
p94,2075,2075-07-16,598999.7658291348
p94,2075,2075-07-20,573491.4108961299
p94,2075,2075-07-23,609218.8830460652
p94,2075,2075-07-24,602952.3904855549
p94,2075,2075-07-25,608863.5122553858
p94,2075,2075-07-26,611545.9887698671
p94,2075,2075-08-12,612072.7114044569
p94,2075,2075-08-13,629513.8801174221
p94,2075,2075-08-14,637193.5969707547
p94,2075,2075-08-15,631063.1911777533
p94,2075,2075-08-16,630871.3589641134
p94,2075,2075-08-17,588701.8353343898
p94,2076,2076-06-23,589533.5353659758
p94,2076,2076-07-01,595204.6813283727
p94,2078,2078-06-02,581587.2033978028
p94,2078,2078-06-18,538098.149337986
p94,2078,2078-06-23,591004.8408015423
p94,2078,2078-06-24,579865.6714479892
p94,2078,2078-06-25,553140.0569632376
p94,2078,2078-06-26,557484.9295258587
p94,2078,2078-06-27,595750.4606307895
p94,2078,2078-06-28,599807.2428120301
p94,2078,2078-06-29,599296.2304788658
p94,2078,2078-06-30,587145.4278066113
p94,2078,2078-07-01,607304.2971500906
p94,2078,2078-07-08,599511.1860998032
p94,2078,2078-07-09,555912.9376716637
p94,2078,2078-07-10,562302.1394761428
p94,2078,2078-07-19,602448.1031833137
p94,2078,2078-07-20,608233.9860120352
p94,2078,2078-07-29,591703.5868697994
p94,2078,2078-07-31,545378.9103171711
p94,2078,2078-08-26,602362.1324390373
p94,2078,2078-08-27,544974.1107249837
p94,2078,2078-08-28,551065.3145642783
p94,2078,2078-08-29,599616.8757585711
p94,2078,2078-08-30,595930.7448386197
p94,2078,2078-08-31,591967.4858453054
p94,2079,2079-07-22,560247.8035498224
p94,2079,2079-07-23,584853.8134453197
p94,2079,2079-07-24,625850.3520320696
p94,2079,2079-07-26,607610.0290184146
p94,2079,2079-07-27,602252.30767684
p94,2079,2079-07-28,616910.0165081471
p94,2079,2079-07-29,567993.3693529717
p94,2079,2079-07-30,581284.4959190009
p94,2079,2079-07-31,624013.0693702993
p94,2079,2079-08-01,634366.9596721854
p94,2079,2079-08-02,620369.1678758172
p94,2079,2079-08-06,549109.5001852631
p94,2079,2079-08-07,601875.6813988906
p94,2079,2079-08-10,604263.7748301851
p94,2079,2079-08-11,584613.6625540322
p94,2079,2079-08-12,562678.7164600373
p94,2079,2079-08-13,573048.4833495226
p94,2079,2079-08-14,615965.5213144205
p94,2079,2079-08-16,593276.0437392839
p94,2079,2079-08-17,618574.5569332312
p94,2079,2079-08-18,604840.4632850295
p94,2079,2079-08-19,542646.0540914678
p94,2079,2079-08-20,534395.7562586755
p94,2079,2079-09-04,492743.9169354114
p94,2079,2079-09-05,540919.7690974199
p94,2079,2079-09-06,554063.8903744281
p94,2079,2079-09-08,550589.1017858812
p94,2080,2080-07-06,540775.96994687
p94,2080,2080-07-07,569319.3840510821
p94,2080,2080-07-10,604665.8422127458
p94,2080,2080-07-11,611598.9588701118
p94,2080,2080-07-12,609768.3108759213
p94,2080,2080-07-14,565482.1081890826
p94,2080,2080-07-15,586362.4654264223
p94,2080,2080-07-16,576446.5749911052
p94,2080,2080-07-17,576672.6031968617
p94,2080,2080-07-18,586376.9596807314
p94,2080,2080-07-19,594115.1596618221
p94,2080,2080-07-20,557871.6285891532
p94,2080,2080-07-21,548920.085535781
p94,2080,2080-08-06,603063.5416130266
p94,2080,2080-08-07,617954.4502974157
p94,2080,2080-08-08,621989.1108561639
p94,2080,2080-08-09,613561.5459949828
p94,2080,2080-08-10,579685.8983031673
p94,2080,2080-08-15,562661.5879372265
p94,2080,2080-08-16,581371.2477142069
p94,2080,2080-08-17,556038.7968695611
p94,2080,2080-08-18,552595.8616996253
p94,2080,2080-08-19,591028.3111288062
p94,2080,2080-08-24,540217.5480178538
p94,2080,2080-08-26,581328.8990968909
p94,2080,2080-08-28,568485.6313702229
p94,2081,2081-07-09,610557.4036129786
p94,2081,2081-07-10,607941.2044937067
p94,2081,2081-07-11,606929.1033528312
p94,2082,2082-06-03,598062.8696461226
p94,2082,2082-07-17,618893.6048751866
p94,2082,2082-07-18,575833.473510139
p94,2082,2082-07-19,571602.3824354763
p94,2082,2082-08-06,623828.1168527087
p94,2082,2082-08-16,553318.3379446641
p94,2082,2082-08-17,595019.8335297463
p94,2082,2082-08-18,589450.1146147747
p94,2082,2082-08-19,596262.4123493861
p94,2082,2082-08-20,599589.0469219647
p94,2082,2082-08-21,601384.3654313624
p94,2082,2082-08-22,562677.9929936558
p94,2082,2082-08-23,563119.9233697095
p94,2082,2082-08-24,605166.3691080924
p94,2082,2082-09-10,531868.0864538896
p94,2082,2082-09-11,535576.0819471516
p94,2084,2084-07-14,606877.2646290145
p94,2086,2086-06-21,596957.8739024306
p94,2086,2086-06-22,554827.3027130604
p94,2086,2086-07-03,607784.818620415
p94,2086,2086-07-18,613896.3486716135
p94,2086,2086-07-19,620898.6838998892
p94,2086,2086-07-27,564676.0718771026
p94,2086,2086-07-28,551145.1022313425
p94,2086,2086-08-01,625708.7882942596
p94,2086,2086-08-04,568038.3660620912
p94,2086,2086-08-07,629506.0050211387
p94,2086,2086-08-08,634124.6899371468
p94,2086,2086-08-09,627229.9821783364
p94,2086,2086-08-10,573192.4729794225
p94,2087,2087-06-17,583505.401102739
p94,2087,2087-06-23,576488.3004287017
p94,2087,2087-06-24,590137.6455212693
p94,2087,2087-07-27,559720.7726356142
p94,2087,2087-08-05,631465.7886747504
p94,2087,2087-08-06,627144.7182858897
p94,2087,2087-08-09,570536.10525228
p94,2087,2087-08-10,598307.0908484888
p94,2087,2087-08-11,643564.5411029578
p94,2087,2087-08-12,626193.4695121165
p94,2087,2087-08-13,638880.7478977868
p94,2087,2087-08-14,634012.3986805178
p94,2087,2087-08-15,623561.920653744
p94,2087,2087-08-16,585092.0181913661
p94,2087,2087-08-17,579587.1463497035
p94,2087,2087-08-18,608623.9349588418
p94,2087,2087-08-19,603637.969770677
p94,2087,2087-08-20,596418.2709280498
p94,2087,2087-08-21,628535.9841614362
p94,2087,2087-08-22,633588.2456870581
p94,2087,2087-08-23,575555.0561493584
p94,2088,2088-06-08,603499.1000191765
p94,2088,2088-07-21,602115.0322568624
p94,2088,2088-07-22,608400.1226868911
p94,2088,2088-07-28,611821.1760972332
p94,2088,2088-08-02,622491.1462876456
p94,2088,2088-08-03,617393.5536364412
p94,2088,2088-08-04,620546.4084088667
p94,2088,2088-08-05,631506.8301024545
p94,2088,2088-08-06,638906.4391482234
p94,2088,2088-08-07,577755.160075297
p94,2089,2089-06-27,604710.0710581918
p94,2089,2089-06-28,608139.4888491587
p94,2090,2090-06-25,569951.8816361021
p94,2090,2090-07-08,577736.457040626
p94,2090,2090-07-09,580728.8256741882
p94,2090,2090-07-20,619211.7975390077
p94,2090,2090-07-21,623791.817894588
p94,2090,2090-07-22,582521.5082465359
