rb,Year,Date,Load_sum
p94,2020,2020-03-03,506690.59
p94,2021,2021-01-12,525954.18
p94,2022,2022-01-10,552658.57
p94,2022,2022-01-11,667168.88
p94,2022,2022-01-12,544481.3200000001
p94,2022,2022-01-15,483761.45
p94,2022,2022-01-17,532879.9
p94,2023,2023-12-24,455485.8
p94,2023,2023-12-25,581651.95
p94,2023,2023-12-26,558128.03
p94,2025,2025-01-20,515473.09
p94,2025,2025-01-21,708711.4299999999
p94,2025,2025-01-22,563308.71
p94,2025,2025-12-26,511566.6
p94,2026,2026-01-27,530967.34
p94,2026,2026-01-28,580470.43
p94,2029,2029-12-23,520971.47
p94,2029,2029-12-24,534189.26
p94,2031,2031-02-16,478112.78
p94,2034,2034-01-16,520342.08999999997
p94,2034,2034-01-19,596947.92
p94,2036,2036-02-04,549327.74
p94,2036,2036-02-05,559523.52
p94,2037,2037-01-17,506713.43
p94,2043,2043-01-24,510235.17
p94,2054,2054-01-07,604645.67
p94,2054,2054-01-24,498664.94
p94,2055,2055-01-08,534797.95
p94,2055,2055-02-20,496245.1
p94,2060,2060-03-03,487712.37
p94,2062,2062-01-10,526769.1900000001
p94,2062,2062-01-11,633053.82
p94,2062,2062-01-17,525033.24
p94,2063,2063-12-24,450333.13
p94,2063,2063-12-25,551892.7
p94,2063,2063-12-26,536548.8
p94,2065,2065-01-20,514596.05
p94,2065,2065-01-21,669554.57
p94,2066,2066-01-28,556572.96
p94,2069,2069-12-24,506900.0
p94,2074,2074-01-19,572054.88
p94,2076,2076-02-05,530518.59
p94,2083,2083-01-24,493171.83
p94,2094,2094-01-07,583777.51
